bootstrap_block_id,buffer_die_softmax_us_per_layer,decomposed_GPU_compute_bound_us_per_layer_not_additive,device,external_exposed_us_per_layer.KV_readback,external_exposed_us_per_layer.attention_output,external_exposed_us_per_layer.descriptor_input,external_exposed_us_per_layer.exposed_KV_write,external_exposed_us_per_layer.query_input,full_KV_write_us_not_additive,gpu_local_memory_us_per_layer,hidden_KV_write_us_not_additive,id,layer_class,memory_compute_overlap_us_per_layer,memory_only_us_per_layer,model,parts_us_per_layer.compute,parts_us_per_layer.fused_scan,parts_us_per_layer.memory,parts_us_per_layer.other,phase,repetitions,scan_timing_sources,source_components,source_event_index,source_event_time_us,source_result.path,source_result.sha256,step,variant,workload_id
,0.0,81266.38732049741,GPU,0.0,0.0,0.0,0.0,0.0,0.0,43108.24226220472,0.0,48,2,23843.46358213582,19264.7786800689,LLAMA-7B,57422.92373836157,0.0,43108.24226220472,2551.1703196093263,prefill,32,[],"[[""common"",54982.92379856826,6075368.918439253],[""selection"",0.0,0.0],[""attention_service"",48099.41252160736,3577322.116454399]]",0,3298634.7622456197,/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c,0,F0,KVChime-EPIC-chunk2048-target8000-B4-N8028
,0.0,685.6764584973167,GPU,1740.63616,0.0,0.0,0.0,0.0,0.0,791.9471173244283,0.0,64,2,401.38383316261235,2131.1994441618162,LLAMA-7B,284.2926253347044,0.0,2532.5832773244283,34.04741765346061,prefill,32,[],"[[""common"",504.21839153539264,57746.13086208],[""selection"",0.0,0.0],[""attention_service"",2346.7049287772006,48184.03802112]]",1,91229.54625000298,/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c,0,F1,KVChime-EPIC-chunk2048-target8000-B4-N8028
,91.96754176610978,470.170973881932,PIM,0.0,6.5536,0.005333333333333333,3.714634,26.2144,13.1072,185.8783485472277,9.392566,80,2,185.8783485472277,36.48796733333334,LLAMA-7B,284.2926253347044,718.9996200000003,222.36631588056102,126.01495941957039,prefill,32,"[{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-235e6d754c04761f638d/timing.json"",""profile"":""repair-shared-235e6d754c04761f638d"",""repeats"":7,""scan_us"":23.287627,""sha256"":""5508e790da69ce907721260e5efa22c5edcd66123a0580e7ffb503fecbbba100""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-23ec494be46b67c3f987/timing.json"",""profile"":""repair-shared-23ec494be46b67c3f987"",""repeats"":7,""scan_us"":23.287627,""sha256"":""4d44fc6b50da9a00632489c10d091653781684ec2b4d1ac09474abc97abeeff5""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-349a218f607e40ca495f/timing.json"",""profile"":""repair-shared-349a218f607e40ca495f"",""repeats"":1,""scan_us"":16.736515999999998,""sha256"":""f8b462d99252f6d52fecf7660cb70b87fd96dc99c7137c436150ddcc8e85fede""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-42ba908a67e9fd6de3fe/timing.json"",""profile"":""repair-shared-42ba908a67e9fd6de3fe"",""repeats"":7,""scan_us"":23.287627,""sha256"":""f1a76ddcbf07f56b07d86a6b2f6f7dd7d22e2b64825db11f9e86a6909d3d5d53""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-6f193d5ee5901360d5b0/timing.json"",""profile"":""repair-shared-6f193d5ee5901360d5b0"",""repeats"":1,""scan_us"":16.736515999999998,""sha256"":""0e38c48b23235fcd1d8021d109ed15972ef2ca8528e1a17e907c15305e0d9ad2""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-7ca568ffb8f70f165186/timing.json"",""profile"":""repair-shared-7ca568ffb8f70f165186"",""repeats"":1,""scan_us"":16.736515999999998,""sha256"":""b3b4ba9930a59fbe6ad33478109728e68f6279a7243d6751b96f234bfd6c7ed6""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-84fee47b8e61d646435d/timing.json"",""profile"":""repair-shared-84fee47b8e61d646435d"",""repeats"":1,""scan_us"":16.736515999999998,""sha256"":""657a2b742a5e88eab240dc7a5f7e61bed87aaaa490cde2d96aca3b2053b28764""},{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/profiles/repair-shared-c254ea7761835a273785/timing.json"",""profile"":""repair-shared-c254ea7761835a273785"",""repeats"":7,""scan_us"":23.287627,""sha256"":""7600855da05a2abd8e2725c74cbb983c030d454679a56e0724a0aa2d17741a18""}]","[[""common"",504.21839153539264,57746.13086208],[""selection"",0.0,0.0],[""attention_service"",847.4551290994434,23702.217426944004]]",4,43253.55266031475,/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c,0,F4,KVChime-EPIC-chunk2048-target8000-B4-N8028
