batch,checks,compute_ms,decomposed_GPU_compute_bound_ms_not_additive,display,divisor_us_to_phase_ms,eligible,fused_scan_ms,gpu_kv_mode,invalid_reasons,layers,memory_compute_overlap_ms,memory_ms,memory_only_ms,model,other_ms,output_tokens,parts_ms,phase,prompt_tokens,query_tokens,source_field,source_refs,source_result_path,source_result_sha256,source_summary_index,tensor_parallel,total_ms,variant,workload_id
4,"{""exclusive_parts_equal_complete_phase"":true,""full_horizon_layer_repetitions"":true,""source_summary_unchanged"":true}",1837.5335596275702,2600.524394255917,Readers 4,1000,true,0.0,resident,[],32,762.9908346283463,1379.4637523905512,616.4729177622048,LLAMA-7B,81.63745022749843,16,"{""buffer_die_softmax_other"":0.0,""compute"":1837.5335596275702,""decomposed_GPU_compute_bound_not_additive"":2600.524394255917,""external_exposed_memory"":0.0,""fused_scan"":0.0,""gpu_local_memory"":1379.4637523905512,""memory"":1379.4637523905512,""memory_compute_overlap"":762.9908346283463,""memory_only"":616.4729177622048,""other"":81.63745022749843}",prefill,8028,60,TTFT_ms,"{""block_ids"":[48],""result"":{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json"",""sha256"":""c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c""}}",/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c,0,1,3298.6347622456196,F0,KVChime-EPIC-chunk2048-target8000-B4-N8028
4,"{""exclusive_parts_equal_complete_phase"":true,""full_horizon_layer_repetitions"":true,""source_summary_unchanged"":true}",9.09736401071054,21.941646671914135,Readers 4,1000,true,0.0,resident,[],32,12.844282661203595,81.0426648743817,68.19838221317812,LLAMA-7B,1.0895173649107397,16,"{""buffer_die_softmax_other"":0.0,""compute"":9.09736401071054,""decomposed_GPU_compute_bound_not_additive"":21.941646671914135,""external_exposed_memory"":55.70035712,""fused_scan"":0.0,""gpu_local_memory"":25.342307754381704,""memory"":81.0426648743817,""memory_compute_overlap"":12.844282661203595,""memory_only"":68.19838221317812,""other"":1.0895173649107397}",prefill,8028,60,TTFT_ms,"{""block_ids"":[64],""result"":{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json"",""sha256"":""c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c""}}",/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c,1,1,91.22954625000298,F1,KVChime-EPIC-chunk2048-target8000-B4-N8028
4,"{""exclusive_parts_equal_complete_phase"":true,""full_horizon_layer_repetitions"":true,""source_summary_unchanged"":true}",9.09736401071054,15.045471164221825,Readers 4,1000,true,23.00798784000001,,[],32,5.948107153511286,7.115722108177953,1.1676149546666668,LLAMA-7B,4.032478701426252,16,"{""buffer_die_softmax_other"":2.9429613365155127,""compute"":9.09736401071054,""decomposed_GPU_compute_bound_not_additive"":15.045471164221825,""external_exposed_memory"":1.1676149546666668,""fused_scan"":23.00798784000001,""gpu_local_memory"":5.948107153511286,""memory"":7.115722108177953,""memory_compute_overlap"":5.948107153511286,""memory_only"":1.1676149546666668,""other"":4.032478701426252}",prefill,8028,60,TTFT_ms,"{""block_ids"":[80],""result"":{""path"":""/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json"",""sha256"":""c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c""}}",/data2/chenyi9/KV-PIM/KVChime-ASPLOS-2027/archive/hbm-2k-batch/runs/LLAMA-7B/cases/KVChime-EPIC-chunk2048-target8000-B4-N8028.json,c11c87f0813dfc44bb348b02aa7f0094abd18531800a05a122b6345d513f9f6c,4,1,43.25355266031475,F4,KVChime-EPIC-chunk2048-target8000-B4-N8028
