variant,requests,TTFT_ms,TBT_ms,E2E_ms,TTFT_energy_mJ,TBT_energy_mJ,E2E_energy_mJ,remote_peak_KV_MiB,remote_immutable_KV_MiB,remote_peak_private_KV_MiB,GPU_peak_KV_MiB,GPU_native_weights_MiB,GPU_native_temp_MiB,GPU_peak_modeled_total_MiB,total_GPU_remote_peak_KV_MiB,total_online_E2E_ms,total_online_E2E_energy_mJ,warmup_plus_two_requests_ms,warmup_plus_two_requests_energy_J
F1,2,74.18173955488379,7.596698250521658,142.55202380957869,5793.34094835328,485.8691241801954,10166.163065975037,3377.5,3377.5,0.0,1733.5,12288.0,0.529022216796875,14022.029022216797,5111.0,285.10404761915737,20332.326131950074,755.4158184062244,67.64685205887231
F2,2,80.19182766155046,5.594448873834304,130.54186752605926,5812.092423246078,434.89125977037924,9726.113761179495,5111.0,3377.5,1733.5,54.03125,12288.0,0.529022216796875,12342.560272216797,5160.53125,261.0837350521185,19452.22752235899,731.3955058391856,66.76675344928123
F3,2,74.18173955488379,5.594448873834304,124.53177941939259,5797.577444430079,434.89125977037924,9711.598782363493,3773.1875,3377.5,395.6875,54.03125,12288.0,0.529022216796875,12342.560272216797,3822.71875,249.06355883878518,19423.197564726986,719.3753296258523,66.73772349164922
F4,2,71.6962312866466,5.594448873834304,122.0462711511554,5587.315495333376,434.89125977037924,9501.33683326679,3773.1875,3377.5,395.6875,54.03125,12288.0,0.529022216796875,12342.560272216797,3778.125,244.0925423023108,19002.67366653358,714.4043130893779,66.31719959345583
