request_id,variant,phase,layer,token_step,event,device,start_s,end_s,duration_s,energy_J
Fugue-asplos-request-01,F1,prefill_common,0,0,qkv,GPU,0.0,0.0013792807384615385,0.0013792807384615385,0.16065965850624
Fugue-asplos-request-01,F1,prefill_attention,0,0,attention_service,GPU,0.0013792807384615385,0.005743909003734383,0.004364628265272844,0.1640208054528
Fugue-asplos-request-01,F1,prefill_common,0,0,proj,GPU,0.005743909003734383,0.006245465635902215,0.0005015566321678322,0.05321701982208
Fugue-asplos-request-01,F1,prefill_common,0,0,comm_g2g,GPU,0.006245465635902215,0.006245465635902215,0.0,0.000291373056
Fugue-asplos-request-01,F1,prefill_common,0,0,norm1,GPU,0.006245465635902215,0.0063147211373819285,6.92555014797136e-05,0.0027400974336
Fugue-asplos-request-01,F1,prefill_common,0,0,ff1,GPU,0.0063147211373819285,0.007583025264702883,0.0012683041273209548,0.14136516804608
Fugue-asplos-request-01,F1,prefill_common,0,0,ff2,GPU,0.007583025264702883,0.008851329392023839,0.0012683041273209548,0.14136516804608
Fugue-asplos-request-01,F1,prefill_common,0,0,glu,GPU,0.008851329392023839,0.008996800407408453,0.0001454710153846154,0.007330834022400001
Fugue-asplos-request-01,F1,prefill_common,0,0,ff3,GPU,0.008996800407408453,0.010334284759856005,0.0013374843524475524,0.14039915429888
Fugue-asplos-request-01,F1,prefill_common,0,0,comm_g2g,GPU,0.010334284759856005,0.010334284759856005,0.0,0.000291373056
Fugue-asplos-request-01,F1,prefill_common,0,0,norm2,GPU,0.010334284759856005,0.01040354026133572,6.92555014797136e-05,0.0027400974336
Fugue-asplos-request-01,F1,prefill_common,1,0,qkv,GPU,0.01040354026133572,0.011782820999797258,0.0013792807384615385,0.16065965850624
Fugue-asplos-request-01,F1,prefill_selection_input,1,0,old_V_transfer_for_software_selection,link,0.011782820999797258,0.011874626013130591,9.180501333333333e-05,0.00028643164160000004
Fugue-asplos-request-01,F1,prefill_attention,1,0,attention_service,GPU,0.011874626013130591,0.012633969234720457,0.000759343221589866,0.030002026886399996
Fugue-asplos-request-01,F1,prefill_common,1,0,proj,GPU,0.012633969234720457,0.012723955203951226,8.998596923076924e-05,0.010322635653120001
Fugue-asplos-request-01,F1,prefill_common,1,0,comm_g2g,GPU,0.012723955203951226,0.012723955203951226,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,1,0,norm1,GPU,0.012723955203951226,0.01274167882189872,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,1,0,ff1,GPU,0.01274167882189872,0.012955970990485483,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,1,0,ff2,GPU,0.012955970990485483,0.013170263159072245,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,1,0,glu,GPU,0.013170263159072245,0.0131955717129184,2.530855384615385e-05,0.0012753936383999996
Fugue-asplos-request-01,F1,prefill_common,1,0,ff3,GPU,0.0131955717129184,0.013435534297533785,0.00023996258461538462,0.02726381944832
Fugue-asplos-request-01,F1,prefill_common,1,0,comm_g2g,GPU,0.013435534297533785,0.013435534297533785,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,1,0,norm2,GPU,0.013435534297533785,0.013453257915481279,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,2,0,qkv,GPU,0.013453257915481279,0.013723215823173587,0.0002699579076923077,0.030313588981760002
Fugue-asplos-request-01,F1,prefill_attention,2,0,attention_service,GPU,0.013723215823173587,0.014636841711430119,0.0009136258882565327,0.030483388806399996
Fugue-asplos-request-01,F1,prefill_common,2,0,proj,GPU,0.014636841711430119,0.014726827680660888,8.998596923076924e-05,0.010322635653120001
Fugue-asplos-request-01,F1,prefill_common,2,0,comm_g2g,GPU,0.014726827680660888,0.014726827680660888,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,2,0,norm1,GPU,0.014726827680660888,0.014744551298608383,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,2,0,ff1,GPU,0.014744551298608383,0.014958843467195145,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,2,0,ff2,GPU,0.014958843467195145,0.015173135635781907,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,2,0,glu,GPU,0.015173135635781907,0.015198444189628062,2.530855384615385e-05,0.0012753936383999996
Fugue-asplos-request-01,F1,prefill_common,2,0,ff3,GPU,0.015198444189628062,0.015438406774243447,0.00023996258461538462,0.02726381944832
Fugue-asplos-request-01,F1,prefill_common,2,0,comm_g2g,GPU,0.015438406774243447,0.015438406774243447,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,2,0,norm2,GPU,0.015438406774243447,0.015456130392190941,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,3,0,qkv,GPU,0.015456130392190941,0.01572608829988325,0.0002699579076923077,0.030313588981760002
Fugue-asplos-request-01,F1,prefill_attention,3,0,attention_service,GPU,0.01572608829988325,0.01663971418813978,0.0009136258882565327,0.030483388806399996
Fugue-asplos-request-01,F1,prefill_common,3,0,proj,GPU,0.01663971418813978,0.01672970015737055,8.998596923076924e-05,0.010322635653120001
Fugue-asplos-request-01,F1,prefill_common,3,0,comm_g2g,GPU,0.01672970015737055,0.01672970015737055,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,3,0,norm1,GPU,0.01672970015737055,0.016747423775318043,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,3,0,ff1,GPU,0.016747423775318043,0.016961715943904804,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,3,0,ff2,GPU,0.016961715943904804,0.017176008112491564,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,3,0,glu,GPU,0.017176008112491564,0.01720131666633772,2.530855384615385e-05,0.0012753936383999996
Fugue-asplos-request-01,F1,prefill_common,3,0,ff3,GPU,0.01720131666633772,0.017441279250953103,0.00023996258461538462,0.02726381944832
Fugue-asplos-request-01,F1,prefill_common,3,0,comm_g2g,GPU,0.017441279250953103,0.017441279250953103,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,3,0,norm2,GPU,0.017441279250953103,0.017459002868900595,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,4,0,qkv,GPU,0.017459002868900595,0.017728960776592903,0.0002699579076923077,0.030313588981760002
Fugue-asplos-request-01,F1,prefill_attention,4,0,attention_service,GPU,0.017728960776592903,0.018642586664849435,0.0009136258882565327,0.030483388806399996
Fugue-asplos-request-01,F1,prefill_common,4,0,proj,GPU,0.018642586664849435,0.018732572634080204,8.998596923076924e-05,0.010322635653120001
Fugue-asplos-request-01,F1,prefill_common,4,0,comm_g2g,GPU,0.018732572634080204,0.018732572634080204,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,4,0,norm1,GPU,0.018732572634080204,0.018750296252027697,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,4,0,ff1,GPU,0.018750296252027697,0.018964588420614457,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,4,0,ff2,GPU,0.018964588420614457,0.019178880589201218,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,4,0,glu,GPU,0.019178880589201218,0.019204189143047373,2.530855384615385e-05,0.0012753936383999996
Fugue-asplos-request-01,F1,prefill_common,4,0,ff3,GPU,0.019204189143047373,0.019444151727662756,0.00023996258461538462,0.02726381944832
Fugue-asplos-request-01,F1,prefill_common,4,0,comm_g2g,GPU,0.019444151727662756,0.019444151727662756,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,4,0,norm2,GPU,0.019444151727662756,0.01946187534561025,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,5,0,qkv,GPU,0.01946187534561025,0.019731833253302557,0.0002699579076923077,0.030313588981760002
Fugue-asplos-request-01,F1,prefill_attention,5,0,attention_service,GPU,0.019731833253302557,0.02064545914155909,0.0009136258882565327,0.030483388806399996
Fugue-asplos-request-01,F1,prefill_common,5,0,proj,GPU,0.02064545914155909,0.020735445110789858,8.998596923076924e-05,0.010322635653120001
Fugue-asplos-request-01,F1,prefill_common,5,0,comm_g2g,GPU,0.020735445110789858,0.020735445110789858,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,5,0,norm1,GPU,0.020735445110789858,0.02075316872873735,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,5,0,ff1,GPU,0.02075316872873735,0.02096746089732411,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,5,0,ff2,GPU,0.02096746089732411,0.02118175306591087,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,5,0,glu,GPU,0.02118175306591087,0.021207061619757026,2.530855384615385e-05,0.0012753936383999996
Fugue-asplos-request-01,F1,prefill_common,5,0,ff3,GPU,0.021207061619757026,0.02144702420437241,0.00023996258461538462,0.02726381944832
Fugue-asplos-request-01,F1,prefill_common,5,0,comm_g2g,GPU,0.02144702420437241,0.02144702420437241,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,5,0,norm2,GPU,0.02144702420437241,0.021464747822319902,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,6,0,qkv,GPU,0.021464747822319902,0.02173470573001221,0.0002699579076923077,0.030313588981760002
Fugue-asplos-request-01,F1,prefill_attention,6,0,attention_service,GPU,0.02173470573001221,0.022648331618268742,0.0009136258882565327,0.030483388806399996
Fugue-asplos-request-01,F1,prefill_common,6,0,proj,GPU,0.022648331618268742,0.022738317587499512,8.998596923076924e-05,0.010322635653120001
Fugue-asplos-request-01,F1,prefill_common,6,0,comm_g2g,GPU,0.022738317587499512,0.022738317587499512,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,6,0,norm1,GPU,0.022738317587499512,0.022756041205447004,1.772361794749403e-05,0.00047671285760000003
Fugue-asplos-request-01,F1,prefill_common,6,0,ff1,GPU,0.022756041205447004,0.022970333374033765,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,6,0,ff2,GPU,0.022970333374033765,0.023184625542620525,0.00021429216858676205,0.02723006840832
Fugue-asplos-request-01,F1,prefill_common,6,0,glu,GPU,0.023184625542620525,0.02320993409646668,2.530855384615385e-05,0.0012753936383999996
Fugue-asplos-request-01,F1,prefill_common,6,0,ff3,GPU,0.02320993409646668,0.023449896681082064,0.00023996258461538462,0.02726381944832
Fugue-asplos-request-01,F1,prefill_common,6,0,comm_g2g,GPU,0.023449896681082064,0.023449896681082064,0.0,5.0692096e-05
Fugue-asplos-request-01,F1,prefill_common,6,0,norm2,GPU,0.023449896681082064,0.023467620299029556,1.772361794749403e-05,0.00047671285760000003
