chunk_id,tokens,latency_s,energy_J,remote_KV_bytes
d89753d6d3c56227cf3f163365a7f446c1464d9123fd8f5d6226b49bf44796b4,4,0.005684324713704813,0.4446800650239998,2097152
8c4f329290d7fe69537f76235f2c971d3cd1774bf0270b1dc10f7bc71e3d0cdd,605,0.040862376764040254,4.22224850572288,317194240
b8786cfbca8fa25d35e3098e43f7c14bd756307e6fd9bc80991586bfb8aea8d1,713,0.04938914290250786,4.9321301910835205,373817344
9e8f00e1be829483a9e891fd4dab54ecbad23362431359de16bc53d6ba5a7422,656,0.045029429660890886,4.5550022452838395,343932928
abc3d07c04ad5db27dd85d7bafc3860b0171a07402260dff741f2dba41602057,677,0.046626612316561206,4.702649718589441,354942976
e36f89129c3b13143049169e076042c87bb76614373b73288695100f0a85e049,707,0.04892657173676008,4.89954149323776,370671616
8aa2f1de1e88db451bc19e4bf357099126bc5579fe9e89c8dbdd89be55e65cc8,661,0.045408755956052815,4.59910665769984,346554368
ad5735f1257521bd6603951d2cc792f7a5efc8276ef48965f93ee9222b1e7796,660,0.045332842932544345,4.59371489869824,346030080
bdd5403f6b20e39351936536267d4dfda3813bf2cda9f3539e5e2e7866aa76e0,719,0.049852573828824964,4.96474555855872,376963072
cec6b454472c1a41d1b994fefbf247ca0f1c1ea5af08010a7339a0ee15b4a404,646,0.04427256823841982,4.50116509978624,338690048
466f96a49e926f7fb406358561b8ca6726787bfed8824a80289002f702e70019,707,0.04892657173676008,4.89954149323776,370671616
