request_id,variant,phase,layer,decode_step,immutable_remote_KV_bytes,private_remote_KV_bytes,active_gpu_KV_bytes,layer_GPU_KV_buffer_bytes,remote_total_KV_bytes
Fugue-asplos-request-01,F2,prefill,20,0,3541565440,1176698880,0,56033280,4718264320
Fugue-asplos-request-01,F2,prefill,21,0,3541565440,1232732160,0,56033280,4774297600
Fugue-asplos-request-01,F2,prefill,22,0,3541565440,1288765440,0,56033280,4830330880
Fugue-asplos-request-01,F2,prefill,23,0,3541565440,1344798720,0,56033280,4886364160
Fugue-asplos-request-01,F2,prefill,24,0,3541565440,1400832000,0,56033280,4942397440
Fugue-asplos-request-01,F2,prefill,25,0,3541565440,1456865280,0,56033280,4998430720
Fugue-asplos-request-01,F2,prefill,26,0,3541565440,1512898560,0,56033280,5054464000
Fugue-asplos-request-01,F2,prefill,27,0,3541565440,1568931840,0,56033280,5110497280
Fugue-asplos-request-01,F2,prefill,28,0,3541565440,1624965120,0,56033280,5166530560
Fugue-asplos-request-01,F2,prefill,29,0,3541565440,1680998400,0,56033280,5222563840
Fugue-asplos-request-01,F2,prefill,30,0,3541565440,1737031680,0,56033280,5278597120
Fugue-asplos-request-01,F2,prefill,31,0,3541565440,1793064960,0,56033280,5334630400
Fugue-asplos-request-01,F2,decode,all,1,3541565440,1793589248,0,16384,5335154688
Fugue-asplos-request-01,F2,decode,all,2,3541565440,1794113536,0,16384,5335678976
Fugue-asplos-request-01,F2,decode,all,3,3541565440,1794637824,0,16384,5336203264
Fugue-asplos-request-01,F2,decode,all,4,3541565440,1795162112,0,16384,5336727552
Fugue-asplos-request-01,F2,decode,all,5,3541565440,1795686400,0,16384,5337251840
Fugue-asplos-request-01,F2,decode,all,6,3541565440,1796210688,0,16384,5337776128
Fugue-asplos-request-01,F2,decode,all,7,3541565440,1796734976,0,16384,5338300416
Fugue-asplos-request-01,F2,decode,all,8,3541565440,1797259264,0,16384,5338824704
Fugue-asplos-request-01,F2,decode,all,9,3541565440,1797783552,0,16384,5339348992
Fugue-asplos-request-01,F3,prefill,0,0,3541565440,56033280,0,56033280,3597598720
Fugue-asplos-request-01,F3,prefill,1,0,3541565440,112066560,0,56033280,3653632000
Fugue-asplos-request-01,F3,prefill,2,0,3541565440,121815040,0,56033280,3663380480
Fugue-asplos-request-01,F3,prefill,3,0,3541565440,131563520,0,56033280,3673128960
Fugue-asplos-request-01,F3,prefill,4,0,3541565440,141312000,0,56033280,3682877440
Fugue-asplos-request-01,F3,prefill,5,0,3541565440,151060480,0,56033280,3692625920
Fugue-asplos-request-01,F3,prefill,6,0,3541565440,160808960,0,56033280,3702374400
Fugue-asplos-request-01,F3,prefill,7,0,3541565440,170557440,0,56033280,3712122880
Fugue-asplos-request-01,F3,prefill,8,0,3541565440,180305920,0,56033280,3721871360
Fugue-asplos-request-01,F3,prefill,9,0,3541565440,190054400,0,56033280,3731619840
Fugue-asplos-request-01,F3,prefill,10,0,3541565440,199802880,0,56033280,3741368320
Fugue-asplos-request-01,F3,prefill,11,0,3541565440,209551360,0,56033280,3751116800
Fugue-asplos-request-01,F3,prefill,12,0,3541565440,219299840,0,56033280,3760865280
Fugue-asplos-request-01,F3,prefill,13,0,3541565440,229048320,0,56033280,3770613760
Fugue-asplos-request-01,F3,prefill,14,0,3541565440,238796800,0,56033280,3780362240
Fugue-asplos-request-01,F3,prefill,15,0,3541565440,248545280,0,56033280,3790110720
Fugue-asplos-request-01,F3,prefill,16,0,3541565440,258293760,0,56033280,3799859200
Fugue-asplos-request-01,F3,prefill,17,0,3541565440,268042240,0,56033280,3809607680
Fugue-asplos-request-01,F3,prefill,18,0,3541565440,277790720,0,56033280,3819356160
Fugue-asplos-request-01,F3,prefill,19,0,3541565440,287539200,0,56033280,3829104640
Fugue-asplos-request-01,F3,prefill,20,0,3541565440,297287680,0,56033280,3838853120
Fugue-asplos-request-01,F3,prefill,21,0,3541565440,307036160,0,56033280,3848601600
Fugue-asplos-request-01,F3,prefill,22,0,3541565440,316784640,0,56033280,3858350080
Fugue-asplos-request-01,F3,prefill,23,0,3541565440,326533120,0,56033280,3868098560
Fugue-asplos-request-01,F3,prefill,24,0,3541565440,336281600,0,56033280,3877847040
Fugue-asplos-request-01,F3,prefill,25,0,3541565440,346030080,0,56033280,3887595520
Fugue-asplos-request-01,F3,prefill,26,0,3541565440,355778560,0,56033280,3897344000
Fugue-asplos-request-01,F3,prefill,27,0,3541565440,365527040,0,56033280,3907092480
Fugue-asplos-request-01,F3,prefill,28,0,3541565440,375275520,0,56033280,3916840960
Fugue-asplos-request-01,F3,prefill,29,0,3541565440,385024000,0,56033280,3926589440
Fugue-asplos-request-01,F3,prefill,30,0,3541565440,394772480,0,56033280,3936337920
Fugue-asplos-request-01,F3,prefill,31,0,3541565440,404520960,0,56033280,3946086400
Fugue-asplos-request-01,F3,decode,all,1,3541565440,405045248,0,16384,3946610688
Fugue-asplos-request-01,F3,decode,all,2,3541565440,405569536,0,16384,3947134976
Fugue-asplos-request-01,F3,decode,all,3,3541565440,406093824,0,16384,3947659264
Fugue-asplos-request-01,F3,decode,all,4,3541565440,406618112,0,16384,3948183552
Fugue-asplos-request-01,F3,decode,all,5,3541565440,407142400,0,16384,3948707840
Fugue-asplos-request-01,F3,decode,all,6,3541565440,407666688,0,16384,3949232128
Fugue-asplos-request-01,F3,decode,all,7,3541565440,408190976,0,16384,3949756416
Fugue-asplos-request-01,F3,decode,all,8,3541565440,408715264,0,16384,3950280704
Fugue-asplos-request-01,F3,decode,all,9,3541565440,409239552,0,16384,3950804992
Fugue-asplos-request-01,F4,prefill,0,0,3541565440,56033280,0,56033280,3597598720
Fugue-asplos-request-01,F4,prefill,1,0,3541565440,112066560,0,56033280,3653632000
Fugue-asplos-request-01,F4,prefill,2,0,3541565440,121815040,0,9748480,3663380480
Fugue-asplos-request-01,F4,prefill,3,0,3541565440,131563520,0,9748480,3673128960
Fugue-asplos-request-01,F4,prefill,4,0,3541565440,141312000,0,9748480,3682877440
Fugue-asplos-request-01,F4,prefill,5,0,3541565440,151060480,0,9748480,3692625920
Fugue-asplos-request-01,F4,prefill,6,0,3541565440,160808960,0,9748480,3702374400
Fugue-asplos-request-01,F4,prefill,7,0,3541565440,170557440,0,9748480,3712122880
Fugue-asplos-request-01,F4,prefill,8,0,3541565440,180305920,0,9748480,3721871360
Fugue-asplos-request-01,F4,prefill,9,0,3541565440,190054400,0,9748480,3731619840
Fugue-asplos-request-01,F4,prefill,10,0,3541565440,199802880,0,9748480,3741368320
Fugue-asplos-request-01,F4,prefill,11,0,3541565440,209551360,0,9748480,3751116800
Fugue-asplos-request-01,F4,prefill,12,0,3541565440,219299840,0,9748480,3760865280
Fugue-asplos-request-01,F4,prefill,13,0,3541565440,229048320,0,9748480,3770613760
Fugue-asplos-request-01,F4,prefill,14,0,3541565440,238796800,0,9748480,3780362240
Fugue-asplos-request-01,F4,prefill,15,0,3541565440,248545280,0,9748480,3790110720
Fugue-asplos-request-01,F4,prefill,16,0,3541565440,258293760,0,9748480,3799859200
Fugue-asplos-request-01,F4,prefill,17,0,3541565440,268042240,0,9748480,3809607680
Fugue-asplos-request-01,F4,prefill,18,0,3541565440,277790720,0,9748480,3819356160
Fugue-asplos-request-01,F4,prefill,19,0,3541565440,287539200,0,9748480,3829104640
Fugue-asplos-request-01,F4,prefill,20,0,3541565440,297287680,0,9748480,3838853120
Fugue-asplos-request-01,F4,prefill,21,0,3541565440,307036160,0,9748480,3848601600
Fugue-asplos-request-01,F4,prefill,22,0,3541565440,316784640,0,9748480,3858350080
Fugue-asplos-request-01,F4,prefill,23,0,3541565440,326533120,0,9748480,3868098560
Fugue-asplos-request-01,F4,prefill,24,0,3541565440,336281600,0,9748480,3877847040
Fugue-asplos-request-01,F4,prefill,25,0,3541565440,346030080,0,9748480,3887595520
Fugue-asplos-request-01,F4,prefill,26,0,3541565440,355778560,0,9748480,3897344000
Fugue-asplos-request-01,F4,prefill,27,0,3541565440,365527040,0,9748480,3907092480
Fugue-asplos-request-01,F4,prefill,28,0,3541565440,375275520,0,9748480,3916840960
Fugue-asplos-request-01,F4,prefill,29,0,3541565440,385024000,0,9748480,3926589440
Fugue-asplos-request-01,F4,prefill,30,0,3541565440,394772480,0,9748480,3936337920
Fugue-asplos-request-01,F4,prefill,31,0,3541565440,404520960,0,9748480,3946086400
Fugue-asplos-request-01,F4,decode,all,1,3541565440,405045248,0,16384,3946610688
Fugue-asplos-request-01,F4,decode,all,2,3541565440,405569536,0,16384,3947134976
Fugue-asplos-request-01,F4,decode,all,3,3541565440,406093824,0,16384,3947659264
Fugue-asplos-request-01,F4,decode,all,4,3541565440,406618112,0,16384,3948183552
Fugue-asplos-request-01,F4,decode,all,5,3541565440,407142400,0,16384,3948707840
Fugue-asplos-request-01,F4,decode,all,6,3541565440,407666688,0,16384,3949232128
Fugue-asplos-request-01,F4,decode,all,7,3541565440,408190976,0,16384,3949756416
Fugue-asplos-request-01,F4,decode,all,8,3541565440,408715264,0,16384,3950280704
Fugue-asplos-request-01,F4,decode,all,9,3541565440,409239552,0,16384,3950804992
Fugue-asplos-request-02,F1,prefill,0,0,3541565440,0,56655872,56655872,3541565440
Fugue-asplos-request-02,F1,prefill,1,0,3541565440,0,113311744,56655872,3541565440
Fugue-asplos-request-02,F1,prefill,2,0,3541565440,0,169967616,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,3,0,3541565440,0,226623488,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,4,0,3541565440,0,283279360,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,5,0,3541565440,0,339935232,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,6,0,3541565440,0,396591104,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,7,0,3541565440,0,453246976,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,8,0,3541565440,0,509902848,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,9,0,3541565440,0,566558720,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,10,0,3541565440,0,623214592,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,11,0,3541565440,0,679870464,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,12,0,3541565440,0,736526336,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,13,0,3541565440,0,793182208,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,14,0,3541565440,0,849838080,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,15,0,3541565440,0,906493952,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,16,0,3541565440,0,963149824,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,17,0,3541565440,0,1019805696,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,18,0,3541565440,0,1076461568,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,19,0,3541565440,0,1133117440,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,20,0,3541565440,0,1189773312,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,21,0,3541565440,0,1246429184,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,22,0,3541565440,0,1303085056,9895936,3541565440
Fugue-asplos-request-02,F1,prefill,23,0,3541565440,0,1359740928,9895936,3541565440
