workload,model,ablation,policy,engine,kv_mapping,decode_attn,pim_prefill_mode,pim_prefill_share,prefill_side_census,pim_attn_rows,gpu_attn_rows,makespan_s,link_bytes,event_count,gpu_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,energy_total_nj,energy_gpu_nj,energy_link_nj,energy_pim_nj,energy_die_nj,energy_tlb_nj
workload_multisource_rag_n12s96.json,LLAMA3-8B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=12,mixed=0,none=0/12",0,9590784,86.68631767922881,39410073600,329344,4.731928527151688,0.21462588522002207,9.457374701671429e-06,281717722588234.25,2439518236106.2266,3278918123.52809,279274925434673.28,344.9081855996703,0.0
workload_multisource_rag_n12s96.json,LLAMA3-8B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=12,mixed=0,none=0/12",0,1994624,33.21583544475001,319602819072,7392,32.150492714509426,0.0,0.0,1640490823938.7358,1613899869392.0605,26590954546.7905,0.0,0.0,0.0
workload_multisource_rag_n12s96.json,LLAMA3-8B,A3,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=12,mixed=0,none=0/12",0,1994624,109.9805085624093,20992263718,206254422,19.338772338779226,89.51549730685963,0.02663790249102319,6898432991695.804,1224352107405.6318,1746556341.3398173,5672333332726.866,971477.910751711,20592.524800001163
workload_multisource_rag_n12s96.json,LLAMA3-8B,A3a,recompute,dag,naive-mask,pim,gpu,0.0,"pim=0,gpu=12,mixed=0,none=0/12",0,1994624,23.129729462405468,20992263718,1033334,19.338772338779226,3.717363354990417,9.823494928407583e-05,2017943981211.607,1224352107405.6318,1746556341.3398173,791845313779.2511,3582.6050240043983,70.41600000000437
workload_multisource_rag_n12s96.json,LLAMA3-8B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=12,mixed=0,none=0/12",0,1994624,20.081791841086357,20992263718,600950,19.338772338779226,0.6715852394092023,4.7209173627716515e-05,2101117397701.8523,1224352107405.6318,1746556341.3398173,875018732205.9639,1721.7072319992712,28.24640000000192
workload_multisource_rag_n12s96.json,LLAMA3-8B,A5,recompute,dag,master-diff,pim,pim,0.5993,"pim=11,gpu=1,mixed=0,none=0/12",1195392,799232,17.885413605935792,6659409446,10646126,8.197667025961216,9.627315194225426,0.001529993493468973,6565514485020.592,797383742979.1145,554062865.9064825,5767576622391.611,55798.495506212275,734.0568000025813
workload_multisource_rag_n12s96.json,LLAMA3-8B,A6,recompute,dag,master-diff,pim,dynamic,0.5993,"pim=11,gpu=1,mixed=0,none=0/12",1195392,799232,17.885413605935792,6659409446,10646126,8.197667025961216,9.627315194225426,0.001529993493468973,6565514485020.592,797383742979.1145,554062865.9064825,5767576622391.611,55798.495506212275,734.0568000025813
