workload,ablation,tier,prefill_s,decode_s,tier_total_s,first_s,last_s,cum_end_s,decode_batches
workload_star_repair_r5w3k47.json,A1,0,0.15521751518231122,0.554285609273916,0.7095031244562272,0.15521751518231122,0.7095031244562272,0.7095031244562272,4096
workload_star_repair_r5w3k47.json,A1,1,0.45158476991179886,1.134660693200046,1.5862454631118448,1.161087894368026,2.295748587568072,2.295748587568072,8192
workload_star_repair_r5w3k47.json,A1,2,0.657947595643086,0.562577191284134,1.22052478692722,2.953696183211158,3.516273374495292,3.516273374495292,4096
workload_star_repair_r5w3k47.json,A1,3,1.725091719889416,1.1804008833336876,2.9054926032231037,5.241365094384708,6.421765977718396,6.421765977718396,8192
workload_star_repair_r5w3k47.json,A1,4,1.7645895588106981,0.5738887260516705,2.3384782848623686,8.186355536529094,8.760244262580764,8.760244262580764,4096
workload_star_repair_r5w3k47.json,A1,5,4.705205291379791,1.243901097625903,5.949106389005694,13.465449553960555,14.709350651586458,14.709350651586458,8192
workload_star_repair_r5w3k47.json,A1,6,3.38638348985652,0.5884963678465844,3.9748798577031046,18.09573414144298,18.684230509289563,18.684230509289563,4096
workload_star_repair_r5w3k47.json,A1,7,9.107282920024065,1.3288560872667468,10.436139007290812,27.79151342931363,29.120369516580375,29.120369516580375,8192
workload_star_repair_r5w3k47.json,A1,8,5.857733313709126,0.6064392710594859,6.464172584768612,34.9781028302895,35.58454210134899,35.58454210134899,4096
workload_star_repair_r5w3k47.json,A1,9,16.230913131061257,1.4337240215101517,17.66463715257141,51.815455232410244,53.249179253920396,53.249179253920396,8192
workload_star_repair_r5w3k47.json,A3,0,0.14788505350196798,0.6207417562713524,0.7686268097733204,0.14788505350196798,0.7686268097733204,0.7686268097733204,4096
workload_star_repair_r5w3k47.json,A3,1,0.04375933857189018,4.366930843790926,4.410690182362816,0.8123861483452106,5.179316992136137,5.179316992136137,8192
workload_star_repair_r5w3k47.json,A3,2,0.3823687717653872,0.8565898242630894,1.2389585960284766,5.561685763901524,6.418275588164613,6.418275588164613,4096
workload_star_repair_r5w3k47.json,A3,3,0.07839005209845418,7.395461235946451,7.473851288044905,6.496665640263068,13.892126876209518,13.892126876209518,8192
workload_star_repair_r5w3k47.json,A3,4,0.7542103813974848,1.0314792885392503,1.785689669936735,14.646337257607003,15.677816546146254,15.677816546146254,4096
workload_star_repair_r5w3k47.json,A3,5,0.17656924888561143,10.886358619097452,11.062927867983063,15.854385795031865,26.740744414129317,26.740744414129317,8192
workload_star_repair_r5w3k47.json,A3,6,1.102858766194462,1.2743212794888485,2.3771800456833105,27.84360318032378,29.117924459812627,29.117924459812627,4096
workload_star_repair_r5w3k47.json,A3,7,0.3389401745109346,14.982555318426517,15.321495492937451,29.456864634323562,44.43941995275008,44.43941995275008,8192
workload_star_repair_r5w3k47.json,A3,8,1.5945151154755806,1.561500763217829,3.1560158786934096,46.03393506822566,47.59543583144349,47.59543583144349,4096
workload_star_repair_r5w3k47.json,A3,9,0.5912143178245088,18.739287526540984,19.330501844365493,48.186650149268,66.92593767580898,66.92593767580898,8192
workload_star_repair_r5w3k47.json,A3a,0,0.14788505350196798,0.6207417562713524,0.7686268097733204,0.14788505350196798,0.7686268097733204,0.7686268097733204,4096
workload_star_repair_r5w3k47.json,A3a,1,0.04375933857189018,1.6187794090300593,1.6625387476019495,0.8123861483452106,2.43116555737527,2.43116555737527,8192
workload_star_repair_r5w3k47.json,A3a,2,0.3820891960584847,0.7598735651870676,1.1419627612455523,2.8132547534337546,3.5731283186208223,3.5731283186208223,4096
workload_star_repair_r5w3k47.json,A3a,3,0.07837036847976986,2.3182941941847575,2.3966645626645273,3.651498687100592,5.96979288128535,5.96979288128535,8192
workload_star_repair_r5w3k47.json,A3a,4,0.7536929753155741,0.9397658448684254,1.6934588201839995,6.723485856600924,7.663251701469349,7.663251701469349,4096
