case_id,variant,layer,operation,bytes,standalone_us,energy_J
Fugue-asplos-EPIC-shared-readers-B1,F1,14,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,15,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,15,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,15,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,15,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,16,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,16,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,16,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,16,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,17,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,17,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,17,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,17,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,18,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,18,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,18,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,18,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,19,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,19,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,19,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,19,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,20,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,20,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,20,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,20,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,21,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,21,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,21,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,21,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,22,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,22,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,22,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,22,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,23,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,23,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,23,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,23,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,24,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,24,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,24,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,24,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,25,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,25,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,25,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,25,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,26,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,26,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,26,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,26,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,27,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,27,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,27,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,27,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,28,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,28,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,28,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,28,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,29,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,29,KV_export,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,29,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,29,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F1,30,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F1,30,KV_export,0,0.0,0.0
