case_id,variant,layer,attention_device,common_GPU_ms,attention_service_ms,GPU_attention_kernel_ms,PIM_scan_ms,layer_latency_ms
Fugue-asplos-EPIC-shared-readers-B1,F1,0,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,1,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,2,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,3,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,4,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,5,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,6,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,7,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,8,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,9,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,10,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,11,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,12,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,13,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,14,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,15,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,16,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,17,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,18,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,19,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,20,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,21,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,22,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,23,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,24,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,25,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
Fugue-asplos-EPIC-shared-readers-B1,F1,26,GPU,0.3596364090153574,1.0462119694435865,0.6176611427769199,0,1.405848378458944
