case_id,variant,phase,layer,step,remote_immutable_bytes,remote_private_bytes,GPU_live_KV_bytes,combined_live_KV_bytes
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,14,0,4212654080,1974681600,131645440,6318981120
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,15,0,4212654080,2106327040,131645440,6450626560
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,16,0,4212654080,2237972480,131645440,6582272000
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,17,0,4212654080,2369617920,131645440,6713917440
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,18,0,4212654080,2501263360,131645440,6845562880
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,19,0,4212654080,2632908800,131645440,6977208320
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,20,0,4212654080,2764554240,131645440,7108853760
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,21,0,4212654080,2896199680,131645440,7240499200
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,22,0,4212654080,3027845120,131645440,7372144640
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,23,0,4212654080,3159490560,131645440,7503790080
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,24,0,4212654080,3291136000,131645440,7635435520
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,25,0,4212654080,3422781440,131645440,7767080960
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,26,0,4212654080,3554426880,131645440,7898726400
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,27,0,4212654080,3686072320,131645440,8030371840
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,28,0,4212654080,3817717760,131645440,8162017280
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,29,0,4212654080,3949363200,131645440,8293662720
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,30,0,4212654080,4081008640,131645440,8425308160
Fugue-asplos-EPIC-shared-readers-B1,F2,prefill,31,0,4212654080,4212654080,131645440,8556953600
Fugue-asplos-EPIC-shared-readers-B1,F2,decode,all,1,4212654080,4213178368,16384,8425848832
