case_id,batch,prompt_tokens,query_tokens,profile_heads_per_HBM,GPU_candidate_us,PIM_candidate_us,choice,GPU_attention_us,PIM_scan_us,PIM_softmax_us,Q_input_us,O_return_us,cached_KV_read_us,new_KV_write_us,overlap_window_us,GPU_energy_J,PIM_energy_J,common_GPU_us
Fugue-asplos-EPIC-shared-readers-B1,1,8035,188,7,1046.2119694435867,601.3767726125699,PIM,617.6611427769199,508.73810200000025,72.10405727923627,5.133653333333333,5.133653333333333,428.5508266666667,10.267306666666666,0,0.02613682685056,0.017622734742016002,359.6364090153574
Fugue-asplos-EPIC-shared-readers-B2,2,8035,188,13,1474.7627961102535,693.9539232251393,PIM,617.6611427769199,508.67658200000005,144.20811455847254,10.267306666666666,10.267306666666666,857.1016533333334,20.534613333333333,0,0.05219534523392,0.03302555647283201,699.8363487646675
Fugue-asplos-EPIC-shared-readers-B4,4,8035,188,26,2949.525592220507,1383.9244264502788,PIM,1235.3222855538397,1013.3697440000003,288.4162291169451,20.534613333333333,20.534613333333333,1714.2033066666668,41.069226666666665,0,0.10431238200063998,0.07260185598566402,1385.9326975293345
