model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
LLAMA-65B,4,64,64,1,1,1024,1025,300,20.22297346623614,0.024463007159904536,0.013653333333333335,0.013653333333333335,4096,8192,8388608,27.96202666666667,0.02730666666666667,48.185000132902815,1.54569,1.5974596738265712,0,0.736702,30.16351581350406,"{""scan-N1025-H4-Q1"": 1}",1.54569,1.5974596738265712,0,0.736702,30.16351581350406,"{""scan-N1025-H4-Q1"": 1}"
LLAMA-65B,4,64,64,1,2,1024,1026,300,20.573219149234873,0.04897374701670644,0.02730666666666667,0.02730666666666667,8192,16384,8388608,27.96202666666667,0.05461333333333334,48.53524581590155,3.09138,3.1949670803500396,0,0.736702,15.191156777297387,"{""scan-N1026-H4-Q1"": 2}",1.849445,1.9530320803500398,0,0.856666,24.8512281514611,"{""scan-N1026-H4-Q2"": 1}"
LLAMA-65B,4,64,64,1,4,1024,1028,300,21.275529973325845,0.09813842482100238,0.05461333333333334,0.05461333333333334,16384,32768,8388608,27.96202666666667,0.10922666666666668,49.23755663999252,6.18276,6.390125091487668,0,0.736702,7.705257085746603,"{""scan-N1028-H4-Q1"": 4}",2.0924490000000002,2.2998140914876695,0,0.9058820000000001,21.409363836075315,"{""scan-N1028-H4-Q4"": 1}"
LLAMA-65B,4,64,64,1,8,1024,1032,300,22.68742945388179,0.19704057279236278,0.10922666666666668,0.10922666666666668,32768,65536,8388608,27.96202666666667,0.21845333333333336,50.649456120548464,12.365520000000002,12.781013906125697,0,0.736702,3.962866834553176,"{""scan-N1032-H4-Q1"": 8}",2.8406860000000003,3.256179906125696,0,1.0996700000000001,15.554870302240996,"{""scan-N1032-H4-Q8"": 1}"
LLAMA-65B,4,64,64,1,12,1024,1036,300,24.109032710936404,0.29670644391408113,0.16384,0.16384,49152,98304,8388608,27.96202666666667,0.32768,52.07105937760308,18.548280000000002,19.172666443914085,0,0.736702,2.715900760592005,"{""scan-N1036-H4-Q1"": 12}",4.933135,5.557521443914081,0,1.0996700000000001,9.36947520636649,"{""scan-N1036-H4-Q4"": 1, ""scan-N1036-H4-Q8"": 1}"
LLAMA-65B,4,64,64,1,16,1024,1040,300,25.540339744489685,0.3971360381861575,0.21845333333333336,0.21845333333333336,65536,131072,8388608,27.96202666666667,0.4369066666666667,53.50236641115636,24.731040000000004,25.565082704852827,0,0.736702,2.092790664080285,"{""scan-N1040-H4-Q1"": 16}",5.6813720000000005,6.515414704852825,0,1.0996700000000001,8.21165940079096,"{""scan-N1040-H4-Q8"": 2}"
LLAMA-65B,4,64,64,1,24,1024,1048,300,28.432065141092238,0.6002863961813842,0.32768,0.32768,98304,196608,8388608,27.96202666666667,0.65536,56.39409180775891,37.539504000000015,38.7951503961814,0,0.736702,1.4536376642919207,"{""scan-N1048-H4-Q1"": 24}",8.554356,9.810002396181385,0,1.0996700000000001,5.748631807644688,"{""scan-N1048-H4-Q8"": 3}"
LLAMA-65B,4,64,64,1,32,1024,1056,300,31.36260564368946,0.806491646778043,0.4369066666666667,0.4369066666666667,131072,262144,8388608,27.96202666666667,0.8738133333333334,59.32463231035613,50.05267200000002,51.87008831344473,0.13711133333333347,0.736702,1.1437156603988117,"{""scan-N1056-H4-Q1"": 32}",11.405808,13.086112980111377,0,1.0996700000000001,4.533403647096681,"{""scan-N1056-H4-Q8"": 4}"
LLAMA-65B,4,64,64,1,48,1024,1072,300,37.340131966867894,1.2280668257756564,0.65536,0.65536,196608,393216,8388608,27.96202666666667,1.31072,65.30215863353456,75.964896,79.07770082577565,0.5740180000000001,0.736702,0.8257973860090921,"{""scan-N1072-H4-Q1"": 48}",17.21022,19.960056825775656,0.21104999999999996,1.0996700000000001,3.2716419198369135,"{""scan-N1072-H4-Q8"": 6}"
LLAMA-65B,4,64,64,1,64,1024,1088,300,43.47291871402499,1.6618615751789976,0.8738133333333334,0.8738133333333334,262144,524288,8388608,27.96202666666667,1.7476266666666669,71.43494538069166,102.46771199999992,106.88812490851225,1.010924666666667,0.736702,0.6683150765516216,"{""scan-N1088-H4-Q1"": 64}",23.033087999999996,27.090532908512323,0.6479566666666667,1.0996700000000001,2.6368970157189318,"{""scan-N1088-H4-Q8"": 8}"
LLAMA-65B,4,64,64,1,96,1024,1120,300,56.20427348027517,2.566109785202864,1.31072,1.31072,393216,786432,8388608,27.96202666666667,2.62144,84.16630014694184,157.24511999999982,164.31740778520268,1.8847380000000002,0.736702,0.512217794093763,"{""scan-N1120-H4-Q1"": 96}",34.844928,41.55424778520286,1.52177,1.0996700000000001,2.025455991454929,"{""scan-N1120-H4-Q8"": 12}"
LLAMA-65B,4,64,64,1,128,1024,1152,300,69.55666994243998,3.5192362768496417,1.7476266666666669,1.7476266666666669,524288,1048576,8388608,27.96202666666667,3.4952533333333338,97.51869660910666,214.38489599999966,224.15793694351598,2.758551333333334,0.736702,0.4350445848084323,"{""scan-N1152-H4-Q1"": 128}",47.24735999999999,56.6574329435163,2.3955833333333336,1.0996700000000001,1.7211986414267362,"{""scan-N1152-H4-Q8"": 16}"
LLAMA-65B,4,64,64,1,192,1024,1216,300,98.12458795451356,5.572124105011933,2.62144,2.62144,786432,1572864,8388608,27.96202666666667,5.24288,126.08661462118023,335.751552000001,351.07273410501296,4.506178,0.736702,0.3591467020149311,"{""scan-N1216-H4-Q1"": 192}",73.15958400000001,88.11779810501194,4.14321,1.0996700000000001,1.430887032276045,"{""scan-N1216-H4-Q8"": 24}"
LLAMA-65B,4,64,64,1,256,1024,1280,300,129.1766727502457,7.82052505966587,3.4952533333333338,3.4952533333333338,1048576,2097152,8388608,27.96202666666667,6.9905066666666675,157.13869941691237,466.5676799999968,487.632516392996,6.253804666666667,0.736702,0.32224819743208044,"{""scan-N1280-H4-Q1"": 256}",101.38495999999998,122.08682839299918,5.890836666666667,1.0996700000000001,1.2871060824930332,"{""scan-N1280-H4-Q8"": 32}"
LLAMA-65B,4,64,64,1,384,1024,1408,300,201.75714693765593,12.903866348448688,5.24288,5.24288,1572864,3145728,8388608,27.96202666666667,10.48576,229.7191736043226,784.8967679999948,818.0354523484435,9.749058000000002,0.736702,0.28081811484433483,"{""scan-N1408-H4-Q1"": 384}",169.3522560000001,202.12797234844876,9.386090000000001,1.0996700000000001,1.1365036265653985,"{""scan-N1408-H4-Q8"": 48}"
LLAMA-65B,4,64,64,1,512,1024,1536,300,293.4649410002268,18.76926014319809,6.9905066666666675,6.9905066666666675,2097152,4194304,8388608,27.96202666666667,13.981013333333335,321.42696766689346,1122.1247999999932,1168.119384809858,13.244311333333336,0.736702,0.2751661960641241,"{""scan-N1536-H4-Q1"": 512}",239.5834880000002,285.21510480986495,12.881343333333335,1.0996700000000001,1.1269633418649714,"{""scan-N1536-H4-Q8"": 64}"
LLAMA-65B,4,64,64,1,768,1024,1792,300,513.563646750397,32.84620525059666,10.48576,10.48576,3145728,6291456,8388608,27.96202666666667,20.97152,541.5256734170637,1966.6713600000257,2040.7239032506225,20.234818,0.736702,0.26535959742250276,"{""scan-N1792-H4-Q1"": 768}",450.03110399999935,523.720679250596,19.871850000000002,1.0996700000000001,1.0339971188304904,"{""scan-N1792-H4-Q8"": 96}"
