request_id,variant,layer,attention_device,query_tokens,elapsed_s,energy_J,attention_service_s,common_GPU_s,selector_V_transfer_s,KV_stored_private_tokens
Fugue-asplos-request-01,F1,0,GPU,3420,0.01040354026133572,0.8144207491737601,0.004364628265272844,0.006038911996062875,0.0,0
Fugue-asplos-request-01,F1,1,GPU,595,0.0030497176541455593,0.28532491249792,0.000759343221589866,0.0021985694192223583,9.180501333333333e-05,0
Fugue-asplos-request-01,F1,2,GPU,595,0.0020028724767096624,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,3,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,4,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,5,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,6,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,7,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,8,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,9,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,10,GPU,595,0.002002872476709657,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,11,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,12,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,13,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,14,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,15,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,16,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,17,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
Fugue-asplos-request-01,F1,18,GPU,595,0.0020028724767096537,0.15517377325184,0.0009136258882565327,0.0010892465884531277,0.0,0
