baseline,variant,metric,baseline_value,variant_value,reduction_percent
F1,F2,TTFT_ms,74.18173955488379,80.19182766155046,-8.101843044837299
F1,F2,TBT_ms,7.596698250521658,5.594448873834304,26.356837018633207
F1,F2,E2E_ms,142.55202380957869,130.54186752605926,8.42510401645551
F1,F2,TTFT_energy_mJ,5793.34094835328,5812.092423246078,-0.323672904114658
F1,F2,TBT_energy_mJ,485.8691241801954,434.89125977037924,10.49209794835818
F1,F2,E2E_energy_mJ,10166.163065975037,9726.113761179495,4.328568231099261
F1,F2,remote_peak_KV_MiB,3377.5,5111.0,-51.324944485566235
F1,F2,remote_peak_private_KV_MiB,0.0,1733.5,undefined
F1,F2,total_GPU_remote_peak_KV_MiB,5111.0,5160.53125,-0.9691107415378486
F2,F3,TTFT_ms,80.19182766155046,74.18173955488379,7.494639144567506
F2,F3,TBT_ms,5.594448873834304,5.594448873834304,0.0
F2,F3,E2E_ms,130.54186752605926,124.53177941939259,4.603954440491598
F2,F3,TTFT_energy_mJ,5812.092423246078,5797.577444430079,0.2497375774333066
F2,F3,TBT_energy_mJ,434.89125977037924,434.89125977037924,0.0
F2,F3,E2E_energy_mJ,9726.113761179495,9711.598782363493,0.14923718940997865
F2,F3,remote_peak_KV_MiB,5111.0,3773.1875,26.17516141655254
F2,F3,remote_peak_private_KV_MiB,1733.5,395.6875,77.17406980098067
F2,F3,total_GPU_remote_peak_KV_MiB,5160.53125,3822.71875,25.92392982796102
F3,F4,TTFT_ms,74.18173955488379,71.6962312866466,3.350566167834712
F3,F4,TBT_ms,5.594448873834304,5.594448873834304,0.0
F3,F4,E2E_ms,124.53177941939259,122.0462711511554,1.9958827215233232
F3,F4,TTFT_energy_mJ,5797.577444430079,5587.315495333376,3.62672083490162
F3,F4,TBT_energy_mJ,434.89125977037924,434.89125977037924,0.0
F3,F4,E2E_energy_mJ,9711.598782363493,9501.33683326679,2.1650600875166237
F3,F4,remote_peak_KV_MiB,3773.1875,3773.1875,0.0
F3,F4,remote_peak_private_KV_MiB,395.6875,395.6875,0.0
F3,F4,total_GPU_remote_peak_KV_MiB,3822.71875,3778.125,1.1665454069829218
F1,F4,TTFT_ms,74.18173955488379,71.6962312866466,3.350566167834712
F1,F4,TBT_ms,7.596698250521658,5.594448873834304,26.356837018633207
F1,F4,E2E_ms,142.55202380957869,122.0462711511554,14.38475029005195
F1,F4,TTFT_energy_mJ,5793.34094835328,5587.315495333376,3.5562459530103285
F1,F4,TBT_energy_mJ,485.8691241801954,434.89125977037924,10.49209794835818
F1,F4,E2E_energy_mJ,10166.163065975037,9501.33683326679,6.53959835577832
F1,F4,remote_peak_KV_MiB,3377.5,3773.1875,-11.715396002960766
F1,F4,remote_peak_private_KV_MiB,0.0,395.6875,undefined
F1,F4,total_GPU_remote_peak_KV_MiB,5111.0,3778.125,26.078556055566427
