model,GPUs,Q_heads,KV_heads,gqa_size,q,cached,total_kv,link_GBps,gpu_attention_us,pim_softmax_us,q_input_us,output_us,q_input_bytes,new_kv_bytes,cached_kv_bytes,cached_kv_readback_us,new_kv_transfer_us,gpu_service_us,plain_scan_us,plain_service_us,plain_new_kv_exposed_us,plain_overlap_window_us,plain_speedup_over_GPU,plain_profile_repeats,mq_scan_us,mq_service_us,mq_new_kv_exposed_us,mq_overlap_window_us,mq_speedup_over_GPU,mq_profile_repeats
LLAMA-65B,4,64,64,1,1,1024,1025,450,20.22297346623614,0.024463007159904536,0.009102222222222222,0.009102222222222222,4096,8192,8388608,18.64135111111111,0.018204444444444443,38.86432457734725,1.54569,1.588357451604349,0,0.736702,24.468248339246077,"{""scan-N1025-H4-Q1"": 1}",1.54569,1.588357451604349,0,0.736702,24.468248339246077,"{""scan-N1025-H4-Q1"": 1}"
LLAMA-65B,4,64,64,1,2,1024,1026,450,20.573219149234873,0.04897374701670644,0.018204444444444443,0.018204444444444443,8192,16384,8388608,18.64135111111111,0.036408888888888886,39.21457026034598,3.09138,3.1767626359055954,0,0.736702,12.344192737952906,"{""scan-N1026-H4-Q1"": 2}",1.849445,1.9348276359055954,0,0.856666,20.267733173033584,"{""scan-N1026-H4-Q2"": 1}"
LLAMA-65B,4,64,64,1,4,1024,1028,450,21.275529973325845,0.09813842482100238,0.036408888888888886,0.036408888888888886,16384,32768,8388608,18.64135111111111,0.07281777777777777,39.91688108443695,6.18276,6.35371620259878,0,0.736702,6.282446337170404,"{""scan-N1028-H4-Q1"": 4}",2.0924490000000002,2.2634052025987805,0,0.9058820000000001,17.635764483798777,"{""scan-N1028-H4-Q4"": 1}"
LLAMA-65B,4,64,64,1,8,1024,1032,450,22.68742945388179,0.19704057279236278,0.07281777777777777,0.07281777777777777,32768,65536,8388608,18.64135111111111,0.14563555555555555,41.3287805649929,12.365520000000002,12.70819612834792,0,0.736702,3.252135877317915,"{""scan-N1032-H4-Q1"": 8}",2.8406860000000003,3.1833621283479188,0,1.0996700000000001,12.982745568579547,"{""scan-N1032-H4-Q8"": 1}"
LLAMA-65B,4,64,64,1,12,1024,1036,450,24.109032710936404,0.29670644391408113,0.10922666666666668,0.10922666666666668,49152,98304,8388608,18.64135111111111,0.21845333333333336,42.75038382204751,18.548280000000002,19.063439777247417,0,0.736702,2.242532529363925,"{""scan-N1036-H4-Q1"": 12}",4.933135,5.448294777247415,0,1.0996700000000001,7.846562194207459,"{""scan-N1036-H4-Q4"": 1, ""scan-N1036-H4-Q8"": 1}"
LLAMA-65B,4,64,64,1,16,1024,1040,450,25.540339744489685,0.3971360381861575,0.14563555555555555,0.14563555555555555,65536,131072,8388608,18.64135111111111,0.2912711111111111,44.18169085560079,24.731040000000004,25.419447149297273,0,0.736702,1.738105891764928,"{""scan-N1040-H4-Q1"": 16}",5.6813720000000005,6.369779149297269,0,1.0996700000000001,6.9361417123033275,"{""scan-N1040-H4-Q8"": 2}"
LLAMA-65B,4,64,64,1,24,1024,1048,450,28.432065141092238,0.6002863961813842,0.21845333333333336,0.21845333333333336,98304,196608,8388608,18.64135111111111,0.4369066666666667,47.073416252203344,37.539504000000015,38.57669706284806,0,0.736702,1.220255227540934,"{""scan-N1048-H4-Q1"": 24}",8.554356,9.591549062848053,0,1.0996700000000001,4.907801226241725,"{""scan-N1048-H4-Q8"": 3}"
LLAMA-65B,4,64,64,1,32,1024,1056,450,31.36260564368946,0.806491646778043,0.2912711111111111,0.2912711111111111,131072,262144,8388608,18.64135111111111,0.5825422222222222,50.00395675480057,50.05267200000002,51.44170586900029,0,0.736702,0.972050905196242,"{""scan-N1056-H4-Q1"": 32}",11.405808,12.794841869000265,0,1.0996700000000001,3.9081340173458248,"{""scan-N1056-H4-Q8"": 4}"
LLAMA-65B,4,64,64,1,48,1024,1072,450,37.340131966867894,1.2280668257756564,0.4369066666666667,0.4369066666666667,196608,393216,8388608,18.64135111111111,0.8738133333333334,55.98148307797901,75.964896,78.20388749244232,0.13711133333333347,0.736702,0.7158401567107402,"{""scan-N1072-H4-Q1"": 48}",17.21022,19.31210015910899,0,1.0996700000000001,2.898777585905077,"{""scan-N1072-H4-Q8"": 6}"
LLAMA-65B,4,64,64,1,64,1024,1088,450,43.47291871402499,1.6618615751789976,0.5825422222222222,0.5825422222222222,262144,524288,8388608,18.64135111111111,1.1650844444444444,62.114269825136105,102.46771199999992,105.72304046406781,0.4283824444444444,0.736702,0.5875187617806635,"{""scan-N1088-H4-Q1"": 64}",23.033087999999996,25.92544846406788,0.06541444444444422,1.0996700000000001,2.395880245281973,"{""scan-N1088-H4-Q8"": 8}"
LLAMA-65B,4,64,64,1,96,1024,1120,450,56.20427348027517,2.566109785202864,0.8738133333333334,0.8738133333333334,393216,786432,8388608,18.64135111111111,1.7476266666666669,74.84562459138628,157.24511999999982,162.56978111853599,1.010924666666667,0.736702,0.4603907569809263,"{""scan-N1120-H4-Q1"": 96}",34.844928,39.8066211185362,0.6479566666666667,1.0996700000000001,1.8802305367368635,"{""scan-N1120-H4-Q8"": 12}"
LLAMA-65B,4,64,64,1,128,1024,1152,450,69.55666994243998,3.5192362768496417,1.1650844444444444,1.1650844444444444,524288,1048576,8388608,18.64135111111111,2.3301688888888887,88.19802105355109,214.38489599999966,221.8277680546271,1.5934668888888888,0.736702,0.39759684654011185,"{""scan-N1152-H4-Q1"": 128}",47.24735999999999,54.32726405462741,1.2304988888888886,1.0996700000000001,1.623457808677164,"{""scan-N1152-H4-Q8"": 16}"
LLAMA-65B,4,64,64,1,192,1024,1216,450,98.12458795451356,5.572124105011933,1.7476266666666669,1.7476266666666669,786432,1572864,8388608,18.64135111111111,3.4952533333333338,116.76593906562466,335.751552000001,347.57748077167963,2.758551333333334,0.736702,0.33594218706685175,"{""scan-N1216-H4-Q1"": 192}",73.15958400000001,84.62254477167862,2.3955833333333336,1.0996700000000001,1.3798443355806969,"{""scan-N1216-H4-Q8"": 24}"
LLAMA-65B,4,64,64,1,256,1024,1280,450,129.1766727502457,7.82052505966587,2.3301688888888887,2.3301688888888887,1048576,2097152,8388608,18.64135111111111,4.6603377777777775,147.8180238613568,466.5676799999968,482.9721786152183,3.9236357777777773,0.736702,0.3060590866438349,"{""scan-N1280-H4-Q1"": 256}",101.38495999999998,117.42649061522141,3.5606677777777773,1.0996700000000001,1.2588132634034104,"{""scan-N1280-H4-Q8"": 32}"
LLAMA-65B,4,64,64,1,384,1024,1408,450,201.75714693765593,12.903866348448688,3.4952533333333338,3.4952533333333338,1572864,3145728,8388608,18.64135111111111,6.9905066666666675,220.39849804876704,784.8967679999948,811.0449456817769,6.253804666666667,0.736702,0.27174634306301815,"{""scan-N1408-H4-Q1"": 384}",169.3522560000001,195.13746568178212,5.890836666666667,1.0996700000000001,1.1294524979030887,"{""scan-N1408-H4-Q8"": 48}"
LLAMA-65B,4,64,64,1,512,1024,1536,450,293.4649410002268,18.76926014319809,4.6603377777777775,4.6603377777777775,2097152,4194304,8388608,18.64135111111111,9.320675555555555,312.10629211133795,1122.1247999999932,1158.7987092543024,8.583973555555556,0.736702,0.2693360715876023,"{""scan-N1536-H4-Q1"": 512}",239.5834880000002,275.8944292543094,8.221005555555555,1.0996700000000001,1.1312526061323616,"{""scan-N1536-H4-Q8"": 64}"
LLAMA-65B,4,64,64,1,768,1024,1792,450,513.563646750397,32.84620525059666,6.9905066666666675,6.9905066666666675,3145728,6291456,8388608,18.64135111111111,13.981013333333335,532.2049978615081,1966.6713600000257,2026.7428899172892,13.244311333333336,0.736702,0.26259127416168077,"{""scan-N1792-H4-Q1"": 768}",450.03110399999935,509.7396659172627,12.881343333333335,1.0996700000000001,1.0440721675128415,"{""scan-N1792-H4-Q8"": 96}"
LLAMA-65B,4,64,64,1,1024,1024,2048,450,782.5731760006049,50.05136038186157,9.320675555555555,9.320675555555555,4194304,8388608,8388608,18.64135111111111,18.64135111111111,801.214527111716,3000.2073599999235,3086.8047206040073,17.90464911111111,0.736702,0.2595611318603074,"{""scan-N2048-H4-Q1"": 1024}",681.149439999999,767.3838326040827,17.54168111111111,1.0996700000000001,1.0440857535307075,"{""scan-N2048-H4-Q8"": 128}"
LLAMA-65B,4,64,64,1,1536,1024,2560,450,1467.324705001134,93.84630071599045,13.981013333333335,13.981013333333335,6291456,12582912,8388608,18.64135111111111,27.96202666666667,1485.966056112245,5634.247680000028,5783.281332049352,27.22532466666667,0.736702,0.25694168600746264,"{""scan-N2560-H4-Q1"": 1536}",1269.3298559999976,1418.0005400493214,26.86235666666667,1.0996700000000001,1.0479305290395444,"{""scan-N2560-H4-Q8"": 192}"
LLAMA-65B,4,64,64,1,2048,1024,3072,450,2347.7195280018145,150.1540811455847,18.64135111111111,18.64135111111111,8388608,16777216,8388608,18.64135111111111,37.28270222222222,2366.3608791129254,9714.057215999836,9938.039999589866,36.54600022222222,0.736702,0.2381114263185279,"{""scan-N3072-H4-Q1"": 2048}",1933.2044800000033,2156.8242955900323,36.18303222222222,1.0996700000000001,1.0971505114956854,"{""scan-N3072-H4-Q8"": 256}"
