model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
GPT-175B,D-lo_k8,A4b,18.591017586297106,8490621847934.715,master-diff,gpu,50677678080,7688928
GPT-175B,D-lo_k8,A5,17.53215279244114,8137002336569.402,master-diff,pim,13306429440,9157728
GPT-175B,D-lo_k8,A6,17.53215279244114,8137002336569.402,master-diff,dynamic,13306429440,9157728
LLAMA-33B,D-lo_k8,A3b,10.606183123443627,2145425683765.0044,naive,gpu,68626022400,6231180
LLAMA-33B,D-lo_k8,A4b,10.416995311198013,2145490024493.6094,master-diff,gpu,68626022400,6308940
LLAMA-33B,D-lo_k8,A5,9.557072497636138,1695187093621.698,master-diff,pim,18019123200,7226940
LLAMA-33B,D-lo_k8,A6,9.557072497636138,1695187093621.698,master-diff,dynamic,18019123200,7226940
LLAMA-65B,D-lo_k8,A3b,10.488793734620579,3299885547163.666,naive,gpu,28154265600,5855760
LLAMA-65B,D-lo_k8,A4b,10.476931296424773,3299862674080.3657,master-diff,gpu,28154265600,5795600
LLAMA-65B,D-lo_k8,A5,9.6992090212636,3103314985129.128,master-diff,pim,7392460800,7019600
LLAMA-65B,D-lo_k8,A6,9.6992090212636,3103314985129.128,master-diff,dynamic,7392460800,7019600
LLAMA-7B,D-lo_k8,A3b,6.000646532822307,678582118327.3262,naive,gpu,45046824960,3916192
LLAMA-7B,D-lo_k8,A4b,6.18682767046206,678576898908.9156,master-diff,gpu,45046824960,3761056
LLAMA-7B,D-lo_k8,A5,5.007722213935334,429057529342.75946,master-diff,pim,11827937280,4250656
LLAMA-7B,D-lo_k8,A6,4.881893385197684,390724754763.7261,master-diff,dynamic,45046824960,3761056
LLAMA3-8B,D-lo_k8,A3b,6.522542735301488,739418277096.987,naive,gpu,45046824960,4747680
LLAMA3-8B,D-lo_k8,A4b,6.833550429584273,739400008771.7568,master-diff,gpu,45046824960,4543904
LLAMA3-8B,D-lo_k8,A5,5.524362231789697,485524102871.6087,master-diff,pim,11827937280,5770784
LLAMA3-8B,D-lo_k8,A6,5.408822037933027,451547864605.5373,master-diff,dynamic,45046824960,4543904
GPT-13B,N-lo_k8,A3b,4.289046143576871,731455958272.7607,naive,gpu,19573967488,2408048
GPT-13B,N-lo_k8,A4b,4.300556770156008,731357927463.7198,master-diff,gpu,19573967488,2380528
GPT-13B,N-lo_k8,A5,3.9556463961013058,663318098948.9574,master-diff,pim,6763317888,2933928
GPT-13B,N-lo_k8,A6,3.9556463961013058,663318098948.9574,master-diff,dynamic,6763317888,2933928
GPT-175B,N-lo_k8,A3b,17.925174088363285,7839818830060.385,naive,gpu,28186512000,5435624
GPT-175B,N-lo_k8,A4b,17.909859888631818,7839736238625.094,master-diff,gpu,28186512000,5517032
GPT-175B,N-lo_k8,A5,17.13607422786048,7681895956076.106,master-diff,pim,9739176576,6845192
GPT-175B,N-lo_k8,A6,17.13607422786048,7681895956076.106,master-diff,dynamic,9739176576,6845192
LLAMA-33B,N-lo_k8,A3b,10.000064695305186,1777003674514.9475,naive,gpu,38169234048,3519908
LLAMA-33B,N-lo_k8,A4b,9.900571352897579,1776851083035.4119,master-diff,gpu,38169234048,3847268
LLAMA-33B,N-lo_k8,A5,9.37004780006613,1627797498579.6826,master-diff,pim,13188467328,4677368
LLAMA-33B,N-lo_k8,A6,9.37004780006613,1627797498579.6826,master-diff,dynamic,13188467328,4677368
LLAMA-65B,N-lo_k8,A3b,10.015391070286622,3005463005302.993,naive,gpu,15659174528,4530008
LLAMA-65B,N-lo_k8,A4b,10.037756726691205,3005374983433.276,master-diff,gpu,15659174528,4393048
LLAMA-65B,N-lo_k8,A5,9.421235989823046,2917578968236.6865,master-diff,pim,5410654848,5499848
LLAMA-65B,N-lo_k8,A6,9.421235989823046,2917578968236.6865,master-diff,dynamic,5410654848,5499848
LLAMA-7B,N-lo_k8,A3b,4.965204898204411,500884626531.2602,naive,gpu,25054677632,2205736
LLAMA-7B,N-lo_k8,A4b,5.070263138933425,500769064419.8283,master-diff,gpu,25054677632,2150952
LLAMA-7B,N-lo_k8,A5,4.712001269937971,422323083730.6836,master-diff,pim,8657046144,2593672
LLAMA-7B,N-lo_k8,A6,4.528153229954847,381032248153.86554,master-diff,dynamic,25054677632,2150952
LLAMA3-8B,N-lo_k8,A3b,5.536880409367549,556366551300.4266,naive,gpu,25054677632,2483240
LLAMA3-8B,N-lo_k8,A4b,5.682025567521744,556241895937.9022,master-diff,gpu,25054677632,2412200
LLAMA3-8B,N-lo_k8,A5,5.172505301242083,453241225290.8032,master-diff,pim,8657046144,3536040
LLAMA3-8B,N-lo_k8,A6,5.012902155571897,416548943626.64044,master-diff,dynamic,25054677632,2412200
GPT-13B,broadcast_k8,A3b,6.2378610766994536,1147752134547.757,naive,gpu,39099606016,5252392
GPT-13B,broadcast_k8,A4b,6.232085599198387,1147194024428.0122,master-diff,gpu,39099606016,4719952
GPT-13B,broadcast_k8,A5,5.682012156687403,948991234392.0786,master-diff,pim,9818121216,5414352
GPT-13B,broadcast_k8,A6,5.682012156687403,948991234392.0786,master-diff,dynamic,9818121216,5414352
GPT-175B,broadcast_k8,A3b,25.772757413294624,11562746964915.236,naive,gpu,56303428608,10960640
GPT-175B,broadcast_k8,A4b,25.753630661789106,11562203213332.371,master-diff,gpu,56303428608,10149728
GPT-175B,broadcast_k8,A5,24.591447424430413,11204195966200.994,master-diff,pim,14138090496,11816288
GPT-175B,broadcast_k8,A6,24.591447424430413,11204195966200.994,master-diff,dynamic,14138090496,11816288
LLAMA-33B,broadcast_k8,A3b,14.395472156430039,2779342322407.987,naive,gpu,76244222976,6762152
LLAMA-33B,broadcast_k8,A4b,14.227801782116305,2778357366704.092,master-diff,gpu,76244222976,7865252
LLAMA-33B,broadcast_k8,A5,13.300249823762195,2337288768884.0513,master-diff,pim,19145327616,8906852
LLAMA-33B,broadcast_k8,A6,13.300249823762195,2337288768884.0513,master-diff,dynamic,19145327616,8906852
LLAMA-65B,broadcast_k8,A3b,14.517266293289705,4454487250555.54,naive,gpu,31279686656,7948672
LLAMA-65B,broadcast_k8,A4b,14.50134752452655,4454047407332.625,master-diff,gpu,31279686656,7539152
LLAMA-65B,broadcast_k8,A5,13.639691326984323,4255037458529.578,master-diff,pim,7854498816,8927952
LLAMA-65B,broadcast_k8,A6,13.639691326984323,4255037458529.578,master-diff,dynamic,7854498816,8927952
LLAMA-7B,broadcast_k8,A3b,7.714046297034005,835900839979.0239,naive,gpu,50047493120,4229088
LLAMA-7B,broadcast_k8,A4b,7.908251991887852,835285394676.3448,master-diff,gpu,50047493120,4196352
LLAMA-7B,broadcast_k8,A5,6.751762504617504,592061890293.974,master-diff,pim,12567192576,4751872
LLAMA-7B,broadcast_k8,A6,6.603317706610727,547433250501.52136,master-diff,dynamic,50047493120,4196352
LLAMA3-8B,broadcast_k8,A3b,8.453141801862115,919316529227.4392,naive,gpu,50047493120,5064672
LLAMA3-8B,broadcast_k8,A4b,8.74495988409253,918652058861.6232,master-diff,gpu,50047493120,4982784
