workload,model,ablation,policy,engine,kv_mapping,decode_attn,pim_prefill_mode,pim_prefill_share,prefill_side_census,pim_attn_rows,gpu_attn_rows,makespan_s,link_bytes,event_count,gpu_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,energy_total_nj,energy_gpu_nj,energy_link_nj,energy_pim_nj,energy_die_nj,energy_tlb_nj
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A3b,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,10.618790070233736,98738192896,8444712,9.365519909781918,12.589773385581546,0.007869397995275723,2122246421838.228,1289072400227.518,2053754412.2933667,831120087172.8268,179371.9101453251,496.83150000092576
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,10.834474118830288,98738192896,7761192,9.365519909781918,12.741078199440542,0.006471479140880958,2121818230856.4507,1289072400227.518,2053754412.2933667,830691928438.4446,147508.306944702,199.34970000011742
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,786240,10.657274835651563,98738192896,8375592,9.365519909781918,12.57142867885358,0.007615230930793465,2121946904698.7896,1289072400227.518,2053754412.2933667,830820576118.2201,173578.5277454258,199.34970000011742
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",601920,184320,8.609482139919821,22629597696,10834352,7.6381125428743815,11.636586734168986,0.015425919236512521,1740032977960.6665,1204296300098.2415,470695632.0755916,535265630273.50006,351612.2327243825,249.85720000023986
wl_baseline_alltoall_N16_C16_D2.json,GPT-13B,A6,recompute,dag,master-diff,pim,dynamic,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",601920,184320,8.609482139919821,22629597696,10834352,7.6381125428743815,11.636586734168986,0.015425919236512521,1740032977960.6665,1204296300098.2415,470695632.0755916,535265630273.50006,351612.2327243825,249.85720000023986
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,12533760,73.02454178037105,350107729920,11151360,44.65207412898589,30.249177291044308,0.006931135847336372,57123388914754.56,8579916160227.098,7282240782.276237,48536190355200.48,157985.53804623813,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1179360,235.04947352815097,44568422645760,46148,86.48806470899211,0.0,0.0,7043771563057.043,6116748372025.364,927023191031.7112,0.0,0.0,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A3b,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1179360,23.891726408231506,192539460096,12482732,20.709672145921196,28.85353264044779,0.013360863007021459,5041099220795.474,3167864608791.522,4004820769.8200293,1869229485949.9944,304542.1670392348,745.2728999991208
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1179360,23.83422446394035,192539460096,12686252,20.709672145921196,28.759798405790942,0.013608675894882452,5040508074836.482,3167864608791.522,4004820769.8200293,1868638334405.512,310190.7148799313,298.98620000045446
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1179360,23.43272793417839,192539460096,13607852,20.709672145921196,28.667500687812918,0.01583899188505279,5040701097079.795,3167864608791.522,4004820769.8200293,1868831306025.3464,361027.64544073347,298.98620000045446
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",902880,276480,20.208402794298426,44127699456,17295992,18.11856109565649,26.62682027483618,0.03106983408033344,4206898618167.0806,3002766296121.9746,917856148.7130734,1203213757216.1335,708193.370122647,374.7961000008892
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-33B,A6,recompute,dag,master-diff,pim,dynamic,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",902880,276480,20.208402794298426,44127699456,17295992,18.11856109565649,26.62682027483618,0.03106983408033344,4206898618167.0806,3002766296121.9746,917856148.7130734,1203213757216.1335,708193.370122647,374.7961000008892
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,16711680,47.814394420808576,143633940480,17489920,35.477792230308076,12.827217263612846,0.0009142193794700246,36441119732952.16,17839174460747.18,11950343848.525553,18589994850797.527,83353.40339085179,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1572480,170.58415688636006,18284481085440,55728,109.63588660154355,0.0,0.0,12814705280365.805,11293436454056.498,1521268826308.6667,0.0,0.0,0.0
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A3b,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1572480,23.292593847945252,78990557696,15665712,21.931363184030598,12.44822392800648,0.00147243150355704,7124764283306.358,6452724135678.938,6572014400.558152,665467998330.8573,134248.05887802632,993.6118999970456
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1572480,23.35795276081136,78990557696,15117872,21.931363184030598,12.355373152781223,0.0013453479713568708,7124437316607.726,6452724135678.938,6572014400.558152,665141043939.0894,122661.29407666891,398.8275000010846
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1572480,23.35802901025637,78990557696,15527472,21.931363184030598,12.379248818563552,0.0014215980906686458,7124505935909.611,6452724135678.938,6572014400.558152,665209656043.235,129613.35295659339,398.8275000010846
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",1203840,368640,19.565622699023496,18103681536,20444992,18.47654845029013,11.606669174630145,0.0029837357516938525,6610073249263.196,6179146401100.457,1506226303.7574353,429420349204.1364,272040.31692715327,500.43610000205405
wl_baseline_alltoall_N16_C16_D2.json,LLAMA-65B,A6,recompute,dag,master-diff,pim,dynamic,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",1203840,368640,19.565622699023496,18103681536,20444992,18.47654845029013,11.606669174630145,0.0029837357516938525,6610073249263.196,6179146401100.457,1506226303.7574353,429420349204.1364,272040.31692715327,500.43610000205405
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A1,no-reuse-physical,dag,private,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,20054016,91.49957669378365,258541092864,20100096,75.97202344978814,23.24683505500053,0.0015540947398121356,80667767981781.1,47184732551008.03,21510618927.05869,33461524614886.133,141693.6554490372,0.0
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A2,recompute,dag,none,gpu,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1886976,253.26431679115922,32912065953792,60320,143.5574302785327,0.0,0.0,28298760330062.695,25560476442710.367,2738283887355.412,0.0,0.0,0.0
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A3b,recompute,dag,naive,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1886976,40.67800413660952,142182990336,18990848,38.31200217743095,22.572261328687908,0.0026044277612575937,18057418479923.875,16848510260054.996,11829624796.355705,1197078354377.8489,237457.13848160696,1192.3701000031117
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A4,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1886976,40.59025918563554,142182990336,19316480,38.31200217743095,22.48669415416896,0.002650177832850059,18057184188861.516,16848510260054.996,11829624796.355705,1196844058495.5132,241628.37380383318,478.93600000174496
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A4b,recompute,dag,master-diff,pim,gpu,0.0,"pim=0,gpu=32,mixed=0,none=0/32",0,1886976,40.639533457867614,142182990336,19316480,38.31200217743095,22.48756350539312,0.002650177832850059,18057184188175.14,16848510260054.996,11829624796.355705,1196844058527.7651,241628.37380383318,478.93600000174496
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A5,recompute,dag,master-diff,pim,pim,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",1444608,442368,35.965918309405964,32586613248,25217504,34.16622449687834,20.98060950134619,0.0054620256234575145,17132754445890.723,16358364551988.314,2711206222.4032774,771678185967.0024,497996.90898936713,601.2083000028857
wl_baseline_alltoall_N16_C16_D2.json,GPT-175B,A6,recompute,dag,master-diff,pim,dynamic,0.7656,"pim=31,gpu=1,mixed=0,none=0/32",1444608,442368,35.965918309405964,32586613248,25217504,34.16622449687834,20.98060950134619,0.0054620256234575145,17132754445890.723,16358364551988.314,2711206222.4032774,771678185967.0024,497996.90898936713,601.2083000028857
