model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,simultaneous_peak_KV_GiB,output_tokens,batch,source_sha256
GPT-13B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,20.746092929427327,10.364642732515788,176.2157339171642,6.179065704345703,16,1,eadd7ac75aaab106b9909a9c78bf77cbc61892bdae8d7e0197ef6cd8cfd6e027
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,5311.842603921684,22.50746403259523,5649.454564410612,24.5452880859375,16,4,1ed5e4aa8d9ac042214da07c9dc51d929e37603eb35509f394f6754f92bd566f
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,137.97199309547378,22.50746403259523,475.5839535844022,30.6976318359375,16,4,1ed5e4aa8d9ac042214da07c9dc51d929e37603eb35509f394f6754f92bd566f
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,201.41641034438572,10.930238427358866,365.3699867547687,31.26434326171875,16,4,1ed5e4aa8d9ac042214da07c9dc51d929e37603eb35509f394f6754f92bd566f
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,61.97443604602457,10.619549206025534,221.26767413640758,6.3813018798828125,16,4,1ed5e4aa8d9ac042214da07c9dc51d929e37603eb35509f394f6754f92bd566f
GPT-13B,KVChime-CB-musique-0075,F0,1836.635079569719,16.205241430795734,2338.9975639243867,6.189727783203125,32,1,4910e25aa2d646b14af7591f847be341413899e4dc3bbe97da273299af6b0bb3
GPT-13B,KVChime-CB-musique-0075,F1,364.9439985576333,16.205241430795734,867.306482912301,12.355804443359375,32,1,4910e25aa2d646b14af7591f847be341413899e4dc3bbe97da273299af6b0bb3
GPT-13B,KVChime-CB-musique-0075,F2,364.9439985576333,10.352846347769518,685.8822353384884,12.486305236816406,32,1,4910e25aa2d646b14af7591f847be341413899e4dc3bbe97da273299af6b0bb3
GPT-13B,KVChime-CB-musique-0075,F4,364.9439985576333,10.44293516589855,688.6749887004884,7.6004791259765625,32,1,4910e25aa2d646b14af7591f847be341413899e4dc3bbe97da273299af6b0bb3
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,22096.699215607787,35.08828368792606,22623.02347092668,48.90289306640625,16,2,e288a100fc5167c0abaefa9ae67fe0c42114d1b69cbca8a3dd9989c4a3d03b43
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,318.6472867666754,35.08828368792606,844.9715420855663,73.35205078125,16,2,e288a100fc5167c0abaefa9ae67fe0c42114d1b69cbca8a3dd9989c4a3d03b43
GPT-13B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,395.5316994152786,12.047614958037334,576.2459237858385,74.55116271972656,16,2,e288a100fc5167c0abaefa9ae67fe0c42114d1b69cbca8a3dd9989c4a3d03b43
