q,cached,total_kv,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_softmax_us,q_input_bytes,q_input_us,output_us,new_kv_bytes,new_kv_transfer_us,cached_kv_readback_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,plain_scan_us,plain_first_tile_queries,plain_tiles,plain_kv_overlap_window_us,plain_new_kv_hidden_us,plain_new_kv_exposed_us,plain_service_us,plain_speedup_over_gpu,plain_winner,mq_scan_us,mq_first_tile_queries,mq_tiles,mq_kv_overlap_window_us,mq_new_kv_hidden_us,mq_new_kv_exposed_us,mq_service_us,mq_speedup_over_gpu,mq_winner,data_source
531,1024,1555,91.4627076923077,125.19463709111331,91.4627076923077,308.1200524757287,39.41312649164678,4349952,14.49984,14.49984,8699904,28.99968,55.92405333333333,28.99968,0,364.04410580906205,1222.5669659999983,1,531,0.736702,0.736702,28.262978,1319.242750491645,0.2759492941487781,GPU,268.46097600000024,8,67,1.0996700000000001,1.0996700000000001,27.90001,364.77379249164704,0.9979996186743549,GPU,integer-crossing refinement
532,1024,1556,91.69388307692309,125.5110711778745,91.69388307692309,308.8988373317207,39.512744630071595,4358144,14.527146666666667,14.527146666666667,8716288,29.054293333333334,55.92405333333333,29.054293333333334,0,364.82289066505405,1224.8693519999983,1,532,0.736702,0.736702,28.317591333333333,1321.7539812967368,0.2760142173410639,GPU,268.60785500000026,8,67,1.0996700000000001,1.0996700000000001,27.954623333333334,365.12951629673853,0.9991602277602907,GPU,integer-crossing refinement
533,1024,1557,91.92528,125.82780850765128,91.92528,309.67836850765127,39.612458233890216,4366336,14.554453333333333,14.554453333333333,8732672,29.108906666666666,55.92405333333333,29.108906666666666,0,365.6024218409846,1227.1717379999984,1,533,0.736702,0.736702,28.372204666666665,1324.265307567222,0.27607943797351653,GPU,268.78011100000026,8,67,1.0996700000000001,1.0996700000000001,28.009236666666666,365.5107125672238,1.000250907211766,PIM,integer-crossing refinement
534,1024,1558,92.15689846153847,126.14484908044363,92.15689846153847,310.4586460035206,39.71226730310263,4374528,14.581760000000001,14.581760000000001,8749056,29.163520000000002,55.92405333333333,29.163520000000002,0,366.38269933685393,1229.4741239999985,1,534,0.736702,0.736702,28.426818,1326.776729303101,0.276144954343071,GPU,269.24151100000023,8,67,1.0996700000000001,1.0996700000000001,28.063850000000002,366.1811483031029,1.000550413462531,PIM,integer-crossing refinement
535,1024,1559,92.38873846153847,126.46219289625158,92.38873846153847,311.2396698193285,39.812171837708824,4382720,14.609066666666667,14.609066666666667,8765440,29.218133333333334,55.92405333333333,29.218133333333334,0,367.1637231526619,1231.7765099999986,1,535,0.736702,0.736702,28.481431333333333,1329.288246504374,0.2762107647594052,GPU,269.42607100000026,8,67,1.0996700000000001,1.0996700000000001,28.118463333333334,366.5748395043758,1.0016064486288319,PIM,integer-crossing refinement
536,1024,1560,92.6208,126.77983995507513,92.6208,312.02143995507515,39.91217183770883,4390912,14.636373333333333,14.636373333333333,8781824,29.272746666666666,55.92405333333333,29.272746666666666,0,367.9454932884085,1234.0788959999986,1,536,0.736702,0.736702,28.536044666666665,1331.799859171041,0.27627686754482067,GPU,269.61985900000025,8,67,1.0996700000000001,1.0996700000000001,28.173076666666667,366.9778541710424,1.0026367779591274,PIM,supplement
537,1024,1561,92.8530830769231,127.09779025691422,92.8530830769231,312.8039564107604,40.012267303102625,4399104,14.66368,14.66368,8798208,29.32736,55.92405333333333,29.32736,0,368.72800974409375,1236.3812819999987,1,537,0.736702,0.736702,28.590657999999998,1334.3115673031014,0.27634326103412526,GPU,271.92224500000026,8,68,1.0996700000000001,1.0996700000000001,28.22769,369.4895623031029,0.99793890643551,GPU,integer-crossing refinement
538,1024,1562,93.08558769230771,127.41604380176892,93.08558769230771,313.58721918638435,40.112458233890216,4407296,14.690986666666667,14.690986666666667,8814592,29.381973333333335,55.92405333333333,29.381973333333335,0,369.5112725197177,1238.6836679999988,1,538,0.736702,0.736702,28.645271333333334,1336.8233709005556,0.27640994357451665,GPU,272.34904000000023,8,68,1.0996700000000001,1.0996700000000001,28.282303333333335,370.12577490055713,0.998339747127839,GPU,integer-crossing refinement
539,1024,1563,93.31831384615386,127.7346005896392,93.31831384615386,314.3712282819469,40.2127446300716,4415488,14.718293333333333,14.718293333333333,8830976,29.436586666666667,55.92405333333333,29.436586666666667,0,370.29528161528026,1240.9860539999988,1,539,0.736702,0.736702,28.699884666666666,1339.335269963404,0.27647691352546716,GPU,272.48515300000025,8,68,1.0996700000000001,1.0996700000000001,28.336916666666667,370.47140096340513,0.9995246074388823,GPU,integer-crossing refinement
540,1024,1564,93.55126153846156,128.05346062052507,93.55126153846156,315.1559836974482,40.31312649164678,4423680,14.7456,14.7456,8847360,29.4912,55.92405333333333,29.4912,0,371.08003703078157,1243.288439999999,1,540,0.736702,0.736702,28.754497999999998,1341.8472644916455,0.27654416925861086,GPU,272.63203200000027,8,68,1.0996700000000001,1.0996700000000001,28.39153,370.827888491647,1.0006799611004453,PIM,integer-crossing refinement
541,1024,1565,93.78443076923077,128.3726238944265,93.78443076923077,315.94148543288804,40.413603818615755,4431872,14.772906666666666,14.772906666666666,8863744,29.54581333333333,55.92405333333333,29.54581333333333,0,371.8655387662214,1245.590825999999,1,541,0.736702,0.736702,28.80911133333333,1344.3593544852813,0.27661170915762967,GPU,272.80428800000027,8,68,1.0996700000000001,1.0996700000000001,28.446143333333332,371.2098484852827,1.0017663601426907,PIM,integer-crossing refinement
542,1024,1566,94.01782153846155,128.69209041134354,94.01782153846155,316.7277334882666,40.51417661097852,4440064,14.800213333333334,14.800213333333334,8880128,29.600426666666667,55.92405333333333,29.600426666666667,0,372.65178682159996,1247.893211999999,1,542,0.736702,0.736702,28.863724666666666,1346.8715399443108,0.2766795316181438,GPU,273.26568800000024,8,68,1.0996700000000001,1.0996700000000001,28.500756666666668,371.8810479443121,1.0020725414256746,PIM,integer-crossing refinement
543,1024,1567,94.25143384615386,129.01186017127617,94.25143384615386,317.5147278635839,40.614844868735084,4448256,14.82752,14.82752,8896512,29.65504,55.92405333333333,29.65504,0,373.43878119691726,1250.195597999999,1,543,0.736702,0.736702,28.918338,1349.3838208687343,0.2767476350476005,GPU,273.4502480000003,8,68,1.0996700000000001,1.0996700000000001,28.55537,372.2755028687353,1.0031247780722012,PIM,integer-crossing refinement
