workload,ablation,tier,prefill_s,decode_s,tier_total_s,first_s,last_s,cum_end_s,decode_batches
workload_debate_d3r5k49.json,A1,0,0.44819241745432503,1.1348045484939226,1.5829969659482477,0.44819241745432503,1.5829969659482477,1.5829969659482477,8192
workload_debate_d3r5k49.json,A1,1,2.01569714731142,1.180675511373737,3.196372658685157,3.5986941132596675,4.7793696246334045,4.7793696246334045,8192
workload_debate_d3r5k49.json,A1,2,5.37076267351443,1.2524778269261159,6.623240500440546,10.150132298147835,11.40261012507395,11.40261012507395,8192
workload_debate_d3r5k49.json,A1,3,10.671343467238183,1.3424741370100506,12.013817604248233,22.073953592312133,23.416427729322184,23.416427729322184,8192
workload_debate_d3r5k49.json,A1,4,18.37923408837789,1.4505604609935432,19.82979454937143,41.79566181770007,43.246222278693615,43.246222278693615,8192
workload_debate_d3r5k49.json,A1,5,0.042218109398461934,0.5520975843605669,0.5943156937590288,43.28844038809208,43.840537972452644,43.840537972452644,4096
workload_debate_d3r5k49.json,A3,0,0.13995204627167346,1.5373977816137046,1.677349827885378,0.13995204627167346,1.677349827885378,1.677349827885378,8192
workload_debate_d3r5k49.json,A3,1,0.42887171354867526,3.1026578432451557,3.531529556793831,2.1062215414340533,5.208879384679209,5.208879384679209,8192
workload_debate_d3r5k49.json,A3,2,0.7830652096344197,4.198363058116249,4.981428267750669,5.991944594313629,10.190307652429878,10.190307652429878,8192
workload_debate_d3r5k49.json,A3,3,1.2444783787443434,5.706751185192717,6.95122956393706,11.434786031174221,17.141537216366938,17.141537216366938,8192
workload_debate_d3r5k49.json,A3,4,1.6716015033872935,7.52700675774641,9.198608261133703,18.81313871975423,26.34014547750064,26.34014547750064,8192
workload_debate_d3r5k49.json,A3,5,0.027463273626516127,0.5863856151314799,0.613848888757996,26.367608751127158,26.953994366258637,26.953994366258637,4096
workload_debate_d3r5k49.json,A3a,0,0.13995204627167346,1.5373977816137046,1.677349827885378,0.13995204627167346,1.677349827885378,1.677349827885378,8192
workload_debate_d3r5k49.json,A3a,1,0.42887171354867526,2.3931177473391947,2.82198946088787,2.1062215414340533,4.499339288773248,4.499339288773248,8192
workload_debate_d3r5k49.json,A3a,2,0.7829818175161716,3.4831277878829088,4.26610960539908,5.2823211062894195,8.765448894172328,8.765448894172328,8192
workload_debate_d3r5k49.json,A3a,3,1.2443942306912756,5.010313306492099,6.254707537183375,10.009843124863604,15.020156431355703,15.020156431355703,8192
workload_debate_d3r5k49.json,A3a,4,1.6715196389932725,6.792196073739728,8.463715712733,16.691676070348976,23.483872144088703,23.483872144088703,8192
workload_debate_d3r5k49.json,A3a,5,0.027376940836376207,0.581784762589848,0.6091617034262242,23.51124908492508,24.093033847514928,24.093033847514928,4096
workload_debate_d3r5k49.json,A4,0,0.13983201569446127,1.1370311399535895,1.2768631556480508,0.13983201569446127,1.2768631556480508,1.2768631556480508,8192
workload_debate_d3r5k49.json,A4,1,0.42774840161798555,1.246899143123188,1.6746475447411735,1.7046115572660363,2.9515107003892243,2.9515107003892243,8192
workload_debate_d3r5k49.json,A4,2,0.7807401233383517,1.3324014567190905,2.1131415800574422,3.732250823727576,5.0646522804466665,5.0646522804466665,8192
workload_debate_d3r5k49.json,A4,3,1.2406923142114508,1.4554247477525104,2.696117061963961,6.305344594658117,7.760769342410628,7.760769342410628,8192
workload_debate_d3r5k49.json,A4,4,1.666026065069497,1.5968774428271608,3.2629035078966577,9.426795407480125,11.023672850307285,11.023672850307285,8192
workload_debate_d3r5k49.json,A4,5,0.0266956439426842,0.5547123476025035,0.5814079915451877,11.05036849424997,11.605080841852473,11.605080841852473,4096
workload_debate_d3r5k49.json,A5,0,0.13983201569446127,1.1182860736224927,1.258118089316954,0.13983201569446127,1.258118089316954,1.258118089316954,8192
workload_debate_d3r5k49.json,A5,1,0.2849187816754506,1.210958795390676,1.4958775770661266,1.5430368709924045,2.7539956663830805,2.7539956663830805,8192
workload_debate_d3r5k49.json,A5,2,0.4197535142183484,1.2797433242808083,1.6994968384991567,3.173749180601429,4.453492504882237,4.453492504882237,8192
workload_debate_d3r5k49.json,A5,3,0.5533192191441776,1.385182183776017,1.9385014029201946,5.006811724026415,6.391993907802432,6.391993907802432,8192
workload_debate_d3r5k49.json,A5,4,0.7343340023313569,1.5097557640756332,2.24408976640699,7.126327910133789,8.636083674209422,8.636083674209422,8192
workload_debate_d3r5k49.json,A5,5,0.04429893252383188,0.553416223480248,0.5977151560040799,8.680382606733254,9.233798830213502,9.233798830213502,4096
workload_debate_d3r5k49.json,A6,0,0.13983201569446127,1.1182860736224927,1.258118089316954,0.13983201569446127,1.258118089316954,1.258118089316954,8192
workload_debate_d3r5k49.json,A6,1,0.2849187816754506,1.210958795390676,1.4958775770661266,1.5430368709924045,2.7539956663830805,2.7539956663830805,8192
workload_debate_d3r5k49.json,A6,2,0.4197535142183484,1.2797433242808083,1.6994968384991567,3.173749180601429,4.453492504882237,4.453492504882237,8192
workload_debate_d3r5k49.json,A6,3,0.5533192191441776,1.385182183776017,1.9385014029201946,5.006811724026415,6.391993907802432,6.391993907802432,8192
workload_debate_d3r5k49.json,A6,4,0.7343340023313569,1.5097557640756332,2.24408976640699,7.126327910133789,8.636083674209422,8.636083674209422,8192
workload_debate_d3r5k49.json,A6,5,0.02668472568068303,0.553416223480248,0.580100949160931,8.662768399890105,9.216184623370353,9.216184623370353,4096
