workload,axis,value,combo,e2e_s,ttft_ms,tbt_weighted_us,tbt_mean_us,scan_private_us,scan_shared_us,scan_step_us,energy_j,power_w,energy_gpu_j,energy_link_j,energy_pim_j,prefill_rows_pim,prefill_rows_gpu,corrected_rows_sha,git_rev,gpu_model,model,ngpu,num_hbm,epic_k,batch
C1_S11_brief_64_turns,S11_brief,64,A3b,0.34623784709673683,30.994518445615174,204.83102017193593,214.12559911970922,1.7453792011363722,11.841464809524085,11.3636308615996,15.303402540656222,44.199103792314595,10.75744692713113,0.12249808931352114,4.423457524210749,0,219392,c852197b95bd509a,167fe08e608b,flash,CACHEBLEND-TINY,1,5,8,8
C1_S11_brief_64_turns,S11_brief,64,A4c,0.3460997175757092,30.99367260368833,204.6948172084281,213.67170067261415,1.744812937499933,11.841464809524085,11.280726599333425,15.303163061370219,44.216051860899476,10.75744692713113,0.12249808931352114,4.423218044936408,0,219392,c852197b95bd509a,167fe08e608b,flash,CACHEBLEND-TINY,1,5,8,8
C1_S11_brief_64_turns,S11_brief,64,A4e,0.3436487652014547,30.9882546082494,201.71124213750647,209.75354755547968,1.3512987063920707,11.841464809524085,10.905831160394767,15.30343559709553,44.53220016118583,10.75744692713113,0.12249808931352114,4.423490580644622,0,219392,c852197b95bd509a,167fe08e608b,flash,CACHEBLEND-TINY,1,5,8,8
C1_S11_brief_64_turns,S11_brief,64,A6,0.2731200554867393,22.06107625711003,181.10382905950192,182.88296405831343,1.3512987063920707,4.8947216190475435,5.883587205161956,13.374793518459922,48.97038225414869,10.057844167574656,0.014204096046402721,3.3027452547857745,21760,197632,c852197b95bd509a,167fe08e608b,flash,CACHEBLEND-TINY,1,5,8,8
