case_id,chunk_id,tokens,latency_s,energy_J
Fugue-asplos-EPIC-long-16000,65a3479dc2de00a1f857f8fc59d56ac0b30da2f8618662be0635f9939add857e,789,0.05488978562493285,5.42864314504192
Fugue-asplos-EPIC-long-16000,8ef451b3f1e4d89124b66f025fcd97cde8dfe9e94e0e2f930821fbd92a437e7c,772,0.05355987418676103,5.3180438749184
Fugue-asplos-EPIC-long-16000,a30f5ecae7da2d11f1c8d241d6d53025004d828cbb22817466ebaad2267f5514,770,0.05340386778008705,5.307080025579519
Fugue-asplos-EPIC-long-16000,b447d3c901a0ba569d5d4955ac0cd62f0d8562dd96beaf83dc5e4ae3f023da70,774,0.05371597612238715,5.329010687549439
Fugue-asplos-EPIC-long-16000,b9f2fd8287041c4be57dc20c346702f9c6ee15bc7009dda4b6dc2cb628396bf5,13,0.0063360862424764386,0.48850134979584
Fugue-asplos-EPIC-long-16000,bb012f77ec6c38458df3f6c6983ffd8c67e6bf18f76ee2c8b541472595eb3560,781,0.054263085187576776,5.36741786768384
Fugue-asplos-EPIC-long-16000,df01a11d03202706bcde0556b68b2a201022562170d09fd5858780df86e5599c,782,0.05434133915441315,5.3729075709952
Fugue-asplos-EPIC-long-16000,eaf16748b19142b4e9d0512c49900c1b76bb7f91dd1f9a56a3d68e94d86e372a,779,0.05410664890061811,5.35644068353024
Fugue-asplos-EPIC-long-16000,ee8ce23a5b8b1b4969616ec94b3021787b5c18baa35423ee0f8f5bfc59a26062,776,0.05387217358696544,5.3399804634726395
Fugue-asplos-EPIC-long-16000,fdfc37f2cd48e6ccab469b8b7d75ae5ab3c65a356e52f28ddc83ba2662d838b0,776,0.05387217358696544,5.3399804634726395
