case_id,variant,phase,layer,step,remote_immutable_bytes,remote_private_bytes,GPU_live_KV_bytes,combined_live_KV_bytes
Fugue-asplos-EPIC-long-4000,F2,prefill,11,0,2111832064,791937024,65994752,2969763840
Fugue-asplos-EPIC-long-4000,F2,prefill,12,0,2111832064,857931776,65994752,3035758592
Fugue-asplos-EPIC-long-4000,F2,prefill,13,0,2111832064,923926528,65994752,3101753344
Fugue-asplos-EPIC-long-4000,F2,prefill,14,0,2111832064,989921280,65994752,3167748096
Fugue-asplos-EPIC-long-4000,F2,prefill,15,0,2111832064,1055916032,65994752,3233742848
Fugue-asplos-EPIC-long-4000,F2,prefill,16,0,2111832064,1121910784,65994752,3299737600
Fugue-asplos-EPIC-long-4000,F2,prefill,17,0,2111832064,1187905536,65994752,3365732352
Fugue-asplos-EPIC-long-4000,F2,prefill,18,0,2111832064,1253900288,65994752,3431727104
Fugue-asplos-EPIC-long-4000,F2,prefill,19,0,2111832064,1319895040,65994752,3497721856
Fugue-asplos-EPIC-long-4000,F2,prefill,20,0,2111832064,1385889792,65994752,3563716608
Fugue-asplos-EPIC-long-4000,F2,prefill,21,0,2111832064,1451884544,65994752,3629711360
Fugue-asplos-EPIC-long-4000,F2,prefill,22,0,2111832064,1517879296,65994752,3695706112
Fugue-asplos-EPIC-long-4000,F2,prefill,23,0,2111832064,1583874048,65994752,3761700864
Fugue-asplos-EPIC-long-4000,F2,prefill,24,0,2111832064,1649868800,65994752,3827695616
Fugue-asplos-EPIC-long-4000,F2,prefill,25,0,2111832064,1715863552,65994752,3893690368
Fugue-asplos-EPIC-long-4000,F2,prefill,26,0,2111832064,1781858304,65994752,3959685120
Fugue-asplos-EPIC-long-4000,F2,prefill,27,0,2111832064,1847853056,65994752,4025679872
Fugue-asplos-EPIC-long-4000,F2,prefill,28,0,2111832064,1913847808,65994752,4091674624
Fugue-asplos-EPIC-long-4000,F2,prefill,29,0,2111832064,1979842560,65994752,4157669376
Fugue-asplos-EPIC-long-4000,F2,prefill,30,0,2111832064,2045837312,65994752,4223664128
Fugue-asplos-EPIC-long-4000,F2,prefill,31,0,2111832064,2111832064,65994752,4289658880
Fugue-asplos-EPIC-long-4000,F2,decode,all,1,2111832064,2112356352,16384,4224204800
Fugue-asplos-EPIC-long-4000,F2,decode,all,2,2111832064,2112880640,16384,4224729088
Fugue-asplos-EPIC-long-4000,F2,decode,all,3,2111832064,2113404928,16384,4225253376
Fugue-asplos-EPIC-long-4000,F2,decode,all,4,2111832064,2113929216,16384,4225777664
Fugue-asplos-EPIC-long-4000,F2,decode,all,5,2111832064,2114453504,16384,4226301952
Fugue-asplos-EPIC-long-4000,F2,decode,all,6,2111832064,2114977792,16384,4226826240
Fugue-asplos-EPIC-long-4000,F2,decode,all,7,2111832064,2115502080,16384,4227350528
Fugue-asplos-EPIC-long-4000,F2,decode,all,8,2111832064,2116026368,16384,4227874816
Fugue-asplos-EPIC-long-4000,F2,decode,all,9,2111832064,2116550656,16384,4228399104
Fugue-asplos-EPIC-long-4000,F2,decode,all,10,2111832064,2117074944,16384,4228923392
Fugue-asplos-EPIC-long-4000,F2,decode,all,11,2111832064,2117599232,16384,4229447680
Fugue-asplos-EPIC-long-4000,F2,decode,all,12,2111832064,2118123520,16384,4229971968
Fugue-asplos-EPIC-long-4000,F2,decode,all,13,2111832064,2118647808,16384,4230496256
Fugue-asplos-EPIC-long-4000,F2,decode,all,14,2111832064,2119172096,16384,4231020544
Fugue-asplos-EPIC-long-4000,F2,decode,all,15,2111832064,2119696384,16384,4231544832
Fugue-asplos-EPIC-long-4000,F3,prefill,0,0,2111832064,1736704,65994752,2179563520
Fugue-asplos-EPIC-long-4000,F3,prefill,1,0,2111832064,3473408,65994752,2181300224
Fugue-asplos-EPIC-long-4000,F3,prefill,2,0,2111832064,5210112,65994752,2183036928
Fugue-asplos-EPIC-long-4000,F3,prefill,3,0,2111832064,6946816,65994752,2184773632
Fugue-asplos-EPIC-long-4000,F3,prefill,4,0,2111832064,8683520,65994752,2186510336
Fugue-asplos-EPIC-long-4000,F3,prefill,5,0,2111832064,10420224,65994752,2188247040
Fugue-asplos-EPIC-long-4000,F3,prefill,6,0,2111832064,12156928,65994752,2189983744
Fugue-asplos-EPIC-long-4000,F3,prefill,7,0,2111832064,13893632,65994752,2191720448
Fugue-asplos-EPIC-long-4000,F3,prefill,8,0,2111832064,15630336,65994752,2193457152
Fugue-asplos-EPIC-long-4000,F3,prefill,9,0,2111832064,17367040,65994752,2195193856
Fugue-asplos-EPIC-long-4000,F3,prefill,10,0,2111832064,19103744,65994752,2196930560
Fugue-asplos-EPIC-long-4000,F3,prefill,11,0,2111832064,20840448,65994752,2198667264
Fugue-asplos-EPIC-long-4000,F3,prefill,12,0,2111832064,22577152,65994752,2200403968
Fugue-asplos-EPIC-long-4000,F3,prefill,13,0,2111832064,24313856,65994752,2202140672
Fugue-asplos-EPIC-long-4000,F3,prefill,14,0,2111832064,26050560,65994752,2203877376
Fugue-asplos-EPIC-long-4000,F3,prefill,15,0,2111832064,27787264,65994752,2205614080
Fugue-asplos-EPIC-long-4000,F3,prefill,16,0,2111832064,29523968,65994752,2207350784
Fugue-asplos-EPIC-long-4000,F3,prefill,17,0,2111832064,31260672,65994752,2209087488
Fugue-asplos-EPIC-long-4000,F3,prefill,18,0,2111832064,32997376,65994752,2210824192
Fugue-asplos-EPIC-long-4000,F3,prefill,19,0,2111832064,34734080,65994752,2212560896
Fugue-asplos-EPIC-long-4000,F3,prefill,20,0,2111832064,36470784,65994752,2214297600
Fugue-asplos-EPIC-long-4000,F3,prefill,21,0,2111832064,38207488,65994752,2216034304
Fugue-asplos-EPIC-long-4000,F3,prefill,22,0,2111832064,39944192,65994752,2217771008
Fugue-asplos-EPIC-long-4000,F3,prefill,23,0,2111832064,41680896,65994752,2219507712
Fugue-asplos-EPIC-long-4000,F3,prefill,24,0,2111832064,43417600,65994752,2221244416
Fugue-asplos-EPIC-long-4000,F3,prefill,25,0,2111832064,45154304,65994752,2222981120
Fugue-asplos-EPIC-long-4000,F3,prefill,26,0,2111832064,46891008,65994752,2224717824
Fugue-asplos-EPIC-long-4000,F3,prefill,27,0,2111832064,48627712,65994752,2226454528
Fugue-asplos-EPIC-long-4000,F3,prefill,28,0,2111832064,50364416,65994752,2228191232
Fugue-asplos-EPIC-long-4000,F3,prefill,29,0,2111832064,52101120,65994752,2229927936
Fugue-asplos-EPIC-long-4000,F3,prefill,30,0,2111832064,53837824,65994752,2231664640
Fugue-asplos-EPIC-long-4000,F3,prefill,31,0,2111832064,55574528,65994752,2233401344
Fugue-asplos-EPIC-long-4000,F3,decode,all,1,2111832064,56098816,16384,2167947264
Fugue-asplos-EPIC-long-4000,F3,decode,all,2,2111832064,56623104,16384,2168471552
Fugue-asplos-EPIC-long-4000,F3,decode,all,3,2111832064,57147392,16384,2168995840
Fugue-asplos-EPIC-long-4000,F3,decode,all,4,2111832064,57671680,16384,2169520128
Fugue-asplos-EPIC-long-4000,F3,decode,all,5,2111832064,58195968,16384,2170044416
Fugue-asplos-EPIC-long-4000,F3,decode,all,6,2111832064,58720256,16384,2170568704
Fugue-asplos-EPIC-long-4000,F3,decode,all,7,2111832064,59244544,16384,2171092992
Fugue-asplos-EPIC-long-4000,F3,decode,all,8,2111832064,59768832,16384,2171617280
