case_id,variant,phase,layer,event,device,step,start_s,end_s,duration_s,energy_J
Fugue-asplos-EPIC-long-4000,F1,prefill_attention,3,attention_service,GPU,0,0.002024781104228515,0.002448680485530401,0.00042389938130188594,0.008605503321599999
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,proj,GPU,0,0.002448680485530401,0.002466168973362569,1.7488487832167832e-05,0.0028991238963199995
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,comm_g2g,GPU,0,0.002466168973362569,0.002466168973362569,0.0,9.0308608e-06
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,norm1,GPU,0,0.002466168973362569,0.002474972559080946,8.803585718377088e-06,8.492699648e-05
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,ff1,GPU,0,0.002474972559080946,0.002522693084018334,4.7720524937388185e-05,0.007102521234773332
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,ff2,GPU,0,0.002522693084018334,0.002570413608955722,4.7720524937388185e-05,0.007102521234773332
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,glu,GPU,0,0.002570413608955722,0.002580144130315913,9.73052136019093e-06,0.00022721298431999996
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,ff3,GPU,0,0.002580144130315913,0.0026267800978683606,4.663596755244755e-05,0.007684106048853332
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,comm_g2g,GPU,0,0.0026267800978683606,0.0026267800978683606,0.0,9.0308608e-06
Fugue-asplos-EPIC-long-4000,F1,prefill_common,3,norm2,GPU,0,0.0026267800978683606,0.0026355836835867375,8.803585718377088e-06,8.492699648e-05
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,qkv,GPU,0,0.0026355836835867375,0.002683677025125199,4.809334153846154e-05,0.00798523916288
Fugue-asplos-EPIC-long-4000,F1,prefill_attention,4,attention_service,GPU,0,0.002683677025125199,0.003107576406427085,0.00042389938130188594,0.008605503321599999
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,proj,GPU,0,0.003107576406427085,0.003125064894259253,1.7488487832167832e-05,0.0028991238963199995
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,comm_g2g,GPU,0,0.003125064894259253,0.003125064894259253,0.0,9.0308608e-06
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,norm1,GPU,0,0.003125064894259253,0.00313386847997763,8.803585718377088e-06,8.492699648e-05
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,ff1,GPU,0,0.00313386847997763,0.003181589004915018,4.7720524937388185e-05,0.007102521234773332
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,ff2,GPU,0,0.003181589004915018,0.003229309529852406,4.7720524937388185e-05,0.007102521234773332
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,glu,GPU,0,0.003229309529852406,0.003239040051212597,9.73052136019093e-06,0.00022721298431999996
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,ff3,GPU,0,0.003239040051212597,0.0032856760187650446,4.663596755244755e-05,0.007684106048853332
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,comm_g2g,GPU,0,0.0032856760187650446,0.0032856760187650446,0.0,9.0308608e-06
Fugue-asplos-EPIC-long-4000,F1,prefill_common,4,norm2,GPU,0,0.0032856760187650446,0.0032944796044834215,8.803585718377088e-06,8.492699648e-05
Fugue-asplos-EPIC-long-4000,F1,prefill_common,5,qkv,GPU,0,0.0032944796044834215,0.003342572946021883,4.809334153846154e-05,0.00798523916288
