model,config,k,workload,agents,rung,makespan_s,energy_nj,link_bytes,event_count,policy,kv_mapping,decode_attn,pim_prefill_mode,energy_gpu_nj,energy_pim_nj,energy_link_nj,energy_die_nj,energy_tlb_nj,gpu_time_s_unoverlapped,pim_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,prefill_rows_gpu,prefill_rows_pim,prefill_requests_gpu,prefill_requests_pim,energy_prefill_nj,energy_decode_nj,prefill_time_s,decode_time_s,power_prefill_w,power_decode_w,power_overall_w,requests,tiers,history_rows,cacheblend_batch_size,gemv_buffer_bytes,pim_sweep_query_capacity,pim_pe_freq_ghz,pim_batch_command,engine,workload_kind_reported,overlap_passed,overlap_events_checked
GPT-13B,C-lo,8,wl_C16.json,32,A3,15.610280546662048,9171315840795.432,94068752416.0,4597032.0,recompute,naive,pim,gpu,1162099519351.8782,8007259635295.79,1956630050.309352,40375.97702396369,15500.40299999691,8.25071841311138,5.5612622646827586e-05,6.269152489861287,0.0017713734128673548,479040.0,0.0,32,0,228313783690.90198,8943002056911.451,2.37870705810266,13.231573488559388,95.98230387940794,675.8834891892467,587.5176819135731,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,C-lo,8,wl_C16.json,32,A3a,14.768342346780168,9230919189336.318,94068752416.0,4597032.0,recompute,naive-mask,pim,gpu,1162099519351.8782,8066862998867.394,1956630050.309352,40375.97702396369,496.78060000091676,8.25071841311138,5.5612622646827586e-05,6.177395409917825,0.0017713734128673548,479040.0,0.0,32,0,228313783690.90198,9002605405479.7,2.37870705810266,12.389635288677507,95.98230387940794,726.6239236038605,625.047752319262,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,C-lo,8,wl_C16.json,32,A3b,15.430424528132884,9183356582468.691,94068752416.0,7483432.0,recompute,naive,pim,gpu,1162099519351.8782,8019300255053.972,1956630050.309352,162376.46342480226,15500.40299999691,8.25071841311138,5.5612622646827586e-05,6.083944068707447,0.007123774367548022,479040.0,0.0,32,0,228313783690.90198,8955042798931.393,2.37870705810266,13.051717470030223,95.98230387940794,686.1198780539229,595.1460742849632,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7483432.0
GPT-13B,C-lo,8,wl_C16.json,32,A4,14.562162373232015,9241530497712.2,94068752416.0,7209512.0,recompute,master-diff,pim,gpu,1162099519351.8782,8077474200095.075,1956630050.309352,147893.0074249248,199.04240000011265,8.25071841311138,5.5612622646827586e-05,5.9813853620608475,0.006488356706500613,479040.0,0.0,32,0,228313783690.90198,9013216713864.836,2.3684529594339354,12.193709413798079,96.39785446508061,739.1693870993612,634.6262499242465,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7209512.0
GPT-13B,C-lo,8,wl_C16.json,32,A4b,14.579584171470692,9242388157754.592,94068752416.0,7414312.0,recompute,master-diff,pim,gpu,1162099519351.8782,8078331851483.088,1956630050.309352,156583.0810247554,199.04240000011265,8.25071841311138,5.5612622646827586e-05,5.998425909885593,0.006869607303110718,479040.0,0.0,32,0,228313783690.90198,9014074373844.46,2.3684529594339354,12.211131212036758,96.39785446508061,738.185039315531,633.9267326869365,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7414312.0
GPT-13B,C-lo,8,wl_C16.json,32,A5,11.514194469051814,5027564773544.124,16436445216.0,8663472.0,recompute,master-diff,pim,pim,1113255009524.6904,3913967637736.7676,341878060.49249077,247796.99718963387,224.06100000012884,7.232064668242482,5.5612622646827586e-05,4.20521164607098,0.01087134095487256,174720.0,304320.0,1,31,1437175100758.4268,3590389672443.2207,2.7507976110490393,8.763396858002775,522.4575937487266,409.7029645718327,436.6405993104736,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,8663472.0
GPT-13B,C-lo,8,wl_C16.json,32,A6,11.514194469051814,5027564773544.124,16436445216.0,8663472.0,recompute,master-diff,pim,dynamic,1113255009524.6904,3913967637736.7676,341878060.49249077,247796.99718963387,224.06100000012884,7.232064668242482,5.5612622646827586e-05,4.20521164607098,0.01087134095487256,174720.0,304320.0,1,31,1437175100758.4268,3590389672443.2207,2.7507976110490393,8.763396858002775,522.4575937487266,409.7029645718327,436.6405993104736,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,8663472.0
GPT-13B,D-hi,8,wl_D4.json,64,A1,139.64191894793035,168562376164776.72,611581952000.0,17405440.0,no-reuse-physical,private,pim,gpu,10509337690501.275,158040317356785.88,12720904601.87105,208383.50848515195,,55.020201928341,60.16120665963982,22.41276166050642,0.00914219379500683,29040640.0,0.0,64,0,138245578642424.55,30316797502127.19,104.82645543301547,34.81546351491488,1318.8042853434458,870.7854051444563,1207.1044098701495,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17405440.0
GPT-13B,D-hi,8,wl_D4.json,64,A2,440.7739887571546,9614041005932.06,79881777971200.0,70616.0,recompute,none,gpu,gpu,7952500024133.322,,1661540981800.8423,,,174.50139551981755,,0.0,0.0,1478080.0,0.0,64,0,2467251078468.804,7146789927465.75,440.7739887571546,0.0,5.597542371830253,,21.811724945568276,64,4,24576.0,,,,,,dag,supervisor,,
GPT-13B,D-hi,8,wl_D4.json,64,A3,49.282145730324814,31666302157921.047,330106544224.0,9203816.0,recompute,naive,pim,gpu,2667365460268.6416,28992070318331.496,6866216119.855197,80753.3477750509,82677.15679987843,21.23769020596151,0.00011122524529179585,22.806588501534492,0.0035428079712819054,1478080.0,0.0,64,0,802777580168.0396,30863524577920.3,9.985361079114165,39.29678465121065,80.3954482774955,785.3956717288181,642.551205688185,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,9203816.0
GPT-13B,D-hi,8,wl_D4.json,64,A3a,45.36089383739243,32016805438232.203,330106544224.0,9203816.0,recompute,naive-mask,pim,gpu,2667365460268.6416,29342573679748.027,6866216119.855197,80753.3477750509,1367.8448000065496,21.23769020596151,0.00011122524529179585,22.95080220923458,0.0035428079712819054,1478080.0,0.0,64,0,802777580168.0396,31214027858370.164,9.985361079114165,35.37553275827827,80.3954482774955,882.3620571782268,705.823953844572,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,9203816.0
GPT-13B,D-hi,8,wl_D4.json,64,A3b,48.14313364444821,31694352553786.418,330106544224.0,17251176.0,recompute,naive,pim,gpu,2667365460268.6416,29020120430422.34,6866216119.855197,364968.5413869237,82677.15679987843,21.23769020596151,0.00011122524529179585,21.65510734426656,0.016011886730491292,1478080.0,0.0,64,0,802777580168.0396,30891574971793.305,9.985361079114165,38.15777256533405,80.3954482774955,809.5749016507841,658.3358862316467,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17251176.0
GPT-13B,D-hi,8,wl_D4.json,64,A4,44.28259638648617,32041711076682.58,330106544224.0,16530536.0,recompute,master-diff,pim,gpu,2667365460268.6416,29367479067331.11,6866216119.855197,333104.9381825757,532.849600002695,21.23769020596151,0.00011122524529179585,21.90318335213781,0.014613967876211383,1478080.0,0.0,64,0,802777580168.0396,31238933499436.195,9.94808469126302,34.33451169522315,80.69669741282812,909.840622657883,723.5734507758183,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,16530536.0
GPT-13B,D-hi,8,wl_D4.json,64,A4b,44.4229916771596,32043712282139.285,330106544224.0,17103976.0,recompute,master-diff,pim,gpu,2667365460268.6416,29369480252688.613,6866216119.855197,353381.7765897604,532.849600002695,21.23769020596151,0.00011122524529179585,22.04268905750164,0.0155035526017851,1478080.0,0.0,64,0,802777580168.0396,31240934705815.426,9.94808469126302,34.47490698589658,80.69669741282812,906.193444367982,721.3317039746962,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17103976.0
