model,config,k,workload,agents,rung,makespan_s,energy_nj,link_bytes,event_count,policy,kv_mapping,decode_attn,pim_prefill_mode,energy_gpu_nj,energy_pim_nj,energy_link_nj,energy_die_nj,energy_tlb_nj,gpu_time_s_unoverlapped,pim_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,prefill_rows_gpu,prefill_rows_pim,prefill_requests_gpu,prefill_requests_pim,requests,tiers,history_rows,cacheblend_batch_size,gemv_buffer_bytes,pim_sweep_query_capacity,pim_pe_freq_ghz,pim_batch_command,engine,workload_kind_reported,overlap_passed,overlap_events_checked
GPT-13B,C-lo,8,wl_C16.json,32,A3a,14.768342346780168,9230919189336.318,94068752416.0,4597032.0,recompute,naive-mask,pim,gpu,1162099519351.8782,8066862998867.394,1956630050.309352,40375.97702396369,496.78060000091676,8.25071841311138,5.5612622646827586e-05,6.177395409917825,0.0017713734128673548,479040.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,C-lo,8,wl_C16.json,32,A3b,15.430424528132884,9183356582468.691,94068752416.0,7483432.0,recompute,naive,pim,gpu,1162099519351.8782,8019300255053.972,1956630050.309352,162376.46342480226,15500.40299999691,8.25071841311138,5.5612622646827586e-05,6.083944068707447,0.007123774367548022,479040.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7483432.0
GPT-13B,C-lo,8,wl_C16.json,32,A4,14.562162373232015,9241530497712.2,94068752416.0,7209512.0,recompute,master-diff,pim,gpu,1162099519351.8782,8077474200095.075,1956630050.309352,147893.0074249248,199.04240000011265,8.25071841311138,5.5612622646827586e-05,5.9813853620608475,0.006488356706500613,479040.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7209512.0
GPT-13B,C-lo,8,wl_C16.json,32,A4b,14.579584171470692,9242388157754.592,94068752416.0,7414312.0,recompute,master-diff,pim,gpu,1162099519351.8782,8078331851483.088,1956630050.309352,156583.0810247554,199.04240000011265,8.25071841311138,5.5612622646827586e-05,5.998425909885593,0.006869607303110718,479040.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7414312.0
GPT-13B,C-lo,8,wl_C16.json,32,A5,11.514194469051814,5027564773544.124,16436445216.0,8663472.0,recompute,master-diff,pim,pim,1113255009524.6904,3913967637736.7676,341878060.49249077,247796.99718963387,224.06100000012884,7.232064668242482,5.5612622646827586e-05,4.20521164607098,0.01087134095487256,174720.0,304320.0,1,31,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,8663472.0
GPT-13B,C-lo,8,wl_C16.json,32,A6,11.514194469051814,5027564773544.124,16436445216.0,8663472.0,recompute,master-diff,pim,dynamic,1113255009524.6904,3913967637736.7676,341878060.49249077,247796.99718963387,224.06100000012884,7.232064668242482,5.5612622646827586e-05,4.20521164607098,0.01087134095487256,174720.0,304320.0,1,31,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,8663472.0
GPT-13B,D-hi,8,wl_D4.json,64,A1,139.64191894793035,168562376164776.72,611581952000.0,17405440.0,no-reuse-physical,private,pim,gpu,10509337690501.275,158040317356785.88,12720904601.87105,208383.50848515195,,55.020201928341,60.16120665963982,22.41276166050642,0.00914219379500683,29040640.0,0.0,64,0,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17405440.0
GPT-13B,D-hi,8,wl_D4.json,64,A2,440.7739887571546,9614041005932.06,79881777971200.0,70616.0,recompute,none,gpu,gpu,7952500024133.322,,1661540981800.8423,,,174.50139551981755,,0.0,0.0,1478080.0,0.0,64,0,64,4,24576.0,,,,,,dag,supervisor,,
GPT-13B,D-hi,8,wl_D4.json,64,A3,49.282145730324814,31666302157921.047,330106544224.0,9203816.0,recompute,naive,pim,gpu,2667365460268.6416,28992070318331.496,6866216119.855197,80753.3477750509,82677.15679987843,21.23769020596151,0.00011122524529179585,22.806588501534492,0.0035428079712819054,1478080.0,0.0,64,0,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,9203816.0
GPT-13B,D-hi,8,wl_D4.json,64,A3a,45.36089383739243,32016805438232.203,330106544224.0,9203816.0,recompute,naive-mask,pim,gpu,2667365460268.6416,29342573679748.027,6866216119.855197,80753.3477750509,1367.8448000065496,21.23769020596151,0.00011122524529179585,22.95080220923458,0.0035428079712819054,1478080.0,0.0,64,0,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,9203816.0
GPT-13B,D-hi,8,wl_D4.json,64,A3b,48.14313364444821,31694352553786.418,330106544224.0,17251176.0,recompute,naive,pim,gpu,2667365460268.6416,29020120430422.34,6866216119.855197,364968.5413869237,82677.15679987843,21.23769020596151,0.00011122524529179585,21.65510734426656,0.016011886730491292,1478080.0,0.0,64,0,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17251176.0
GPT-13B,D-hi,8,wl_D4.json,64,A4,44.28259638648617,32041711076682.58,330106544224.0,16530536.0,recompute,master-diff,pim,gpu,2667365460268.6416,29367479067331.11,6866216119.855197,333104.9381825757,532.849600002695,21.23769020596151,0.00011122524529179585,21.90318335213781,0.014613967876211383,1478080.0,0.0,64,0,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,16530536.0
GPT-13B,D-hi,8,wl_D4.json,64,A4b,44.4229916771596,32043712282139.285,330106544224.0,17103976.0,recompute,master-diff,pim,gpu,2667365460268.6416,29369480252688.613,6866216119.855197,353381.7765897604,532.849600002695,21.23769020596151,0.00011122524529179585,22.04268905750164,0.0155035526017851,1478080.0,0.0,64,0,64,4,24576.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,17103976.0
GPT-13B,D-hi,8,wl_D4.json,64,A5,34.38176565102123,18741406115261.438,43633942624.0,21793216.0,recompute,master-diff,pim,pim,2397644236243.6255,16342853596779.484,907586006.5962886,695396.2303360826,658.7031000050299,15.71055481186749,0.00011122524529179585,18.462209580920042,0.03050839842470871,338560.0,1139520.0,1,63,64,4,24576.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,21793216.0
GPT-13B,D-hi,8,wl_D4.json,64,A6,34.38176565102123,18741406115261.438,43633942624.0,21793216.0,recompute,master-diff,pim,dynamic,2397644236243.6255,16342853596779.484,907586006.5962886,695396.2303360826,658.7031000050299,15.71055481186749,0.00011122524529179585,18.462209580920042,0.03050839842470871,338560.0,1139520.0,1,63,64,4,24576.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,21793216.0
GPT-13B,D-lo,8,wl_D1.json,16,A1,23.392380071214436,24367157645358.176,115146752000.0,4351360.0,no-reuse-physical,private,pim,gpu,2079820602650.871,22284941937935.12,2395052441.5307093,52095.87712012935,,11.021092730252343,7.9241427005838725,4.061036584827501,0.0022855484486762234,5416960.0,0.0,16,0,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4351360.0
GPT-13B,D-lo,8,wl_D1.json,16,A2,80.85760113292208,1895148471890.6829,14472970240000.0,17624.0,recompute,none,gpu,gpu,1594110690898.7522,,301037780991.97614,,,32.614366999591596,,0.0,0.0,348160.0,0.0,16,0,16,1,0.0,,,,,,dag,supervisor,,
GPT-13B,D-lo,8,wl_D1.json,16,A3,8.917605916483495,5802130652607.298,59726233600.0,2293640.0,recompute,naive,pim,gpu,628762749609.9059,5172125577005.441,1242305658.9278014,20187.709439970782,65.47199999999361,4.7642021468525115,2.7806311323341487e-05,3.950129243569841,0.0008856744630120427,348160.0,0.0,16,0,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2293640.0
GPT-13B,D-lo,8,wl_D1.json,16,A3a,8.917605916483495,5802130652607.298,59726233600.0,2293640.0,recompute,naive-mask,pim,gpu,628762749609.9059,5172125577005.441,1242305658.9278014,20187.709439970782,65.47199999999361,4.7642021468525115,2.7806311323341487e-05,3.950129243569841,0.0008856744630120427,348160.0,0.0,16,0,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2293640.0
GPT-13B,D-lo,8,wl_D1.json,16,A3b,8.771343485684527,5806166568127.251,59726233600.0,2599560.0,recompute,naive,pim,gpu,628762749609.9059,5176161451647.272,1242305658.9278014,61080.84223980898,65.47199999999361,4.7642021468525115,2.7806311323341487e-05,3.8020727507832244,0.002679736515483591,348160.0,0.0,16,0,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2599560.0
GPT-13B,D-lo,8,wl_D1.json,16,A4,8.846852789409345,5805594794819.019,59726233600.0,2549000.0,recompute,master-diff,pim,gpu,628762749609.9059,5175589684146.71,1242305658.9278014,55287.45984005061,22.165199999965505,4.7642021468525115,2.7806311323341487e-05,3.8800015614622927,0.002425569451052626,348160.0,0.0,16,0,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2549000.0
GPT-13B,D-lo,8,wl_D1.json,16,A4b,8.80458324186206,5805880681456.628,59726233600.0,2569480.0,recompute,master-diff,pim,gpu,628762749609.9059,5175875567896.99,1242305658.9278014,58184.15103999598,22.165199999965505,4.7642021468525115,2.7806311323341487e-05,3.837604930428536,0.002552652983278006,348160.0,0.0,16,0,16,1,0.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2569480.0
GPT-13B,D-lo,8,wl_D1.json,16,A5,5.696915210830747,1473940289479.0273,7870873600.0,2605480.0,recompute,master-diff,pim,pim,624137539049.4017,849638975353.2681,163714170.88060445,60897.187839994906,22.558199999964618,4.640816687917627,2.7806311323341487e-05,1.0260348819878338,0.002671679236261006,338560.0,9600.0,1,15,16,1,0.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,2605480.0
GPT-13B,D-lo,8,wl_D1.json,16,A6,5.696915210830747,1473940289479.0273,7870873600.0,2605480.0,recompute,master-diff,pim,dynamic,624137539049.4017,849638975353.2681,163714170.88060445,60897.187839994906,22.558199999964618,4.640816687917627,2.7806311323341487e-05,1.0260348819878338,0.002671679236261006,338560.0,9600.0,1,15,16,1,0.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,2605480.0
GPT-13B,N-hi,8,wl_N64.json,128,A2,1236.2047411898563,25149216805246.824,226164421427200.0,141272.0,recompute,none,gpu,gpu,20444996839567.5,,4704219965687.0625,,,482.3233364320615,,0.0,0.0,2376000.0,0.0,128,0,128,2,16384.0,,,,,,dag,supervisor,,
GPT-13B,N-lo,8,wl_N4.json,8,A1,13.948185698098118,13527422476412.965,60089958400.0,2298560.0,no-reuse-physical,private,pim,gpu,1286400652662.034,12239771926483.42,1249871134.734156,26047.938559958813,,7.145529809280547,4.449741719328207,2.151471534077225,0.0011427742243420478,2831360.0,0.0,8,0,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2298560.0
GPT-13B,N-lo,8,wl_N4.json,8,A2,45.3148924343482,1308842067804.597,7667659571200.0,9048.0,recompute,none,gpu,gpu,1149354748723.6143,,159487319080.95224,,,19.75602719701554,,0.0,0.0,427200.0,0.0,8,0,8,2,1024.0,,,,,,dag,supervisor,,
GPT-13B,N-lo,8,wl_N4.json,8,A3,7.418252661272427,3439020121380.4517,31970103816.0,1302768.0,recompute,naive,pim,gpu,633449771267.1819,2804905358135.2485,664978159.3747325,10094.011663974325,3703.791999999031,4.9542775275554645,1.390315566161197e-05,2.1717617737265043,0.0004428441169467272,427200.0,0.0,8,0,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,1302768.0
GPT-13B,N-lo,8,wl_N4.json,8,A3a,7.2446199444873765,3447916142203.4556,31970103816.0,1302768.0,recompute,naive-mask,pim,gpu,633449771267.1819,2813801382544.4185,664978159.3747325,10094.011663974325,117.74399999996092,4.9542775275554645,1.390315566161197e-05,2.177431456918277,0.0004428441169467272,427200.0,0.0,8,0,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,1302768.0
GPT-13B,N-lo,8,wl_N4.json,8,A3b,7.378983378023689,3442030306892.563,31970103816.0,2167728.0,recompute,naive,pim,gpu,633449771267.1819,2807915513126.561,664978159.3747325,40594.13326394386,3703.791999999031,4.9542775275554645,1.390315566161197e-05,2.131154390397394,0.00178094435560427,427200.0,0.0,8,0,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2167728.0
GPT-13B,N-lo,8,wl_N4.json,8,A4,7.191494455389417,3450434401607.4253,31970103816.0,2001648.0,recompute,master-diff,pim,gpu,633449771267.1819,2816319616469.9565,664978159.3747325,35609.787664012554,31.147199999967302,4.9542775275554645,1.390315566161197e-05,2.1275163807073545,0.001562271324577211,427200.0,0.0,8,0,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2001648.0
GPT-13B,N-lo,8,wl_N4.json,8,A4b,7.2015114410171766,3450577344924.7773,31970103816.0,2022128.0,recompute,master-diff,pim,gpu,633449771267.1819,2816462558344.035,664978159.3747325,37058.133263926,31.147199999967302,4.9542775275554645,1.390315566161197e-05,2.1374698245436243,0.0016258130906875558,427200.0,0.0,8,0,8,2,1024.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2022128.0
GPT-13B,N-lo,8,wl_N4.json,8,A5,6.113671016630672,2015412451104.918,7385911816.0,2386408.0,recompute,master-diff,pim,pim,617376861128.8873,1397881899376.2314,153626965.772972,63641.71598380146,37.88899999998195,4.6225646518296815,1.390315566161197e-05,1.4617862185913724,0.002792087076358693,338560.0,88640.0,1,7,8,2,1024.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,2386408.0
GPT-13B,N-lo,8,wl_N4.json,8,A6,6.113671016630672,2015412451104.918,7385911816.0,2386408.0,recompute,master-diff,pim,dynamic,617376861128.8873,1397881899376.2314,153626965.772972,63641.71598380146,37.88899999998195,4.6225646518296815,1.390315566161197e-05,1.4617862185913724,0.002792087076358693,338560.0,88640.0,1,7,8,2,1024.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,2386408.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A1,61.732651855971476,71540571108984.23,280625152000.0,8702720.0,no-reuse-physical,private,pim,gpu,4889659631947.446,66645074370515.125,5837003161.539519,104191.75424062418,,25.687462462756542,25.047876094044973,10.05732503556206,0.0045710968973859106,13291520.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,8702720.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A2,198.52977144018766,4428908771442.866,35844731699200.0,35288.0,recompute,none,gpu,gpu,3683338352098.9224,,745570419343.4127,,,79.04733244286032,,0.0,0.0,724800.0,0.0,32,0,32,2,4096.0,,,,,,dag,supervisor,,
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3,22.188774333226643,14266046873125.805,148175282208.0,4597032.0,recompute,naive,pim,gpu,1306538397885.869,12956426361145.7,3082045869.904839,40376.25555196369,27637.260199993623,10.219384808693349,5.5612622646827586e-05,10.0917819087502,0.00177138563243776,724800.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3a,20.90174543323849,14386736243835.93,148175282208.0,4597032.0,recompute,naive-mask,pim,gpu,1306538397885.869,13077115759058.512,3082045869.904839,40376.25555196369,497.21540000090624,10.219384808693349,5.5612622646827586e-05,10.161755248943594,0.00177138563243776,724800.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A3b,21.731182336501313,14278087615058.207,148175282208.0,7483432.0,recompute,naive,pim,gpu,1306538397885.869,12968466980948.355,3082045869.904839,162376.74195280223,27637.260199993623,10.219384808693349,5.5612622646827586e-05,9.628837510647502,0.007123786587118426,724800.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7483432.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4,20.500154919771976,14397347551560.652,148175282208.0,7209512.0,recompute,master-diff,pim,gpu,1306538397885.869,13087726959610.719,3082045869.904839,147893.2859529248,200.3993000001259,10.219384808693349,5.5612622646827586e-05,9.770288556324319,0.006488368926071017,724800.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7209512.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A4b,20.51877365155217,14398205211257.426,148175282208.0,7414312.0,recompute,master-diff,pim,gpu,1306538397885.869,13088584610728.22,3082045869.904839,156583.3595527554,200.3993000001259,10.219384808693349,5.5612622646827586e-05,9.788526037265205,0.006869619522681122,724800.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7414312.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A5,15.052264982830694,7033016519469.469,19791896608.0,9001392.0,recompute,master-diff,pim,pim,1215306438113.7646,5817298137222.677,411671449.4459931,272396.8686803959,236.1405000001862,8.330729395890183,5.5612622646827586e-05,6.6317493745474705,0.011950585632759383,338560.0,386240.0,1,31,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,9001392.0
GPT-13B,baseline,8,wl_baseline_alltoall_N16_C32_D2.json,32,A6,15.052264982830694,7033016519469.469,19791896608.0,9001392.0,recompute,master-diff,pim,dynamic,1215306438113.7646,5817298137222.677,411671449.4459931,272396.8686803959,236.1405000001862,8.330729395890183,5.5612622646827586e-05,6.6317493745474705,0.011950585632759383,338560.0,386240.0,1,31,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,9001392.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A1,26.57514896605693,26742025526178.055,122343424000.0,4730840.0,no-reuse-physical,private,pim,gpu,2392697462420.1377,24346783265398.094,2544743219.1306543,55351.86944016028,,13.013613680619649,8.715490862763632,4.435804612986902,0.0024283952267179954,5755520.0,0.0,17,0,17,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4730840.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A2,89.41042749887991,2227209661050.3555,15808705331200.0,18952.0,recompute,none,gpu,gpu,1898388590161.495,,328821070888.9343,,,36.71474306155012,,0.0,0.0,353920.0,0.0,17,0,17,2,4096.0,,,,,,dag,supervisor,,
GPT-13B,broadcast,8,wl_broadcast.json,17,A3,11.051274684312386,6674240922647.558,65163280928.0,2531112.0,recompute,naive,pim,gpu,844826132394.08,5828059372207.874,1355396243.3503232,20909.67251197067,784.8318999994137,6.303554410056542,2.9544205781059368e-05,4.490320850360589,0.000917348400959774,353920.0,0.0,17,0,17,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2531112.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A3a,10.994639957973835,6645180575500.747,65163280928.0,2531112.0,recompute,naive-mask,pim,gpu,844826132394.08,5798999025753.46,1355396243.3503232,20909.67251197067,115.16149999982987,6.303554410056542,2.9544205781059368e-05,4.46716964395891,0.000917348400959774,353920.0,0.0,17,0,17,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,2531112.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A3b,10.876760374898112,6679779976726.299,65163280928.0,3698472.0,recompute,naive,pim,gpu,844826132394.08,5833598370141.238,1355396243.3503232,77033.06451192884,784.8318999994137,6.303554410056542,2.9544205781059368e-05,4.313344297647303,0.003379591837692778,353920.0,0.0,17,0,17,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,3698472.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A4,10.894522146240137,6649716792692.189,65163280928.0,3400272.0,recompute,master-diff,pim,gpu,844826132394.08,5803535197072.214,1355396243.3503232,66872.01491199287,39.9102999999392,6.303554410056542,2.9544205781059368e-05,4.368797934078936,0.0029338066348307155,353920.0,0.0,17,0,17,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,3400272.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A4b,10.852032179220863,6650020547237.272,65163280928.0,3430992.0,recompute,master-diff,pim,gpu,844826132394.08,5803838948552.861,1355396243.3503232,69949.74931183571,39.9102999999392,6.303554410056542,2.9544205781059368e-05,4.3261729408040095,0.0030688328878019223,353920.0,0.0,17,0,17,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,3430992.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A5,7.7374261063694885,2343878697165.574,8251818528.0,3491792.0,recompute,master-diff,pim,pim,838907352330.3691,1504799632401.4692,171637825.38286883,74562.17299190159,40.716999999938,6.154330511363461,2.9544205781059368e-05,1.5502529502427314,0.003271188973716731,338560.0,15360.0,1,16,17,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,3491792.0
GPT-13B,broadcast,8,wl_broadcast.json,17,A6,7.7374261063694885,2343878697165.574,8251818528.0,3491792.0,recompute,master-diff,pim,dynamic,838907352330.3691,1504799632401.4692,171637825.38286883,74562.17299190159,40.716999999938,6.154330511363461,2.9544205781059368e-05,1.5502529502427314,0.003271188973716731,338560.0,15360.0,1,16,17,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,3491792.0
GPT-13B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A1,61.732651855971476,71540571108984.23,280625152000.0,8702720.0,no-reuse-physical,private,pim,gpu,4889659631947.446,66645074370515.125,5837003161.539519,104191.75424062418,,25.687462462756542,25.047876094044973,10.05732503556206,0.0045710968973859106,13291520.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,8702720.0
GPT-13B,k-hi,32,wl_baseline_alltoall_N16_C32_D2.json,32,A2,202.21418190122884,4736190533257.155,35844731699200.0,35288.0,recompute,none,gpu,gpu,3990620113913.453,,745570419343.4127,,,82.7317429038979,,0.0,0.0,1332480.0,0.0,32,0,32,2,4096.0,,,,,,dag,supervisor,,
