model,config,k,rung,tier,start_s,end_s,duration_s,requests
GPT-13B,D-lo,8,A1,0,0.0,23.392380071214436,23.392380071214436,16
GPT-13B,D-lo,8,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,D-lo,8,A3,0,0.0,8.917605916483495,8.917605916483495,16
GPT-13B,D-lo,8,A3a,0,0.0,8.917605916483495,8.917605916483495,16
GPT-13B,D-lo,8,A3b,0,0.0,8.771343485684527,8.771343485684527,16
GPT-13B,D-lo,8,A4,0,0.0,8.846852789409345,8.846852789409345,16
GPT-13B,D-lo,8,A4b,0,0.0,8.80458324186206,8.80458324186206,16
GPT-13B,D-lo,8,A5,0,0.0,5.696915210830747,5.696915210830747,16
GPT-13B,D-lo,8,A6,0,0.0,5.696915210830747,5.696915210830747,16
GPT-13B,N-hi,8,A2,0,0.0,318.77722764744607,318.77722764744607,64
GPT-13B,N-hi,8,A2,1,318.77722764744607,1236.2047411898563,917.4275135424102,64
GPT-13B,N-lo,8,A1,0,0.0,6.57970343461076,6.57970343461076,4
GPT-13B,N-lo,8,A1,1,6.57970343461076,13.948185698098118,7.368482263487358,4
GPT-13B,N-lo,8,A2,0,0.0,22.108954461055657,22.108954461055657,4
GPT-13B,N-lo,8,A2,1,22.108954461055657,45.3148924343482,23.205937973292546,4
GPT-13B,N-lo,8,A3,0,0.0,4.058738591282624,4.058738591282624,4
GPT-13B,N-lo,8,A3,1,4.058738591282624,7.418252661272427,3.359514069989803,4
GPT-13B,N-lo,8,A3a,0,0.0,4.058738591282624,4.058738591282624,4
GPT-13B,N-lo,8,A3a,1,4.058738591282624,7.2446199444873765,3.1858813532047527,4
GPT-13B,N-lo,8,A3b,0,0.0,4.047875547436044,4.047875547436044,4
GPT-13B,N-lo,8,A3b,1,4.047875547436044,7.378983378023689,3.3311078305876443,4
GPT-13B,N-lo,8,A4,0,0.0,4.0353863689689895,4.0353863689689895,4
GPT-13B,N-lo,8,A4,1,4.0353863689689895,7.191494455389417,3.156108086420428,4
GPT-13B,N-lo,8,A4b,0,0.0,4.04039486177968,4.04039486177968,4
GPT-13B,N-lo,8,A4b,1,4.04039486177968,7.2015114410171766,3.161116579237497,4
GPT-13B,N-lo,8,A5,0,0.0,3.369790887462092,3.369790887462092,4
GPT-13B,N-lo,8,A5,1,3.369790887462092,6.113671016630672,2.74388012916858,4
GPT-13B,N-lo,8,A6,0,0.0,3.369790887462092,3.369790887462092,4
GPT-13B,N-lo,8,A6,1,3.369790887462092,6.113671016630672,2.74388012916858,4
GPT-13B,baseline,8,A1,0,0.0,23.390383491906423,23.390383491906423,16
GPT-13B,baseline,8,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16
GPT-13B,baseline,8,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,baseline,8,A2,1,80.85760113292208,198.52977144018766,117.67217030726557,16
GPT-13B,baseline,8,A3,0,0.0,8.917616156483293,8.917616156483293,16
GPT-13B,baseline,8,A3,1,8.917616156483293,22.188774333226643,13.27115817674335,16
GPT-13B,baseline,8,A3a,0,0.0,8.917616156483293,8.917616156483293,16
GPT-13B,baseline,8,A3a,1,8.917616156483293,20.90174543323849,11.984129276755196,16
GPT-13B,baseline,8,A3b,0,0.0,8.771353725684303,8.771353725684303,16
GPT-13B,baseline,8,A3b,1,8.771353725684303,21.731182336501313,12.95982861081701,16
GPT-13B,baseline,8,A4,0,0.0,8.847511079383152,8.847511079383152,16
GPT-13B,baseline,8,A4,1,8.847511079383152,20.500154919771976,11.652643840388825,16
GPT-13B,baseline,8,A4b,0,0.0,8.805241531835525,8.805241531835525,16
GPT-13B,baseline,8,A4b,1,8.805241531835525,20.51877365155217,11.713532119716644,16
GPT-13B,baseline,8,A5,0,0.0,5.6975789508081105,5.6975789508081105,16
GPT-13B,baseline,8,A5,1,5.6975789508081105,15.052264982830694,9.354686032022585,16
GPT-13B,baseline,8,A6,0,0.0,5.6975789508081105,5.6975789508081105,16
GPT-13B,baseline,8,A6,1,5.6975789508081105,15.052264982830694,9.354686032022585,16
GPT-13B,broadcast,8,A1,0,0.0,2.7657206630856437,2.7657206630856437,1
GPT-13B,broadcast,8,A1,1,2.7657206630856437,26.57514896605693,23.809428302971284,16
GPT-13B,broadcast,8,A2,0,0.0,7.811332876761604,7.811332876761604,1
GPT-13B,broadcast,8,A2,1,7.811332876761604,89.41042749887991,81.59909462211832,16
GPT-13B,broadcast,8,A3,0,0.0,3.2532911186289266,3.2532911186289266,1
GPT-13B,broadcast,8,A3,1,3.2532911186289266,11.051274684312386,7.7979835656834595,16
GPT-13B,broadcast,8,A3a,0,0.0,3.2532911186289266,3.2532911186289266,1
GPT-13B,broadcast,8,A3a,1,3.2532911186289266,10.994639957973835,7.741348839344909,16
GPT-13B,broadcast,8,A3b,0,0.0,3.2294442139863704,3.2294442139863704,1
GPT-13B,broadcast,8,A3b,1,3.2294442139863704,10.876760374898112,7.647316160911741,16
GPT-13B,broadcast,8,A4,0,0.0,3.228741789807274,3.228741789807274,1
GPT-13B,broadcast,8,A4,1,3.228741789807274,10.894522146240137,7.665780356432863,16
GPT-13B,broadcast,8,A4b,0,0.0,3.2285213702895197,3.2285213702895197,1
GPT-13B,broadcast,8,A4b,1,3.2285213702895197,10.852032179220863,7.623510808931344,16
GPT-13B,broadcast,8,A5,0,0.0,3.2285213702895197,3.2285213702895197,1
GPT-13B,broadcast,8,A5,1,3.2285213702895197,7.7374261063694885,4.508904736079969,16
GPT-13B,broadcast,8,A6,0,0.0,3.2285213702895197,3.2285213702895197,1
GPT-13B,broadcast,8,A6,1,3.2285213702895197,7.7374261063694885,4.508904736079969,16
GPT-13B,k-hi,32,A1,0,0.0,23.390383491906423,23.390383491906423,16
GPT-13B,k-hi,32,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16
GPT-13B,k-hi,32,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,k-hi,32,A2,1,80.85760113292208,202.21418190122884,121.35658076830676,16
GPT-13B,k-hi,32,A3,0,0.0,8.917608476483379,8.917608476483379,16
GPT-13B,k-hi,32,A3,1,8.917608476483379,26.934454861398045,18.016846384914665,16
GPT-13B,k-hi,32,A3a,0,0.0,8.917608476483379,8.917608476483379,16
GPT-13B,k-hi,32,A3a,1,8.917608476483379,25.012315264642204,16.094706788158824,16
GPT-13B,k-hi,32,A3b,0,0.0,8.771346045684405,8.771346045684405,16
GPT-13B,k-hi,32,A3b,1,8.771346045684405,26.415606662029962,17.644260616345555,16
GPT-13B,k-hi,32,A4,0,0.0,8.847511079383152,8.847511079383152,16
GPT-13B,k-hi,32,A4,1,8.847511079383152,24.63564972349263,15.788138644109479,16
GPT-13B,k-hi,32,A4b,0,0.0,8.805241531835525,8.805241531835525,16
GPT-13B,k-hi,32,A4b,1,8.805241531835525,24.65426845574947,15.849026923913945,16
GPT-13B,k-hi,32,A5,0,0.0,5.6975789508081105,5.6975789508081105,16
GPT-13B,k-hi,32,A5,1,5.6975789508081105,22.034884174084112,16.337305223276,16
GPT-13B,k-hi,32,A6,0,0.0,5.6975789508081105,5.6975789508081105,16
GPT-13B,k-hi,32,A6,1,5.6975789508081105,22.034884174084112,16.337305223276,16
GPT-13B,k-lo,2,A1,0,0.0,23.390383491906423,23.390383491906423,16
GPT-13B,k-lo,2,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16
GPT-13B,k-lo,2,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,k-lo,2,A2,1,80.85760113292208,197.661893201183,116.80429206826092,16
GPT-13B,k-lo,2,A3,0,0.0,8.917611036483263,8.917611036483263,16
GPT-13B,k-lo,2,A3,1,8.917611036483263,20.393720734873074,11.476109698389811,16
GPT-13B,k-lo,2,A3a,0,0.0,8.917611036483263,8.917611036483263,16
GPT-13B,k-lo,2,A3a,1,8.917611036483263,19.806408109017493,10.88879707253423,16
GPT-13B,k-lo,2,A3b,0,0.0,8.771348605684283,8.771348605684283,16
GPT-13B,k-lo,2,A3b,1,8.771348605684283,20.03216564129539,11.260817035611106,16
GPT-13B,k-lo,2,A4,0,0.0,8.847511079383152,8.847511079383152,16
