model,config,k,rung,tier,start_s,end_s,duration_s,requests
GPT-175B,D-hi,8,A2,3,603.3223087690305,833.4141980868001,230.09188931776953,16
GPT-175B,D-hi,8,A3,0,0.0,24.29210582100847,24.29210582100847,16
GPT-175B,D-hi,8,A3,1,24.29210582100847,56.28905977487416,31.99695395386569,16
GPT-175B,D-hi,8,A3,2,56.28905977487416,88.56943803314189,32.28037825826773,16
GPT-175B,D-hi,8,A3,3,88.56943803314189,121.07228102471076,32.50284299156887,16
GPT-175B,D-hi,8,A3b,0,0.0,24.34603425863683,24.34603425863683,16
GPT-175B,D-hi,8,A3b,1,24.34603425863683,56.20753118772614,31.86149692908931,16
GPT-175B,D-hi,8,A3b,2,56.20753118772614,88.32124786186876,32.113716674142616,16
GPT-175B,D-hi,8,A3b,3,88.32124786186876,120.63630261131267,32.31505474944392,16
GPT-175B,D-hi,8,A5,0,0.0,20.349672804898805,20.349672804898805,16
GPT-175B,D-hi,8,A5,1,20.349672804898805,43.94484819840203,23.595175393503222,16
GPT-175B,D-hi,8,A5,2,43.94484819840203,67.74176193958802,23.79691374118599,16
GPT-175B,D-hi,8,A5,3,67.74176193958802,91.73938939436856,23.99762745478054,16
GPT-175B,D-hi,8,A6,0,0.0,20.349672804898805,20.349672804898805,16
GPT-175B,D-hi,8,A6,1,20.349672804898805,43.94484819840203,23.595175393503222,16
GPT-175B,D-hi,8,A6,2,43.94484819840203,67.74176193958802,23.79691374118599,16
GPT-175B,D-hi,8,A6,3,67.74176193958802,91.73938939436856,23.99762745478054,16
GPT-175B,D-lo,8,A1,0,0.0,60.54222634299159,60.54222634299159,16
GPT-175B,D-lo,8,A2,0,0.0,155.55895948814853,155.55895948814853,16
GPT-175B,D-lo,8,A3,0,0.0,24.292095581006524,24.292095581006524,16
GPT-175B,D-lo,8,A3a,0,0.0,24.292095581006524,24.292095581006524,16
GPT-175B,D-lo,8,A3b,0,0.0,24.346024018634882,24.346024018634882,16
GPT-175B,D-lo,8,A4,0,0.0,24.260698202829026,24.260698202829026,16
GPT-175B,D-lo,8,A4b,0,0.0,24.260698202829026,24.260698202829026,16
GPT-175B,D-lo,8,A5,0,0.0,20.348083939853154,20.348083939853154,16
GPT-175B,D-lo,8,A6,0,0.0,20.348083939853154,20.348083939853154,16
GPT-175B,N-hi,8,A2,0,0.0,608.8761819005312,608.8761819005312,64
GPT-175B,N-hi,8,A2,1,608.8761819005312,2304.8106477074693,1695.934465806938,64
GPT-175B,N-lo,8,A1,0,0.0,18.645300039951803,18.645300039951803,4
GPT-175B,N-lo,8,A1,1,18.645300039951803,38.7546145152925,20.1093144753407,4
GPT-175B,N-lo,8,A2,0,0.0,45.74070422856742,45.74070422856742,4
GPT-175B,N-lo,8,A2,1,45.74070422856742,92.17764786256816,46.43694363400075,4
GPT-175B,N-lo,8,A3,0,0.0,12.756206907550451,12.756206907550451,4
GPT-175B,N-lo,8,A3,1,12.756206907550451,23.057511980080545,10.301305072530093,4
GPT-175B,N-lo,8,A3a,0,0.0,12.756206907550451,12.756206907550451,4
GPT-175B,N-lo,8,A3a,1,12.756206907550451,22.633989840083995,9.877782932533544,4
GPT-175B,N-lo,8,A3b,0,0.0,12.705914530422998,12.705914530422998,4
GPT-175B,N-lo,8,A3b,1,12.705914530422998,22.959283762097712,10.253369231674714,4
GPT-175B,N-lo,8,A4,0,0.0,12.69630138695285,12.69630138695285,4
GPT-175B,N-lo,8,A4,1,12.69630138695285,22.50146250093863,9.805161113985779,4
GPT-175B,N-lo,8,A4b,0,0.0,12.69630138695285,12.69630138695285,4
GPT-175B,N-lo,8,A4b,1,12.69630138695285,22.50146250093863,9.805161113985779,4
GPT-175B,N-lo,8,A5,0,0.0,11.913009317486017,11.913009317486017,4
GPT-175B,N-lo,8,A5,1,11.913009317486017,20.95809176011461,9.045082442628592,4
GPT-175B,N-lo,8,A6,0,0.0,11.913009317486017,11.913009317486017,4
GPT-175B,N-lo,8,A6,1,11.913009317486017,20.95809176011461,9.045082442628592,4
GPT-175B,baseline,8,A1,0,0.0,60.541996907227514,60.541996907227514,16
GPT-175B,baseline,8,A1,1,60.541996907227514,148.51094928767228,87.96895238044476,16
GPT-175B,baseline,8,A2,0,0.0,155.55895948814853,155.55895948814853,16
GPT-175B,baseline,8,A2,1,155.55895948814853,377.3705625694912,221.81160308134267,16
GPT-175B,baseline,8,A3,0,0.0,24.292098141008097,24.292098141008097,16
GPT-175B,baseline,8,A3,1,24.292098141008097,56.289040554880884,31.996942413872787,16
GPT-175B,baseline,8,A3a,0,0.0,24.292098141008097,24.292098141008097,16
GPT-175B,baseline,8,A3a,1,24.292098141008097,53.116202163727415,28.824104022719318,16
GPT-175B,baseline,8,A3b,0,0.0,24.346026578636458,24.346026578636458,16
GPT-175B,baseline,8,A3b,1,24.346026578636458,56.20751196773291,31.861485389096455,16
GPT-175B,baseline,8,A4,0,0.0,24.262283997897455,24.262283997897455,16
GPT-175B,baseline,8,A4,1,24.262283997897455,52.62635208524005,28.364068087342595,16
GPT-175B,baseline,8,A4b,0,0.0,24.262283997897455,24.262283997897455,16
GPT-175B,baseline,8,A4b,1,24.262283997897455,52.62635208524005,28.364068087342595,16
GPT-175B,baseline,8,A5,0,0.0,20.3496833248993,20.3496833248993,16
GPT-175B,baseline,8,A5,1,20.3496833248993,43.94214487888611,23.592461553986812,16
GPT-175B,baseline,8,A6,0,0.0,20.3496833248993,20.3496833248993,16
GPT-175B,baseline,8,A6,1,20.3496833248993,43.94214487888611,23.592461553986812,16
GPT-175B,broadcast,8,A1,0,0.0,9.813935745187253,9.813935745187253,1
GPT-175B,broadcast,8,A1,1,9.813935745187253,70.98846480329257,61.17452905810532,16
GPT-175B,broadcast,8,A2,0,0.0,19.927156054409576,19.927156054409576,1
GPT-175B,broadcast,8,A2,1,19.927156054409576,175.15883621854374,155.23168016413416,16
GPT-175B,broadcast,8,A3,0,0.0,11.537116294427873,11.537116294427873,1
GPT-175B,broadcast,8,A3,1,11.537116294427873,32.09543725578406,20.558320961356188,16
GPT-175B,broadcast,8,A3a,0,0.0,11.537116294427873,11.537116294427873,1
GPT-175B,broadcast,8,A3a,1,11.537116294427873,31.987293568614522,20.45017727418665,16
GPT-175B,broadcast,8,A3b,0,0.0,11.504024906900172,11.504024906900172,1
GPT-175B,broadcast,8,A3b,1,11.504024906900172,32.11042021609233,20.60639530919216,16
GPT-175B,broadcast,8,A4,0,0.0,11.50182653421507,11.50182653421507,1
GPT-175B,broadcast,8,A4,1,11.50182653421507,31.913039274961207,20.411212740746137,16
GPT-175B,broadcast,8,A4b,0,0.0,11.50182653421507,11.50182653421507,1
GPT-175B,broadcast,8,A4b,1,11.50182653421507,31.913039274961207,20.411212740746137,16
GPT-175B,broadcast,8,A5,0,0.0,11.50182653421507,11.50182653421507,1
GPT-175B,broadcast,8,A5,1,11.50182653421507,27.96176047512683,16.45993394091176,16
GPT-175B,broadcast,8,A6,0,0.0,11.50182653421507,11.50182653421507,1
GPT-175B,broadcast,8,A6,1,11.50182653421507,27.96176047512683,16.45993394091176,16
GPT-175B,k-hi,32,A1,0,0.0,60.541996907227514,60.541996907227514,16
GPT-175B,k-hi,32,A1,1,60.541996907227514,148.51094928767228,87.96895238044476,16
GPT-175B,k-hi,32,A2,0,0.0,155.55895948814853,155.55895948814853,16
GPT-175B,k-hi,32,A2,1,155.55895948814853,387.66068453947645,232.10172505132792,16
GPT-175B,k-hi,32,A3,0,0.0,24.292077661006793,24.292077661006793,16
GPT-175B,k-hi,32,A3,1,24.292077661006793,68.83664613831877,44.54456847731198,16
GPT-175B,k-hi,32,A3a,0,0.0,24.292077661006793,24.292077661006793,16
GPT-175B,k-hi,32,A3a,1,24.292077661006793,63.92020854419156,39.62813088318477,16
GPT-175B,k-hi,32,A3b,0,0.0,24.346006098635154,24.346006098635154,16
GPT-175B,k-hi,32,A3b,1,24.346006098635154,68.41584563167157,44.069839533036415,16
GPT-175B,k-hi,32,A4,0,0.0,24.262283997897455,24.262283997897455,16
GPT-175B,k-hi,32,A4,1,24.262283997897455,63.432246265960366,39.16996226806291,16
GPT-175B,k-hi,32,A4b,0,0.0,24.262283997897455,24.262283997897455,16
GPT-175B,k-hi,32,A4b,1,24.262283997897455,63.432246265960366,39.16996226806291,16
GPT-175B,k-hi,32,A5,0,0.0,20.3496833248993,20.3496833248993,16
GPT-175B,k-hi,32,A5,1,20.3496833248993,54.730645794668256,34.38096246976896,16
GPT-175B,k-hi,32,A6,0,0.0,20.3496833248993,20.3496833248993,16
GPT-175B,k-hi,32,A6,1,20.3496833248993,54.730645794668256,34.38096246976896,16
GPT-175B,k-lo,2,A1,0,0.0,60.541996907227514,60.541996907227514,16
GPT-175B,k-lo,2,A1,1,60.541996907227514,148.51094928767228,87.96895238044476,16
GPT-175B,k-lo,2,A2,0,0.0,155.55895948814853,155.55895948814853,16
GPT-175B,k-lo,2,A2,1,155.55895948814853,374.97706230611414,219.4181028179656,16
GPT-175B,k-lo,2,A3,0,0.0,24.292085341007297,24.292085341007297,16
GPT-175B,k-lo,2,A3,1,24.292085341007297,51.67631898540858,27.38423364440128,16
GPT-175B,k-lo,2,A3a,0,0.0,24.292085341007297,24.292085341007297,16
GPT-175B,k-lo,2,A3a,1,24.292085341007297,50.449120538373236,26.15703519736594,16
GPT-175B,k-lo,2,A3b,0,0.0,24.346013778635662,24.346013778635662,16
GPT-175B,k-lo,2,A3b,1,24.346013778635662,51.4315602504044,27.08554647176874,16
GPT-175B,k-lo,2,A4,0,0.0,24.262283997897455,24.262283997897455,16
GPT-175B,k-lo,2,A4,1,24.262283997897455,50.08773159230121,25.825447594403755,16
GPT-175B,k-lo,2,A4b,0,0.0,24.262283997897455,24.262283997897455,16
GPT-175B,k-lo,2,A4b,1,24.262283997897455,50.08773159230121,25.825447594403755,16
GPT-175B,k-lo,2,A5,0,0.0,20.3496833248993,20.3496833248993,16
GPT-175B,k-lo,2,A5,1,20.3496833248993,41.31001770181718,20.96033437691788,16
GPT-175B,k-lo,2,A6,0,0.0,20.3496833248993,20.3496833248993,16
GPT-175B,k-lo,2,A6,1,20.3496833248993,41.31001770181718,20.96033437691788,16
GPT-175B,pipeline,8,A1,0,0.0,9.81417168976726,9.81417168976726,1
GPT-175B,pipeline,8,A1,1,9.81417168976726,19.667614151641214,9.853442461873954,1
GPT-175B,pipeline,8,A1,2,19.667614151641214,29.54426850918888,9.876654357547665,1
GPT-175B,pipeline,8,A1,3,29.54426850918888,39.44481493497807,9.90054642578919,1
GPT-175B,pipeline,8,A2,0,0.0,19.927156054409576,19.927156054409576,1
GPT-175B,pipeline,8,A2,1,19.927156054409576,35.65896463478708,15.731808580377507,1
GPT-175B,pipeline,8,A2,2,35.65896463478708,51.64479097639648,15.985826341609396,1
GPT-175B,pipeline,8,A2,3,51.64479097639648,67.88463507923758,16.239844102841104,1
GPT-175B,pipeline,8,A3,0,0.0,11.537106059427936,11.537106059427936,1
GPT-175B,pipeline,8,A3,1,11.537106059427936,18.884999898135113,7.3478938387071775,1
GPT-175B,pipeline,8,A3,2,18.884999898135113,26.243232049863376,7.358232151728263,1
GPT-175B,pipeline,8,A3,3,26.243232049863376,33.61168091463917,7.368448864775797,1
GPT-175B,pipeline,8,A3a,0,0.0,11.537106059427936,11.537106059427936,1
GPT-175B,pipeline,8,A3a,1,11.537106059427936,18.884302704667537,7.347196645239601,1
GPT-175B,pipeline,8,A3a,2,18.884302704667537,26.241837662928596,7.357534958261059,1
GPT-175B,pipeline,8,A3a,3,26.241837662928596,33.60971221424721,7.367874551318614,1
GPT-175B,pipeline,8,A3b,0,0.0,11.504014671900233,11.504014671900233,1
GPT-175B,pipeline,8,A3b,1,11.504014671900233,18.8187438895893,7.314729217689067,1
GPT-175B,pipeline,8,A3b,2,18.8187438895893,26.14373582421415,7.324991934624851,1
GPT-175B,pipeline,8,A3b,3,26.14373582421415,33.478868876310976,7.335133052096825,1
GPT-175B,pipeline,8,A4,0,0.0,11.501829094214843,11.501829094214843,1
GPT-175B,pipeline,8,A4,1,11.501829094214843,18.81376460859921,7.311935514384368,1
GPT-175B,pipeline,8,A4,2,18.81376460859921,26.136300336899907,7.322535728300696,1
GPT-175B,pipeline,8,A4,3,26.136300336899907,33.46894987449659,7.33264953759668,1
GPT-175B,pipeline,8,A4b,0,0.0,11.501829094214843,11.501829094214843,1
GPT-175B,pipeline,8,A4b,1,11.501829094214843,18.81376460859921,7.311935514384368,1
GPT-175B,pipeline,8,A4b,2,18.81376460859921,26.136300336899907,7.322535728300696,1
GPT-175B,pipeline,8,A4b,3,26.136300336899907,33.46894987449659,7.33264953759668,1
GPT-175B,pipeline,8,A5,0,0.0,11.501829094214843,11.501829094214843,1
GPT-175B,pipeline,8,A5,1,11.501829094214843,18.781485256783466,7.279656162568623,1
GPT-175B,pipeline,8,A5,2,18.781485256783466,26.070744037090996,7.289258780307531,1
GPT-175B,pipeline,8,A5,3,26.070744037090996,33.36911331550981,7.298369278418811,1
GPT-175B,pipeline,8,A6,0,0.0,11.501829094214843,11.501829094214843,1
GPT-175B,pipeline,8,A6,1,11.501829094214843,18.781485256783466,7.279656162568623,1
GPT-175B,pipeline,8,A6,2,18.781485256783466,26.070744037090996,7.289258780307531,1
GPT-175B,pipeline,8,A6,3,26.070744037090996,33.36911331550981,7.298369278418811,1
GPT-175B,private,8,A1,0,0.0,60.541996907227514,60.541996907227514,16
GPT-175B,private,8,A1,1,60.541996907227514,148.51094928767228,87.96895238044476,16
GPT-175B,private,8,A2,0,0.0,220.21921704188964,220.21921704188964,16
GPT-175B,private,8,A2,1,220.21921704188964,527.9880311568742,307.76881411498454,16
GPT-175B,private,8,A3,0,0.0,89.69399159282484,89.69399159282484,16
GPT-175B,private,8,A3,1,89.69399159282484,205.40176921906706,115.70777762624222,16
GPT-175B,private,8,A3a,0,0.0,89.69399159282484,89.69399159282484,16
GPT-175B,private,8,A3a,1,89.69399159282484,205.03659839722496,115.34260680440012,16
GPT-175B,private,8,A3b,0,0.0,89.16573889331058,89.16573889331058,16
GPT-175B,private,8,A3b,1,89.16573889331058,204.2450392644783,115.07930037116772,16
GPT-175B,private,8,A4,0,0.0,89.13080931075874,89.13080931075874,16
GPT-175B,private,8,A4,1,89.13080931075874,203.78473338764042,114.65392407688168,16
GPT-175B,private,8,A4b,0,0.0,89.13080931075874,89.13080931075874,16
GPT-175B,private,8,A4b,1,89.13080931075874,203.78473338764042,114.65392407688168,16
GPT-175B,reduce,8,A1,0,0.0,60.54233699286352,60.54233699286352,16
GPT-175B,reduce,8,A1,1,60.54233699286352,72.05919102153536,11.516854028671837,1
GPT-175B,reduce,8,A2,0,0.0,155.55895948814853,155.55895948814853,16
GPT-175B,reduce,8,A2,1,155.55895948814853,177.85121016007415,22.292250671925615,1
GPT-175B,reduce,8,A3,0,0.0,24.292116061006404,24.292116061006404,16
GPT-175B,reduce,8,A3,1,24.292116061006404,34.59163902275034,10.29952296174394,1
GPT-175B,reduce,8,A3a,0,0.0,24.292116061006404,24.292116061006404,16
GPT-175B,reduce,8,A3a,1,24.292116061006404,34.57793449638304,10.285818435376633,1
GPT-175B,reduce,8,A3b,0,0.0,24.346044498634758,24.346044498634758,16
GPT-175B,reduce,8,A3b,1,24.346044498634758,34.602824376978774,10.256779878344016,1
GPT-175B,reduce,8,A4,0,0.0,24.260940117820006,24.260940117820006,16
GPT-175B,reduce,8,A4,1,24.260940117820006,34.48942533740846,10.228485219588457,1
GPT-175B,reduce,8,A4b,0,0.0,24.260940117820006,24.260940117820006,16
GPT-175B,reduce,8,A4b,1,24.260940117820006,34.48942533740846,10.228485219588457,1
GPT-175B,reduce,8,A5,0,0.0,20.348338994836748,20.348338994836748,16
GPT-175B,reduce,8,A5,1,20.348338994836748,30.392460945498346,10.044121950661598,1
GPT-175B,reduce,8,A6,0,0.0,20.348338994836748,20.348338994836748,16
GPT-175B,reduce,8,A6,1,20.348338994836748,30.392460945498346,10.044121950661598,1
GPT-175B,supervisor,8,A1,0,0.0,9.814213183469262,9.814213183469262,1
GPT-175B,supervisor,8,A1,1,9.814213183469262,70.98860555643859,61.17439237296932,16
GPT-175B,supervisor,8,A1,2,70.98860555643859,82.53775382475364,11.54914826831505,1
GPT-175B,supervisor,8,A1,3,82.53775382475364,144.46590073300365,61.928146908250014,16
GPT-175B,supervisor,8,A2,0,0.0,19.927156054409576,19.927156054409576,1
GPT-175B,supervisor,8,A2,1,19.927156054409576,175.15883621854374,155.23168016413416,16
GPT-175B,supervisor,8,A2,2,175.15883621854374,197.7422324428287,22.583396224284968,1
GPT-175B,supervisor,8,A2,3,197.7422324428287,361.10248096628527,163.36024852345656,16
GPT-175B,supervisor,8,A3,0,0.0,11.537116294427873,11.537116294427873,1
GPT-175B,supervisor,8,A3,1,11.537116294427873,32.09543469578624,20.558318401358363,16
GPT-175B,supervisor,8,A3,2,32.09543469578624,42.4507297003261,10.355295004539862,1
GPT-175B,supervisor,8,A3,3,42.4507297003261,63.3560301992815,20.9053004989554,16
GPT-175B,supervisor,8,A3a,0,0.0,11.537116294427873,11.537116294427873,1
GPT-175B,supervisor,8,A3a,1,11.537116294427873,31.987291008616126,20.45017471418825,16
GPT-175B,supervisor,8,A3a,2,31.987291008616126,42.32098631712928,10.333695308513157,1
GPT-175B,supervisor,8,A3a,3,42.32098631712928,63.10378430530342,20.78279798817414,16
GPT-175B,supervisor,8,A3b,0,0.0,11.50402490690017,11.50402490690017,1
GPT-175B,supervisor,8,A3b,1,11.50402490690017,32.1104176560945,20.606392749194328,16
GPT-175B,supervisor,8,A3b,2,32.1104176560945,42.41483380237762,10.304416146283124,1
GPT-175B,supervisor,8,A3b,3,42.41483380237762,63.359176040817694,20.944342238440072,16
GPT-175B,supervisor,8,A4,0,0.0,11.501820134215647,11.501820134215647,1
GPT-175B,supervisor,8,A4,1,11.501820134215647,31.913145524964786,20.41132539074914,16
GPT-175B,supervisor,8,A4,2,31.913145524964786,42.18934718971462,10.27620166474983,1
GPT-175B,supervisor,8,A4,3,42.18934718971462,62.91954712853532,20.730199938820704,16
GPT-175B,supervisor,8,A4b,0,0.0,11.501820134215647,11.501820134215647,1
GPT-175B,supervisor,8,A4b,1,11.501820134215647,31.913145524964786,20.41132539074914,16
GPT-175B,supervisor,8,A4b,2,31.913145524964786,42.18934718971462,10.27620166474983,1
GPT-175B,supervisor,8,A4b,3,42.18934718971462,62.91954712853532,20.730199938820704,16
GPT-175B,supervisor,8,A5,0,0.0,11.501820134215647,11.501820134215647,1
GPT-175B,supervisor,8,A5,1,11.501820134215647,27.96186723512793,16.460047100912284,16
GPT-175B,supervisor,8,A5,2,27.96186723512793,38.043485667858334,10.081618432730405,1
GPT-175B,supervisor,8,A5,3,38.043485667858334,54.79039297735767,16.746907309499335,16
GPT-175B,supervisor,8,A6,0,0.0,11.501820134215647,11.501820134215647,1
GPT-175B,supervisor,8,A6,1,11.501820134215647,27.96186723512793,16.460047100912284,16
GPT-175B,supervisor,8,A6,2,27.96186723512793,38.043485667858334,10.081618432730405,1
GPT-175B,supervisor,8,A6,3,38.043485667858334,54.79039297735767,16.746907309499335,16
LLAMA-33B,C-hi,8,A1,0,0.0,140.23342849239282,140.23342849239282,16
LLAMA-33B,C-hi,8,A1,1,140.23342849239282,333.39444031634537,193.16101182395255,16
LLAMA-33B,C-hi,8,A2,0,0.0,281.6252853675229,281.6252853675229,16
LLAMA-33B,C-hi,8,A2,1,281.6252853675229,627.0150966551969,345.389811287674,16
LLAMA-33B,C-hi,8,A3,0,0.0,33.995639688097484,33.995639688097484,16
LLAMA-33B,C-hi,8,A3,1,33.995639688097484,77.03274458484039,43.0371048967429,16
LLAMA-33B,C-hi,8,A3a,0,0.0,33.995639688097484,33.995639688097484,16
LLAMA-33B,C-hi,8,A3a,1,33.995639688097484,73.29295435830136,39.297314670203875,16
LLAMA-33B,C-hi,8,A3b,0,0.0,33.97070059320962,33.97070059320962,16
LLAMA-33B,C-hi,8,A3b,1,33.97070059320962,76.15982784256855,42.189127249358926,16
LLAMA-33B,C-hi,8,A4,0,0.0,33.94813659914424,33.94813659914424,16
LLAMA-33B,C-hi,8,A4,1,33.94813659914424,72.54932907045574,38.6011924713115,16
LLAMA-33B,C-hi,8,A4b,0,0.0,33.94813659914424,33.94813659914424,16
LLAMA-33B,C-hi,8,A4b,1,33.94813659914424,72.54932907045571,38.60119247131147,16
LLAMA-33B,C-hi,8,A5,0,0.0,20.1004444836727,20.1004444836727,16
LLAMA-33B,C-hi,8,A5,1,20.1004444836727,54.39020819187669,34.28976370820399,16
LLAMA-33B,C-hi,8,A6,0,0.0,20.1004444836727,20.1004444836727,16
LLAMA-33B,C-hi,8,A6,1,20.1004444836727,54.39020819187669,34.28976370820399,16
LLAMA-33B,C-lo,8,A1,0,0.0,27.59730045969932,27.59730045969932,16
LLAMA-33B,C-lo,8,A1,1,27.59730045969932,81.80140910651063,54.204108646811314,16
LLAMA-33B,C-lo,8,A2,0,0.0,79.77268528560869,79.77268528560869,16
LLAMA-33B,C-lo,8,A2,1,79.77268528560869,225.40921662333,145.6365313377213,16
LLAMA-33B,C-lo,8,A3,0,0.0,13.60888978283972,13.60888978283972,16
LLAMA-33B,C-lo,8,A3,1,13.60888978283972,34.52979254618462,20.920902763344905,16
LLAMA-33B,C-lo,8,A3a,0,0.0,13.60888978283972,13.60888978283972,16
LLAMA-33B,C-lo,8,A3a,1,13.60888978283972,33.19806679593993,19.589177013100212,16
LLAMA-33B,C-lo,8,A3b,0,0.0,13.424278234660656,13.424278234660656,16
LLAMA-33B,C-lo,8,A3b,1,13.424278234660656,33.840190943978165,20.41591270931751,16
LLAMA-33B,C-lo,8,A4,0,0.0,13.416674438565154,13.416674438565154,16
LLAMA-33B,C-lo,8,A4,1,13.416674438565154,32.857749634916594,19.44107519635144,16
LLAMA-33B,C-lo,8,A4b,0,0.0,13.416674438565154,13.416674438565154,16
LLAMA-33B,C-lo,8,A4b,1,13.416674438565154,32.85774963491659,19.441075196351434,16
LLAMA-33B,C-lo,8,A5,0,0.0,10.028423924366496,10.028423924366496,16
LLAMA-33B,C-lo,8,A5,1,10.028423924366496,26.731068574494156,16.70264465012766,16
LLAMA-33B,C-lo,8,A6,0,0.0,10.028423924366496,10.028423924366496,16
LLAMA-33B,C-lo,8,A6,1,10.028423924366496,26.731068574494156,16.70264465012766,16
LLAMA-33B,D-hi,8,A2,0,0.0,146.3003676022744,146.3003676022744,16
LLAMA-33B,D-hi,8,A2,1,146.3003676022744,358.112053148236,211.81168554596158,16
LLAMA-33B,D-hi,8,A2,2,358.112053148236,574.020438722211,215.908385573975,16
LLAMA-33B,D-hi,8,A2,3,574.020438722211,794.0255243242792,220.00508560206822,16
LLAMA-33B,D-hi,8,A3,0,0.0,19.728524475933398,19.728524475933398,16
LLAMA-33B,D-hi,8,A3,1,19.728524475933398,47.61270366751838,27.884179191584984,16
LLAMA-33B,D-hi,8,A3,2,47.61270366751838,75.90261132887336,28.28990766135498,16
LLAMA-33B,D-hi,8,A3,3,75.90261132887336,104.5382429798447,28.635631650971334,16
LLAMA-33B,D-hi,8,A3a,0,0.0,19.728524475933398,19.728524475933398,16
LLAMA-33B,D-hi,8,A3a,1,19.728524475933398,45.73464544290721,26.00612096697381,16
LLAMA-33B,D-hi,8,A3a,2,45.73464544290721,72.07865205671499,26.344006613807778,16
LLAMA-33B,D-hi,8,A3a,3,72.07865205671499,98.7645247840256,26.68587272731061,16
LLAMA-33B,D-hi,8,A3b,0,0.0,19.414289795677394,19.414289795677394,16
LLAMA-33B,D-hi,8,A3b,1,19.414289795677394,46.67649907980604,27.262209284128648,16
LLAMA-33B,D-hi,8,A3b,2,46.67649907980604,74.29420698305266,27.617707903246618,16
LLAMA-33B,D-hi,8,A3b,3,74.29420698305266,102.22588643502307,27.93167945197041,16
LLAMA-33B,D-hi,8,A4,0,0.0,19.401700558596048,19.401700558596048,16
LLAMA-33B,D-hi,8,A4,1,19.401700558596048,44.91321465390072,25.51151409530467,16
LLAMA-33B,D-hi,8,A4,2,44.91321465390072,70.76060475611688,25.84739010221616,16
LLAMA-33B,D-hi,8,A4,3,70.76060475611688,96.94384617831564,26.183241422198762,16
LLAMA-33B,D-hi,8,A4b,0,0.0,19.401700558596048,19.401700558596048,16
LLAMA-33B,D-hi,8,A4b,1,19.401700558596048,44.91321465390072,25.51151409530467,16
LLAMA-33B,D-hi,8,A4b,2,44.91321465390072,70.76060475611688,25.84739010221616,16
LLAMA-33B,D-hi,8,A4b,3,70.76060475611688,96.94384617831564,26.183241422198762,16
LLAMA-33B,D-hi,8,A5,0,0.0,12.687045523852225,12.687045523852225,16
LLAMA-33B,D-hi,8,A5,1,12.687045523852225,34.331665764298926,21.6446202404467,16
LLAMA-33B,D-hi,8,A5,2,34.331665764298926,56.31284150194147,21.981175737642545,16
LLAMA-33B,D-hi,8,A5,3,56.31284150194147,78.62992215031815,22.31708064837668,16
LLAMA-33B,D-hi,8,A6,0,0.0,12.687045523852225,12.687045523852225,16
LLAMA-33B,D-hi,8,A6,1,12.687045523852225,34.331665764298926,21.6446202404467,16
LLAMA-33B,D-hi,8,A6,2,34.331665764298926,56.31284150194147,21.981175737642545,16
LLAMA-33B,D-hi,8,A6,3,56.31284150194147,78.62992215031815,22.31708064837668,16
LLAMA-33B,D-lo,8,A1,0,0.0,55.12347450560327,55.12347450560327,16
LLAMA-33B,D-lo,8,A2,0,0.0,146.3003676022744,146.3003676022744,16
LLAMA-33B,D-lo,8,A3,0,0.0,19.72850399593255,19.72850399593255,16
LLAMA-33B,D-lo,8,A3a,0,0.0,19.72850399593255,19.72850399593255,16
LLAMA-33B,D-lo,8,A3b,0,0.0,19.414269315676552,19.414269315676552,16
LLAMA-33B,D-lo,8,A4,0,0.0,19.400715668576474,19.400715668576474,16
LLAMA-33B,D-lo,8,A4b,0,0.0,19.400715668576474,19.400715668576474,16
LLAMA-33B,D-lo,8,A5,0,0.0,12.686052383863233,12.686052383863233,16
LLAMA-33B,D-lo,8,A6,0,0.0,12.686052383863233,12.686052383863233,16
LLAMA-33B,N-hi,8,A2,0,0.0,576.854246543526,576.854246543526,64
LLAMA-33B,N-hi,8,A2,1,576.854246543526,2219.20048784648,1642.346241302954,64
LLAMA-33B,N-lo,8,A1,0,0.0,15.610736365088169,15.610736365088169,4
LLAMA-33B,N-lo,8,A1,1,15.610736365088169,33.19017507314118,17.579438708053008,4
LLAMA-33B,N-lo,8,A2,0,0.0,40.49317389672384,40.49317389672384,4
LLAMA-33B,N-lo,8,A2,1,40.49317389672384,82.91858263070226,42.42540873397842,4
LLAMA-33B,N-lo,8,A3,0,0.0,8.759419206890449,8.759419206890449,4
LLAMA-33B,N-lo,8,A3,1,8.759419206890449,16.24644367195289,7.48702446506244,4
LLAMA-33B,N-lo,8,A3a,0,0.0,8.759419206890449,8.759419206890449,4
LLAMA-33B,N-lo,8,A3a,1,8.759419206890449,15.990246859251066,7.230827652360617,4
LLAMA-33B,N-lo,8,A3b,0,0.0,8.647196792764115,8.647196792764115,4
LLAMA-33B,N-lo,8,A3b,1,8.647196792764115,16.010549878878006,7.363353086113891,4
LLAMA-33B,N-lo,8,A4,0,0.0,8.643486583500897,8.643486583500897,4
LLAMA-33B,N-lo,8,A4,1,8.643486583500897,15.736834852070432,7.093348268569535,4
LLAMA-33B,N-lo,8,A4b,0,0.0,8.643486583500897,8.643486583500897,4
LLAMA-33B,N-lo,8,A4b,1,8.643486583500897,15.736834852070432,7.093348268569535,4
LLAMA-33B,N-lo,8,A5,0,0.0,7.2261546487717885,7.2261546487717885,4
LLAMA-33B,N-lo,8,A5,1,7.2261546487717885,13.756702817841969,6.5305481690701805,4
