model,workload,baseline,variant,metric,reduction_percent
LLAMA-7B,KVChime-CB-2,F0,F4,TBT_ms,25.946540481572644
LLAMA-7B,KVChime-CB-2,F0,F4,E2E_ms,68.92728187921948
LLAMA-7B,KVChime-CB-2,F0,F4,TTFT_energy_mJ,77.91099095358796
LLAMA-7B,KVChime-CB-2,F0,F4,TBT_energy_mJ,10.243029248179115
LLAMA-7B,KVChime-CB-2,F0,F4,E2E_energy_mJ,68.29611023084058
LLAMA-7B,KVChime-CB-2,F0,F4,simultaneous_peak_KV_GiB,-120.52026247476206
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TTFT_ms,94.95811149801673
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TBT_ms,1.7985612998927536e-11
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,E2E_ms,73.84687888959598
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TTFT_energy_mJ,95.7991630587942
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,TBT_energy_mJ,8.057998712729386e-11
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,E2E_energy_mJ,77.64775520026187
LLAMA-7B,KVChime-EPIC-long-4000,F0,F1,simultaneous_peak_KV_GiB,-99.62898837496907
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TTFT_ms,-33.386533394727344
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TBT_ms,29.35091139349121
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,E2E_ms,19.945092447283763
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TTFT_energy_mJ,-1.6422047725163536
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,TBT_energy_mJ,12.041750515097016
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,E2E_energy_mJ,9.957290755316095
LLAMA-7B,KVChime-EPIC-long-4000,F1,F2,simultaneous_peak_KV_GiB,-1.3737455086110684
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TTFT_ms,25.029913099193777
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TBT_ms,-0.41983080379992543
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,E2E_ms,5.93753541795291
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TTFT_energy_mJ,1.5731544401547781
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,TBT_energy_mJ,-0.10151250348298113
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,E2E_energy_mJ,0.18644993340931615
LLAMA-7B,KVChime-EPIC-long-4000,F2,F3,simultaneous_peak_KV_GiB,47.93522267206478
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TTFT_ms,28.437925661766094
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TBT_ms,2.7755575615628914e-13
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,E2E_ms,5.661915567721854
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TTFT_energy_mJ,7.535175025756158
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,TBT_energy_mJ,-1.1102230246251565e-13
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,E2E_energy_mJ,1.2776879566270716
LLAMA-7B,KVChime-EPIC-long-4000,F3,F4,simultaneous_peak_KV_GiB,2.6020423134481607
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TTFT_ms,96.39192000215986
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TBT_ms,29.054304756930136
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,E2E_ms,81.42131837253139
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TTFT_energy_mJ,96.11402484057345
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,TBT_energy_mJ,11.952461894095933
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,E2E_energy_mJ,80.16763443091209
LLAMA-7B,KVChime-EPIC-long-4000,F0,F4,simultaneous_peak_KV_GiB,-2.6225884244373
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TTFT_ms,96.33910258860223
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TBT_ms,-5.282441151166495e-11
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,E2E_ms,85.33772728150622
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TTFT_energy_mJ,96.93803382644994
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,TBT_energy_mJ,-1.4910295220715852e-10
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,E2E_energy_mJ,87.37462656584671
LLAMA-7B,KVChime-EPIC-long-8000,F0,F1,simultaneous_peak_KV_GiB,-99.81361829025846
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,TTFT_ms,-31.399300038674372
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,TBT_ms,44.32453760186904
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,E2E_ms,27.57675335516764
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,TTFT_energy_mJ,-1.844940033422482
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,TBT_energy_mJ,21.04264493553396
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,E2E_energy_mJ,16.039451990784727
LLAMA-7B,KVChime-EPIC-long-8000,F1,F2,simultaneous_peak_KV_GiB,-1.4677647534357297
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,TTFT_ms,23.896093837206667
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,TBT_ms,-0.6673288497034857
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,E2E_ms,9.189306396494523
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,TTFT_energy_mJ,1.7695738162834984
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,TBT_energy_mJ,-0.1672508547281515
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,E2E_energy_mJ,0.34632167108635814
LLAMA-7B,KVChime-EPIC-long-8000,F2,F3,simultaneous_peak_KV_GiB,48.09085598827912
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,TTFT_ms,20.398616923002656
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,TBT_ms,-2.220446049250313e-14
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,E2E_ms,6.859784639470734
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,TTFT_energy_mJ,9.9779609431909
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,TBT_energy_mJ,3.4416913763379853e-13
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,E2E_energy_mJ,2.6079902798595844
LLAMA-7B,KVChime-EPIC-long-8000,F3,F4,simultaneous_peak_KV_GiB,2.7862943244748917
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,TTFT_ms,97.08587502749738
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,TBT_ms,43.95299917905088
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,E2E_ms,91.01840405623537
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,TTFT_energy_mJ,97.24237809974892
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,TBT_energy_mJ,20.910588084200256
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,E2E_energy_mJ,89.71187674714943
LLAMA-7B,KVChime-EPIC-long-8000,F0,F4,simultaneous_peak_KV_GiB,-2.3115214960238495
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,TTFT_ms,97.11463888358573
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,TBT_ms,7.37188088351104e-12
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,E2E_ms,91.7176393249511
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,TTFT_energy_mJ,97.51456350641764
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,TBT_energy_mJ,-2.731592729787735e-10
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,E2E_energy_mJ,92.87592551730113
LLAMA-7B,KVChime-EPIC-long-16000,F0,F1,simultaneous_peak_KV_GiB,-99.90660024906602
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,TTFT_ms,-24.517295046348696
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,TBT_ms,59.739880597651776
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,E2E_ms,32.01810130108813
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,TTFT_energy_mJ,-1.6624260171902883
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,TBT_energy_mJ,33.714197859896665
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,E2E_energy_mJ,21.959153372799367
LLAMA-7B,KVChime-EPIC-long-16000,F1,F2,simultaneous_peak_KV_GiB,-1.5150482790842634
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,TTFT_ms,19.68987122409196
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,TBT_ms,-1.1769524266716402
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,E2E_ms,11.398017000707839
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,TTFT_energy_mJ,1.5999784226978453
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,TBT_energy_mJ,-0.288733380287165
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,E2E_energy_mJ,0.5288124055388921
LLAMA-7B,KVChime-EPIC-long-16000,F2,F3,simultaneous_peak_KV_GiB,48.169139679267445
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,TTFT_ms,5.841795585114418
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,TBT_ms,-2.042810365310288e-12
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,E2E_ms,3.1909781368889334
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,TTFT_energy_mJ,11.79962661449353
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,TBT_energy_mJ,1.6653345369377348e-12
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,E2E_energy_mJ,5.0525723990218925
LLAMA-7B,KVChime-EPIC-long-16000,F3,F4,simultaneous_peak_KV_GiB,2.879252326766646
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,TTFT_ms,97.28319578189902
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,TBT_ms,59.266038145367105
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,E2E_ms,95.170449595087
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,TTFT_energy_mJ,97.80704986043084
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,TBT_energy_mJ,33.5228086225466
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,E2E_energy_mJ,94.7491340703743
LLAMA-7B,KVChime-EPIC-long-16000,F0,F4,simultaneous_peak_KV_GiB,-2.154615504358648
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,TTFT_ms,96.31791959780261
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,TBT_ms,-5.0603965462414635e-11
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,E2E_ms,85.32174697477849
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,TTFT_energy_mJ,96.91802945434829
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,TBT_energy_mJ,-1.4346301924206273e-10
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,E2E_energy_mJ,87.35859792546744
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F0,F1,simultaneous_peak_KV_GiB,-99.8136645962733
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,TTFT_ms,-31.213759610005255
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,TBT_ms,44.33044891999647
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,E2E_ms,27.54346328570495
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,TTFT_energy_mJ,-1.832882757780574
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,TBT_energy_mJ,21.046529165317175
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,E2E_energy_mJ,16.018715474533206
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F1,F2,simultaneous_peak_KV_GiB,-1.467788312092022
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,TTFT_ms,23.788480493798115
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,TBT_ms,-0.6693553331669433
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,E2E_ms,9.172826319205784
LLAMA-7B,KVChime-EPIC-shared-readers-B1,F2,F3,TTFT_energy_mJ,1.7577795962438914
