model,GPUs,gqa_size,q,cached,n,fixed_GPU_us,fixed_PIM_us,algorithm_us,oracle_us,algorithm_choice,oracle_choice,estimated_PIM_us,regret_percent
LLAMA-65B,4,1,128,4096,4224,360.2647850325237,198.89204768178206,198.89204768178206,198.89204768178206,PIM,PIM,192.62458968178203,0.0
LLAMA-65B,4,1,256,4096,4352,539.1247934559409,406.75475653619725,406.75475653619725,406.75475653619725,PIM,PIM,396.59319053619726,0.0
LLAMA-65B,4,1,512,4096,4608,992.2429296673472,880.84768509626,880.84768509626,880.84768509626,PIM,PIM,838.5624257629275,0.0
LLAMA-65B,4,1,768,4096,4864,1505.8065764177438,1358.1426476801898,1358.1426476801898,1358.1426476801898,PIM,PIM,1325.9077056801912,0.0
LLAMA-65B,4,1,1024,4096,5120,2068.281046668179,1918.0496602879814,1918.0496602879814,1918.0496602879814,PIM,PIM,1858.6290302879872,0.0
LLAMA-7B,1,1,8,0,8,0.43690666666666667,1.2821312259347653,0.43690666666666667,0.43690666666666667,GPU,GPU,0.8768682259347653,0.0
LLAMA-7B,1,1,32,0,32,1.7476266666666667,5.824985614956245,1.7476266666666667,1.7476266666666667,GPU,GPU,3.670503948289579,0.0
LLAMA-7B,1,1,64,0,64,3.7262501754878565,12.238349793158314,3.7262501754878565,3.7262501754878565,GPU,GPU,8.099591793158314,0.0
LLAMA-7B,1,1,128,0,128,9.936667134634284,26.244235839299915,9.936667134634284,9.936667134634284,GPU,GPU,19.233519172633258,0.0
LLAMA-7B,1,1,256,0,256,29.810001403902852,59.710878690533015,29.810001403902852,29.810001403902852,GPU,GPU,50.60438069053302,0.0
LLAMA-7B,1,1,512,0,512,99.36667134634283,162.58863942879861,99.36667134634283,99.36667134634283,GPU,GPU,149.75813076213208,0.0
LLAMA-7B,1,1,768,0,768,220.09870575017013,306.2232362147971,220.09870575017013,220.09870575017013,GPU,GPU,297.46125021479713,0.0
LLAMA-7B,1,1,1024,0,1024,391.28658800030246,493.91214104852753,391.28658800030246,391.28658800030246,GPU,GPU,493.7137390485283,0.0
LLAMA-7B,1,1,8,1024,1032,78.61148278721512,4.021568812251393,4.021568812251393,4.021568812251393,PIM,PIM,3.860193478918059,0.0
LLAMA-7B,1,1,32,1024,1056,87.2866589770228,16.56326062688942,16.56326062688942,16.56326062688942,PIM,PIM,15.603804960222755,0.0
LLAMA-7B,1,1,64,1024,1088,99.39697204735833,34.90069781702466,34.90069781702466,34.90069781702466,PIM,PIM,31.966193817024667,0.0
LLAMA-7B,1,1,128,1024,1152,125.48072327577331,72.75472988703261,72.75472988703261,72.75472988703261,PIM,PIM,66.96672322036596,0.0
LLAMA-7B,1,1,256,1024,1280,185.10072608357905,153.91766478599845,153.91766478599845,153.91766478599845,PIM,PIM,146.0707887859984,0.0
LLAMA-7B,1,1,512,1024,1536,349.38899433356016,374.13834561972936,374.13834561972936,349.38899433356016,PIM,GPU,340.69094695306285,7.083609297246807
LLAMA-7B,1,1,768,1024,1792,569.4877000837303,626.3554145011941,569.4877000837303,569.4877000837303,GPU,GPU,583.8604745011934,0.0
LLAMA-7B,1,1,1024,1024,2048,838.4972293339382,883.1555594303904,838.4972293339382,838.4972293339382,GPU,GPU,875.5793714303898,0.0
LLAMA-7B,1,1,8,4096,4104,313.4561459459966,13.316056571201273,13.316056571201273,13.316056571201273,PIM,PIM,12.963200237867941,0.0
LLAMA-7B,1,1,32,4096,4128,344.4888231887313,53.34394899602228,53.34394899602228,53.34394899602228,PIM,PIM,52.015831996022285,0.0
LLAMA-7B,1,1,64,4096,4160,386.4091376629697,107.08095055529037,107.08095055529037,107.08095055529037,PIM,PIM,104.79024788862372,0.0
LLAMA-7B,1,1,128,4096,4224,472.1128916991904,218.4597440302307,218.4597440302307,218.4597440302307,PIM,PIM,212.61483136356406,0.0
LLAMA-7B,1,1,256,4096,4352,650.9729001226076,448.21144307239473,448.21144307239473,448.21144307239473,PIM,PIM,437.36700507239465,0.0
LLAMA-7B,1,1,512,4096,4608,1104.0910363340138,966.0525961925224,966.0525961925224,966.0525961925224,PIM,PIM,923.2833795258554,0.0
LLAMA-7B,1,1,768,4096,4864,1617.6546830844106,1489.2396733603805,1489.2396733603805,1489.2396733603805,PIM,PIM,1457.7491233603819,0.0
LLAMA-7B,1,1,1024,4096,5120,2180.1291533348453,2100.2832985759756,2100.2832985759756,2100.2832985759756,PIM,PIM,2040.7642365759748,0.0
LLAMA3.1-8B,1,4,8,0,8,0.8248210023866349,2.842317559268099,2.842317559268099,0.8248210023866349,PIM,GPU,0.5491882259347654,244.59810686728395
LLAMA3.1-8B,1,4,32,0,32,3.8815105994665173,11.942805614956246,11.942805614956246,3.8815105994665173,PIM,GPU,2.897955781622914,207.68447770302853
LLAMA3.1-8B,1,4,64,0,64,9.315625438719643,25.35987779315833,25.35987779315833,9.315625438719643,PIM,GPU,8.518777793158318,172.22947036655265
LLAMA3.1-8B,1,4,128,0,128,24.841667836585707,56.030843839299955,24.841667836585707,24.841667836585707,GPU,GPU,27.929020505966594,0.0
LLAMA3.1-8B,1,4,256,0,256,74.52500350975714,135.67302269053295,74.52500350975714,74.52500350975714,GPU,GPU,99.42390069053303,0.0
