model,tp,heads_per_HBM,n1,n2,q,scan1_us,scan2_us,a_us_per_token,b_us
GPT-13B,1,8,1024,4096,8,2.592299,10.512229999999999,0.0025781025390624996,-0.04767799999999944
LLAMA-65B,4,4,1024,4096,8,2.592299,10.513768,0.002578603190104167,-0.048190666666666715
LLAMA-7B,1,7,1024,4096,8,2.592299,10.522227,0.0025813567708333333,-0.05101033333333316
LLAMA3.1-8B,1,2,1024,4096,8,2.584609,10.459938,0.0025635836588541665,-0.04050066666666652
