case_id,variant,phase,layer,event,device,step,start_s,end_s,duration_s,energy_J
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,qkv,GPU,0,0.004217545135376833,0.004302842759992217,8.529762461538462e-05,0.01168565075968
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_attention,3,attention_service,GPU,0,0.004302842759992217,0.005349054729435804,0.0010462119694435866,0.02610479285376
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,proj,GPU,0,0.005349054729435804,0.005377487270974266,2.843254153846154e-05,0.00408576589824
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,comm_g2g,GPU,0,0.005377487270974266,0.005377487270974266,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,norm1,GPU,0,0.005377487270974266,0.00538778664941818,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,ff1,GPU,0,0.00538778664941818,0.005457107893550048,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,ff2,GPU,0,0.005457107893550048,0.0055264291376819165,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,glu,GPU,0,0.0055264291376819165,0.005537274024622632,1.0844886940715989e-05,0.00040298151935999995
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,ff3,GPU,0,0.005537274024622632,0.0056130941353918625,7.582011076923077e-05,0.010812210544639999
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,comm_g2g,GPU,0,0.0056130941353918625,0.0056130941353918625,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,3,norm2,GPU,0,0.0056130941353918625,0.005623393513835777,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,qkv,GPU,0,0.005623393513835777,0.005708691138451161,8.529762461538462e-05,0.01168565075968
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_attention,4,attention_service,GPU,0,0.005708691138451161,0.006754903107894748,0.0010462119694435866,0.02610479285376
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,proj,GPU,0,0.006754903107894748,0.00678333564943321,2.843254153846154e-05,0.00408576589824
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,comm_g2g,GPU,0,0.00678333564943321,0.00678333564943321,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,norm1,GPU,0,0.00678333564943321,0.006793635027877124,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,ff1,GPU,0,0.006793635027877124,0.0068629562720089925,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,ff2,GPU,0,0.0068629562720089925,0.006932277516140861,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,glu,GPU,0,0.006932277516140861,0.006943122403081576,1.0844886940715989e-05,0.00040298151935999995
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,ff3,GPU,0,0.006943122403081576,0.007018942513850807,7.582011076923077e-05,0.010812210544639999
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,comm_g2g,GPU,0,0.007018942513850807,0.007018942513850807,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,4,norm2,GPU,0,0.007018942513850807,0.007029241892294721,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,qkv,GPU,0,0.007029241892294721,0.0071145395169101055,8.529762461538462e-05,0.01168565075968
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_attention,5,attention_service,GPU,0,0.0071145395169101055,0.008160751486353693,0.0010462119694435866,0.02610479285376
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,proj,GPU,0,0.008160751486353693,0.008189184027892154,2.843254153846154e-05,0.00408576589824
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,comm_g2g,GPU,0,0.008189184027892154,0.008189184027892154,0.0,1.60169984e-05
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,norm1,GPU,0,0.008189184027892154,0.008199483406336068,1.0299378443914082e-05,0.00015062523904
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,ff1,GPU,0,0.008199483406336068,0.008268804650467936,6.932124413186813e-05,0.010636269977600001
Fugue-asplos-EPIC-shared-readers-B1,F1,prefill_common,5,ff2,GPU,0,0.008268804650467936,0.008338125894599804,6.932124413186813e-05,0.010636269977600001
