model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
GPT-13B,k-hi_k32,A6,10.121053622146443,2071806976243.8296,master-diff,dynamic,30041719296,12327272
GPT-175B,k-hi_k32,A5,39.666689643589464,18917212572186.004,master-diff,pim,43260068352,28800512
LLAMA-33B,k-hi_k32,A5,23.79727336671079,4982180954428.526,master-diff,pim,58581336576,19535372
LLAMA-33B,k-hi_k32,A6,23.79727336671079,4982180954428.526,master-diff,dynamic,58581336576,19535372
LLAMA-65B,k-hi_k32,A5,21.32693307567012,7347155456056.041,master-diff,pim,24033378816,23430832
LLAMA-7B,k-hi_k32,A5,20.355781730813668,1642225671475.7178,master-diff,pim,38453395968,10815168
LLAMA3-8B,k-hi_k32,A5,20.797068105548934,1721447543663.0273,master-diff,pim,38453395968,17253952
GPT-13B,k-lo_k2,A5,8.401686159065578,1662009574372.5547,master-diff,pim,20776567296,10465712
GPT-13B,k-lo_k2,A6,8.401686159065578,1662009574372.5547,master-diff,dynamic,20776567296,10465712
GPT-175B,k-lo_k2,A5,35.27970056706693,16696147032015.705,master-diff,pim,29918249472,24332768
GPT-175B,k-lo_k2,A6,35.27970056706693,16696147032015.705,master-diff,dynamic,29918249472,24332768
LLAMA-33B,k-lo_k2,A5,19.714491694160888,4024393640100.16,master-diff,pim,40514290176,16743032
LLAMA-33B,k-lo_k2,A6,19.714491694160888,4024393640100.16,master-diff,dynamic,40514290176,16743032
LLAMA-65B,k-lo_k2,A5,19.261120808864842,6435610432567.536,master-diff,pim,16621257216,19707712
LLAMA-7B,k-lo_k2,A5,12.558428272223846,1218557570369.913,master-diff,pim,26594001408,9325920
LLAMA3-8B,k-lo_k2,A5,13.380451442464645,1311489875117.0764,master-diff,pim,26594001408,13453792
GPT-13B,pipeline_k8,A5,6.7188879580728695,1013282044399.9332,master-diff,pim,3588097728,1699646
GPT-13B,pipeline_k8,A6,6.7188879580728695,1013282044399.9332,master-diff,dynamic,3588097728,1699646
GPT-175B,pipeline_k8,A5,29.867098787934694,12850602063530.732,master-diff,pim,5166859968,4079142
GPT-175B,pipeline_k8,A6,29.867098787934694,12850602063530.732,master-diff,dynamic,5166859968,4079142
LLAMA-33B,pipeline_k8,A5,15.66835964751268,2535153409143.0444,master-diff,pim,6996788928,2611146
LLAMA-33B,pipeline_k8,A6,15.66835964751268,2535153409143.0444,master-diff,dynamic,6996788928,2611146
LLAMA-65B,pipeline_k8,A5,16.748841056026794,4797649300092.807,master-diff,pim,2870478528,3481526
LLAMA-65B,pipeline_k8,A6,16.748841056026794,4797649300092.807,master-diff,dynamic,2870478528,3481526
LLAMA-7B,pipeline_k8,A5,6.838965287984565,587901758400.6697,master-diff,pim,4592764608,1392614
LLAMA3-8B,pipeline_k8,A5,7.475774786879281,610790545125.8834,master-diff,pim,4592764608,1554182
GPT-13B,reduce_k8,A5,6.057013302559125,1066544666871.7664,master-diff,pim,12970394656,5240962
GPT-13B,reduce_k8,A6,6.057013302559125,1066544666871.7664,master-diff,dynamic,12970394656,5240962
GPT-175B,reduce_k8,A5,25.794453042819818,11932767162345.46,master-diff,pim,18677367840,11793410
GPT-175B,reduce_k8,A6,25.794453042819818,11932767162345.46,master-diff,dynamic,18677367840,11793410
LLAMA-33B,reduce_k8,A5,14.152026165125934,2612961264275.6777,master-diff,pim,25292268576,8889662
LLAMA-33B,reduce_k8,A6,14.152026165125934,2612961264275.6777,master-diff,dynamic,25292268576,8889662
LLAMA-65B,reduce_k8,A5,14.18481385875978,4543194630345.928,master-diff,pim,10376315936,9236562
LLAMA-65B,reduce_k8,A6,14.18481385875978,4543194630345.928,master-diff,dynamic,10376315936,9236562
LLAMA-7B,reduce_k8,A5,7.892501809564851,707745705406.1147,master-diff,pim,16602104864,5137442
LLAMA3-8B,reduce_k8,A5,8.536132882141644,751067238797.1918,master-diff,pim,16602104864,7520898
GPT-13B,supervisor_k8,A5,11.301813855342477,2015059607844.2346,master-diff,pim,21215661088,12051786
GPT-13B,supervisor_k8,A6,11.301813855342477,2015059607844.2346,master-diff,dynamic,21215661088,12051786
GPT-175B,supervisor_k8,A5,48.785824554005316,22471148353059.926,master-diff,pim,30550543392,27741474
GPT-175B,supervisor_k8,A6,48.785824554005316,22471148353059.926,master-diff,dynamic,30550543392,27741474
LLAMA-33B,supervisor_k8,A5,26.52229356885336,4939940288847.611,master-diff,pim,41370520608,18910086
LLAMA-65B,supervisor_k8,A5,26.851491720605523,8555683488974.489,master-diff,pim,16972532768,20624626
LLAMA-7B,supervisor_k8,A5,14.696677970083998,1344641764044.5964,master-diff,pim,27156040736,10086946
LLAMA3-8B,supervisor_k8,A5,15.767142782931906,1440821934633.4722,master-diff,pim,27156040736,14246530
