frequency_ghz,compute_interval_tck,effective_interval_tck
0.3250975292587776,32,32
0.3288903337667967,32,32
0.33268313827481577,32,32
0.3355845463316414,31,31
0.3364759427828348,31,31
0.34026874729085393,31,31
0.344061551798873,31,31
0.3467706978760295,30,30
0.34785435630689204,30,30
0.35164716081491115,30,30
0.3554399653229302,30,30
0.3587283081476167,29,29
0.35923276983094926,29,29
0.36302557433896837,29,29
0.3668183788469874,29,29
0.3706111833550065,29,29
0.37154003343860303,28,28
0.3744039878630256,28,28
0.37819679237104464,28,28
0.3819895968790637,28,28
0.38530077541781055,27,27
0.3857824013870828,27,27
0.38957520589510186,27,27
0.3933680104031209,27,27
0.39716081491114,27,27
0.40012003601080326,26,26
0.4009536194191591,26,26
0.40474642392717813,26,26
0.40853922843519724,26,26
0.4123320329432163,26,26
0.41612483745123535,25,25
0.41991764195925446,25,25
0.4237104464672735,25,25
0.42750325097529257,25,25
0.4312960554833117,25,25
0.43346337234503685,24,24
0.43508885999133073,24,24
0.4388816644993498,24,24
0.4426744690073689,24,24
0.44646727351538795,24,24
0.450260078023407,24,24
0.4523096059252558,23,23
0.4540528825314261,23,23
0.45784568703944517,23,23
0.4616384915474642,23,23
0.46543129605548333,23,23
0.4692241005635024,23,23
0.4728691334673129,22,22
0.47301690507152144,22,22
0.47680970957954055,22,22
0.4806025140875596,22,22
0.48439531859557866,22,22
0.48818812310359777,22,22
0.4919809276116168,22,22
0.49538671125147066,21,21
0.4957737321196359,21,21
0.499566536627655,21,21
0.503359341135674,21,21
0.5071521456436932,21,21
0.5109449501517122,21,21
0.5147377546597313,21,21
0.5185305591677504,21,21
0.5201560468140443,20,20
0.5223233636757694,20,20
0.5261161681837885,20,20
0.5299089726918076,20,20
0.5337017771998266,20,20
0.5374945817078457,20,20
0.5412873862158648,20,20
0.5450801907238838,20,20
0.5475326808568887,19,19
0.5488729952319029,19,19
0.552665799739922,19,19
0.556458604247941,19,19
0.5602514087559601,19,19
0.5640442132639792,19,19
0.5678370177719982,19,19
0.5716298222800174,19,19
0.5754226267880365,19,19
0.5779511631267158,18,18
0.5792154312960555,18,18
0.5830082358040746,18,18
0.5868010403120937,18,18
0.5905938448201127,18,18
0.5943866493281318,18,18
0.5981794538361509,18,18
0.6019722583441699,18,18
0.605765062852189,18,18
0.6095578673602081,18,18
0.6119482903694637,17,17
0.6133506718682271,17,17
0.6171434763762462,17,17
0.6209362808842653,17,17
0.6247290853922843,17,17
0.6285218899003034,17,17
0.6323146944083224,17,17
0.6361074989163416,17,17
0.6399003034243607,17,17
0.6436931079323797,17,17
0.6474859124403988,17,17
0.6501950585175552,16,16
0.6512787169484179,16,16
0.6550715214564369,16,16
0.658864325964456,16,16
0.6626571304724751,16,16
0.6664499349804941,16,16
0.6702427394885132,16,16
0.6740355439965323,16,16
0.6778283485045513,16,16
0.6816211530125704,16,16
0.6854139575205895,16,16
0.6892067620286085,16,16
0.6929995665366276,16,16
0.693541395752059,15,15
0.6967923710446468,15,15
0.7005851755526658,15,15
0.7043779800606849,15,15
0.708170784568704,15,15
0.711963589076723,15,15
0.7157563935847421,15,15
0.7195491980927612,15,15
0.7233420026007802,15,15
0.7271348071087993,15,15
0.7309276116168184,15,15
0.7347204161248374,15,15
0.7385132206328565,15,15
0.7423060251408756,15,15
0.7430800668772061,14,14
0.7460988296488946,14,14
0.7498916341569137,14,14
0.7536844386649328,14,14
0.7574772431729518,14,14
0.761270047680971,14,14
0.7650628521889901,14,14
0.7688556566970091,14,14
0.7726484612050282,14,14
0.7764412657130473,14,14
0.7802340702210663,14,14
0.7840268747290854,14,14
0.7878196792371045,14,14
0.7916124837451235,14,14
0.7954052882531426,14,14
0.7991980927611617,14,14
0.8002400720216065,13,13
0.8029908972691807,13,13
0.8067837017771998,13,13
0.8105765062852189,13,13
0.8143693107932379,13,13
0.818162115301257,13,13
0.8219549198092762,13,13
0.8257477243172952,13,13
0.8295405288253143,13,13
0.8333333333333334,13,13
0.8371261378413524,13,13
0.8409189423493715,13,13
0.8447117468573906,13,13
0.8485045513654096,13,13
0.8522973558734287,13,13
0.8560901603814478,13,13
0.8598829648894668,13,13
0.8636757693974859,13,13
0.8669267446900737,12,12
0.867468573905505,12,12
0.871261378413524,12,12
0.8750541829215431,12,12
0.8788469874295622,12,12
0.8826397919375812,12,12
0.8864325964456004,12,12
0.8902254009536195,12,12
0.8940182054616385,12,12
0.8978110099696576,12,12
0.9016038144776767,12,12
0.9053966189856957,12,12
0.9091894234937148,12,12
0.9129822280017339,12,12
0.9167750325097529,12,12
0.920567837017772,12,12
0.9243606415257911,12,12
0.9281534460338101,12,12
0.9319462505418292,12,12
0.9357390550498483,12,12
0.9395318595578673,12,12
0.9433246640658864,12,12
0.9457382669346258,11,11
0.9471174685739056,11,11
0.9509102730819246,11,11
0.9547030775899437,11,11
0.9584958820979628,11,11
0.9622886866059818,11,11
0.9660814911140009,11,11
0.96987429562202,11,11
0.973667100130039,11,11
0.9774599046380581,11,11
0.9812527091460772,11,11
0.9850455136540962,11,11
0.9888383181621153,11,11
0.9926311226701344,11,11
0.9964239271781534,11,11
1.0002167316861725,11,11
1.0040095361941916,11,11
1.0078023407022108,11,11
1.0115951452102296,11,11
1.0153879497182488,11,11
1.0191807542262679,11,11
1.022973558734287,11,11
1.026766363242306,11,11
1.0305591677503252,11,11
1.034351972258344,11,11
1.0381447767663632,11,11
1.0403120936280885,10,10
1.0419375812743823,10,10
1.0457303857824014,10,10
1.0495231902904205,10,10
1.0533159947984396,10,10
1.0571087993064585,10,10
1.0609016038144776,10,10
1.0646944083224967,10,10
1.0684872128305158,10,10
1.072280017338535,10,10
1.076072821846554,10,10
1.079865626354573,10,10
1.083658430862592,10,10
1.0874512353706112,10,10
1.0912440398786303,10,10
1.0950368443866494,10,10
1.0988296488946685,10,10
1.1026224534026874,10,10
1.1064152579107065,10,10
1.1102080624187256,10,10
1.1140008669267447,10,10
1.1177936714347638,10,10
1.121586475942783,10,10
1.1253792804508018,10,10
1.129172084958821,10,10
1.13296488946684,10,10
1.1367576939748592,10,10
1.1405504984828783,10,10
1.1443433029908974,10,10
1.1481361074989163,10,10
1.1519289120069354,10,10
1.1557217165149545,10,10
1.1559023262534316,9,9
1.1595145210229736,9,9
1.1633073255309927,9,9
1.1671001300390118,9,9
1.1708929345470307,9,9
1.1746857390550498,9,9
1.178478543563069,9,9
1.182271348071088,9,9
1.1860641525791071,9,9
1.1898569570871262,9,9
1.1936497615951451,9,9
1.1974425661031642,9,9
1.2012353706111834,9,9
1.2050281751192025,9,9
1.2088209796272216,9,9
1.2126137841352407,9,9
1.2164065886432596,9,9
1.2201993931512787,9,9
1.2239921976592978,9,9
1.227785002167317,9,9
1.231577806675336,9,9
1.2353706111833551,9,9
1.239163415691374,9,9
1.2429562201993931,9,9
1.2467490247074122,9,9
1.2505418292154313,9,9
1.2543346337234504,9,9
1.2581274382314693,9,9
1.2619202427394884,9,9
1.2657130472475075,9,9
1.2695058517555267,9,9
1.2732986562635458,9,9
1.2770914607715649,9,9
1.2808842652795838,9,9
1.2846770697876029,9,9
1.288469874295622,9,9
1.292262678803641,9,9
1.2960554833116602,9,9
1.2998482878196793,9,9
1.3003901170351104,8,8
1.3036410923276982,8,8
1.3074338968357173,8,8
1.3112267013437364,8,8
1.3150195058517555,8,8
1.3188123103597746,8,8
1.3226051148677938,8,8
1.3263979193758126,8,8
1.3301907238838317,8,8
1.3339835283918509,8,8
1.33777633289987,8,8
1.341569137407889,8,8
1.3453619419159082,8,8
1.349154746423927,8,8
1.3529475509319462,8,8
1.3567403554399653,8,8
