sample,frequency_ghz,effective_query_MAC_per_ns,compute_query_MAC_per_ns,power_query_MAC_per_ns
0,0.3250975292587776,0.3250975292587776,0.3250975292587776,1.3003901170351104
1,0.3288903337667967,0.3250975292587776,0.3250975292587776,1.3003901170351104
2,0.33268313827481577,0.3250975292587776,0.3250975292587776,1.3003901170351104
3,0.3355845463316414,0.3355845463316414,0.3355845463316414,1.3003901170351104
4,0.3364759427828348,0.3355845463316414,0.3355845463316414,1.3003901170351104
5,0.34026874729085393,0.3355845463316414,0.3355845463316414,1.3003901170351104
6,0.344061551798873,0.3355845463316414,0.3355845463316414,1.3003901170351104
7,0.3467706978760295,0.3467706978760295,0.3467706978760295,1.3003901170351104
8,0.34785435630689204,0.3467706978760295,0.3467706978760295,1.3003901170351104
9,0.35164716081491115,0.3467706978760295,0.3467706978760295,1.3003901170351104
10,0.3554399653229302,0.3467706978760295,0.3467706978760295,1.3003901170351104
11,0.3587283081476167,0.3587283081476167,0.3587283081476167,1.3003901170351104
12,0.35923276983094926,0.3587283081476167,0.3587283081476167,1.3003901170351104
13,0.36302557433896837,0.3587283081476167,0.3587283081476167,1.3003901170351104
14,0.3668183788469874,0.3587283081476167,0.3587283081476167,1.3003901170351104
15,0.3706111833550065,0.3587283081476167,0.3587283081476167,1.3003901170351104
16,0.37154003343860303,0.37154003343860303,0.37154003343860303,1.3003901170351104
17,0.3744039878630256,0.37154003343860303,0.37154003343860303,1.3003901170351104
18,0.37819679237104464,0.37154003343860303,0.37154003343860303,1.3003901170351104
19,0.3819895968790637,0.37154003343860303,0.37154003343860303,1.3003901170351104
20,0.38530077541781055,0.38530077541781055,0.3853007754178105,1.3003901170351104
21,0.3857824013870828,0.38530077541781055,0.3853007754178105,1.3003901170351104
22,0.38957520589510186,0.38530077541781055,0.3853007754178105,1.3003901170351104
23,0.3933680104031209,0.38530077541781055,0.3853007754178105,1.3003901170351104
24,0.39716081491114,0.38530077541781055,0.3853007754178105,1.3003901170351104
25,0.40012003601080326,0.40012003601080326,0.40012003601080326,1.3003901170351104
26,0.4009536194191591,0.40012003601080326,0.40012003601080326,1.3003901170351104
27,0.40474642392717813,0.40012003601080326,0.40012003601080326,1.3003901170351104
28,0.40853922843519724,0.40012003601080326,0.40012003601080326,1.3003901170351104
29,0.4123320329432163,0.40012003601080326,0.40012003601080326,1.3003901170351104
30,0.41612483745123535,0.41612483745123535,0.41612483745123535,1.3003901170351104
31,0.41991764195925446,0.41612483745123535,0.41612483745123535,1.3003901170351104
32,0.4237104464672735,0.41612483745123535,0.41612483745123535,1.3003901170351104
33,0.42750325097529257,0.41612483745123535,0.41612483745123535,1.3003901170351104
34,0.4312960554833117,0.41612483745123535,0.41612483745123535,1.3003901170351104
35,0.43346337234503685,0.43346337234503685,0.43346337234503685,1.3003901170351104
36,0.43508885999133073,0.43346337234503685,0.43346337234503685,1.3003901170351104
