n,resident_queries,nCCDAB,cycles,scan_us,trace_commands,mac_commands,represented_mac_operations,key_event_count,softmax_commands,path,batch,profile_heads_per_HBM
16045,8,8,56433,43.396977,87004,28084,224672,14042,56,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16045-Q8,1,7
16046,1,6,32838,25.252422000000003,36387,28084,28084,14042,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16046-Q1,1,7
16047,1,6,32838,25.252422000000003,36387,28084,28084,14042,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16047-Q1,1,7
16048,1,6,32838,25.252422000000003,36387,28084,28084,14042,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16048-Q1,1,7
16049,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16049-Q1,1,7
16050,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16050-Q1,1,7
16051,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16051-Q1,1,7
16052,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16052-Q1,1,7
16053,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16053-Q1,1,7
16054,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16054-Q1,1,7
16055,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16055-Q1,1,7
16056,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16056-Q1,1,7
16057,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16057-Q1,1,7
16058,1,6,32862,25.270878,36415,28112,28112,14056,7,Fugue-asplos-raw/Fugue-asplos-B1/Fugue-asplos-N16058-Q1,1,7
