panel,source_panel,sample,model,q,cached_tokens,link_GBps,mode,gpu_service_us,pim_service_us,gpu_throughput_tokens_per_us,pim_throughput_tokens_per_us,gpu_throughput_tokens_per_second,pim_throughput_tokens_per_second,pim_over_gpu_throughput,displayed,original_marker,source_kind
B,e,62,LLAMA-7B,559,1024,300,mq,386.1321907136507,409.805784953063,1.44769074799709,1.3640607832415663,1447690.74799709,1364060.7832415663,0.9422321618956069,true,false,integer-refinement
B,e,63,LLAMA-7B,560,1024,300,mq,386.9318725279251,410.5848247891807,1.4472832034781122,1.3639081772872101,1447283.2034781121,1363908.1772872102,0.9423920446319456,true,false,integer-refinement
B,e,64,LLAMA-7B,561,1024,300,mq,387.73230066213824,413.88935609069193,1.4468745550524653,1.3554347115828536,1446874.5550524653,1355434.7115828535,0.9368018166120171,true,false,integer-refinement
B,e,65,LLAMA-7B,562,1024,300,mq,388.53347511629,414.5340118575973,1.4464648118975865,1.355739176820697,1446464.8118975866,1355739.176820697,0.9372776756609319,true,false,integer-refinement
B,e,66,LLAMA-7B,563,1024,300,mq,389.3353958903804,414.88192908989635,1.4460539831279964,1.3570125872559022,1446053.9831279963,1357012.5872559021,0.9384245699600463,true,false,integer-refinement
B,e,67,LLAMA-7B,564,1024,300,mq,390.1380629844095,415.2330177875893,1.4456420777957733,1.3582734894374702,1445642.0777957733,1358273.4894374702,0.9395641634259031,true,false,integer-refinement
B,e,68,LLAMA-7B,565,1024,300,mq,390.9414763983773,415.60496495067605,1.4452291048910184,1.3594640287010387,1445229.1048910185,1359464.0287010386,0.9406564150280885,true,false,integer-refinement
B,e,69,LLAMA-7B,566,1024,300,mq,391.74563613228366,416.2784555791566,1.444815073342322,1.3596668105548244,1444815.073342322,1359666.8105548243,0.9410663244324255,true,false,integer-refinement
B,e,70,LLAMA-7B,567,1024,300,mq,392.5505421861288,416.6752016730308,1.4443999920172206,1.3607721259229881,1444399.9920172205,1360772.1259229882,0.9421020032148856,true,false,integer-refinement
B,e,71,LLAMA-7B,568,1024,300,mq,393.3561945599125,417.44731523229893,1.4439838697226548,1.3606507438763196,1443983.8697226548,1360650.7438763196,0.9422894343949001,true,false,integer-refinement
B,e,72,LLAMA-7B,569,1024,300,mq,394.1625932536349,419.9989902569609,1.4435667152054206,1.3547651618206946,1443566.7152054205,1354765.1618206946,0.9384846211474962,true,false,integer-refinement
B,e,73,LLAMA-7B,570,1024,300,mq,394.96973826729595,420.6444097470165,1.4431485371526165,1.3550637707102986,1443148.5371526165,1355063.7707102986,0.9389634786893715,true,false,integer-refinement
B,e,74,LLAMA-7B,571,1024,300,mq,395.77762960089564,420.993090702466,1.4427293441920899,1.356316796190725,1442729.34419209,1356316.796190725,0.9401048101300283,true,false,integer-refinement
B,e,75,LLAMA-7B,572,1024,300,mq,396.58626725443406,421.34494312330935,1.442309144892875,1.3575575293723188,1442309.144892875,1357557.5293723189,0.9412389390855238,true,false,integer-refinement
B,e,76,LLAMA-7B,573,1024,300,mq,397.3956512279111,421.7176540095463,1.441887947765633,1.3587289850261501,1441887.947765633,1358728.9850261502,0.9423263348110046,true,false,integer-refinement
B,e,77,LLAMA-7B,574,1024,300,mq,398.2057815213268,422.39190836117723,1.4414657612630823,1.3589275472322409,1441465.7612630823,1358927.547232241,0.9427400800983871,true,false,integer-refinement
B,e,78,LLAMA-7B,575,1024,300,mq,399.0166581346811,422.7894181782019,1.44104259378043,1.3600151169290682,1441042.59378043,1360015.1169290682,0.9437716295124946,true,false,integer-refinement
B,e,79,LLAMA-7B,576,1024,300,mq,399.82828106797416,423.56229546062036,1.4406184536557962,1.3598944149965118,1440618.4536557961,1359894.4149965118,0.9439657055242945,true,false,integer-refinement
